epoch,train_loss,val_loss
1,0.533170,0.489361
2,0.347459,0.482022
3,0.336693,0.513343
4,0.310264,0.583404
5,0.255740,0.522932
6,0.240661,0.491236
7,0.223383,0.529563
8,0.212988,0.487384
9,0.212103,0.494613
10,0.200183,0.510756
11,0.192211,0.609139
12,0.192713,0.490702
13,0.184412,0.488044
14,0.176056,0.578873
15,0.175402,0.779144
16,0.169819,0.605571
17,0.166316,0.571437
18,0.161786,0.552599
19,0.153796,0.595861
20,0.140630,0.572576
21,0.132255,0.588974
22,0.128792,0.648696
23,0.125940,0.649788
24,0.124779,0.601909
25,0.116444,0.565474
26,0.116327,0.585335
27,0.114210,0.618802
28,0.111021,0.702279
29,0.108156,0.541329
30,0.104874,0.561502
31,0.101627,0.528651
32,0.109163,0.565371
33,0.101333,0.641005
34,0.103537,0.582469
35,0.097664,0.578898
36,0.099747,0.482641
37,0.093729,0.626664
38,0.094184,0.585717
39,0.092241,0.626739
40,0.090189,0.610048
41,0.084396,0.609103
42,0.089132,0.588772
43,0.084158,0.627749
44,0.089886,0.670543
45,0.091847,0.622377
46,0.091179,0.602160
47,0.084250,0.608494
48,0.083180,0.595748
49,0.081151,0.583263
50,0.084237,0.581729
51,0.081228,0.522861
52,0.076008,0.507612
53,0.077081,0.603602
54,0.082700,0.431068
55,0.075877,0.634434
56,0.080091,0.524358
57,0.079119,0.524966
58,0.080835,0.494453
59,0.078116,0.505076
60,0.076260,0.452420
61,0.073506,0.559593
62,0.079417,0.432346
63,0.071931,0.587309
64,0.071473,0.503610
65,0.070268,0.425569
66,0.077292,0.457454
67,0.073646,0.495899
68,0.072854,0.563509
69,0.070853,0.499188
70,0.072457,0.440587
71,0.068815,0.523324
72,0.072492,0.488052
73,0.071656,0.702069
74,0.070047,0.427477
75,0.068885,0.414430
76,0.076959,0.424696
77,0.066495,0.471773
78,0.072207,0.413554
79,0.075178,0.393917
80,0.068138,0.432639
81,0.078536,0.478639
82,0.069866,0.498893
83,0.069598,0.532745
84,0.068084,0.485609
85,0.068315,0.428707
86,0.064804,0.441979
87,0.072691,0.472087
88,0.076014,0.418907
89,0.071235,0.414635
90,0.068599,0.384673
91,0.067284,0.515096
92,0.067850,0.389611
93,0.064312,0.456157
94,0.065494,0.373086
95,0.073451,0.432774
96,0.072262,0.376942
97,0.069758,0.415501
98,0.079652,0.419902
99,0.068498,0.375977
100,0.065688,0.544906
101,0.063672,0.425879
102,0.065743,0.414424
103,0.065757,0.589618
104,0.069577,0.384746
105,0.068965,0.587675
106,0.072100,0.465159
107,0.077773,0.392629
108,0.065551,0.369695
109,0.063984,0.367053
110,0.061329,0.452416
111,0.064135,0.407867
112,0.067237,0.392538
113,0.071545,0.431345
114,0.066283,0.482656
115,0.062408,0.547448
116,0.087665,0.399529
117,0.070213,0.413547
118,0.069910,0.429419
119,0.063794,0.429847
120,0.063743,0.412711
121,0.063423,0.384504
122,0.061273,0.352440
123,0.068160,0.402936
124,0.070903,0.606080
125,0.072926,0.493038
126,0.063502,0.390830
127,0.064955,0.396107
128,0.068353,0.404651
129,0.065000,0.461852
130,0.064065,0.410367
131,0.076701,0.449795
132,0.081829,0.383852
133,0.071771,0.377424
134,0.066106,0.455209
135,0.062782,0.414610
136,0.066579,0.476830
137,0.062632,0.378507
138,0.059906,0.377364
139,0.062975,0.376107
140,0.065596,0.427565
141,0.063291,0.482675
142,0.074363,0.386108
143,0.063808,0.426778
144,0.064421,0.438818
145,0.066085,0.473680
146,0.067414,0.438986
147,0.070410,0.398149
148,0.064372,0.399048
149,0.062320,0.380797
150,0.060905,0.379455
151,0.061537,0.410507
152,0.060031,0.380963
153,0.061046,0.433478
154,0.064858,0.374103
155,0.147317,0.556020
156,0.164110,0.416314
157,0.109645,0.467808
158,0.086214,0.403841
159,0.072584,0.404359
160,0.069230,0.387183
161,0.065957,0.386732
162,0.065297,0.402222
163,0.068445,0.412099
164,0.071473,0.427427
165,0.065116,0.395226
166,0.062339,0.481638
167,0.062298,0.489920
168,0.066994,0.391590
169,0.063948,0.408453
170,0.064411,0.403493
171,0.067270,0.451047
172,0.062072,0.377339
