epoch,train_loss,val_loss
1,1.003214,1.433958
2,1.003260,1.429983
3,1.003165,1.424931
4,1.003129,1.425935
5,1.003116,1.428078
6,1.003090,1.431750
7,1.003124,1.432827
8,1.003103,1.427746
9,1.003067,1.430417
10,1.003072,1.434775
11,1.003057,1.434229
12,1.003076,1.432968
13,1.003103,1.432365
14,1.003059,1.438016
15,1.003084,1.433075
16,1.003096,1.439506
17,1.003063,1.435733
18,1.003048,1.435266
19,1.003057,1.433370
20,1.003047,1.437026
21,1.003078,1.438832
22,1.003044,1.436232
23,1.003045,1.433217
24,1.003061,1.434242
25,1.003048,1.436179
26,1.003051,1.435109
27,1.003054,1.434935
28,1.003111,1.437900
29,1.003073,1.433524
30,1.003084,1.432016
31,1.003066,1.437061
32,1.003057,1.436015
33,1.003093,1.435747
34,1.003092,1.439477
35,1.003048,1.435906
36,1.003077,1.436616
37,1.003060,1.437991
38,1.003105,1.434575
39,1.003083,1.440049
40,1.003079,1.438103
41,1.003052,1.434701
42,1.003049,1.434941
43,1.003083,1.437204
44,1.003090,1.438753
45,1.003076,1.436127
46,1.003145,1.437587
47,1.003077,1.432431
48,1.003086,1.436705
49,1.003060,1.432599
50,1.003078,1.437089
51,1.003062,1.435941
52,1.003092,1.436647
53,1.003064,1.436281
54,1.003083,1.433148
55,1.003089,1.438933
56,1.003074,1.436383
57,1.003044,1.435847
58,1.003050,1.436479
59,1.003062,1.435139
60,1.003050,1.437515
61,1.003063,1.436730
62,1.003090,1.435510
63,1.003047,1.436756
64,1.003076,1.432461
65,1.003065,1.436013
66,1.003066,1.439433
67,1.003079,1.432791
68,1.003082,1.437303
69,1.003079,1.434220
70,1.003095,1.434274
71,1.003057,1.439786
72,1.003068,1.435318
73,1.003066,1.433291
74,1.003053,1.435848
75,1.003045,1.438705
76,1.003062,1.437886
77,1.003052,1.434021
78,1.003082,1.435883
79,1.003083,1.440468
80,1.003088,1.437948
81,1.003103,1.435014
82,1.003074,1.439433
83,1.003093,1.433050
84,1.003070,1.440017
85,1.003122,1.433414
86,1.003068,1.436277
87,1.003053,1.438245
88,1.003104,1.440138
89,1.003048,1.438084
90,1.003052,1.438463
91,1.003066,1.438194
92,1.003055,1.436576
93,1.003064,1.433908
94,1.003078,1.436928
95,1.003067,1.437937
96,1.003077,1.435080
97,1.003042,1.436609
