epoch,train_loss,val_loss
1,0.720847,0.454864
2,0.401152,0.501722
3,0.383593,0.462539
4,0.363645,0.510442
5,0.351645,0.620739
6,0.319282,0.532248
7,0.303378,0.540150
8,0.302956,0.604722
9,0.295905,0.580587
10,0.293054,0.698354
11,0.298050,0.545724
12,0.322407,0.534910
13,0.290278,0.491856
14,0.282879,0.499827
15,0.280188,0.509416
16,0.289684,0.559166
17,0.283419,0.548784
18,0.279362,0.539947
19,0.281150,0.534595
20,0.284610,0.561338
21,0.275241,0.491523
22,0.278577,0.493462
23,0.287887,0.534290
24,0.278293,0.586229
25,0.278139,0.769560
26,0.290441,0.511916
27,0.276671,0.515475
28,0.281492,0.491260
29,0.278914,0.540896
30,0.273130,0.555309
31,0.274998,0.589430
32,0.273051,0.593521
33,0.279638,0.764784
34,0.363586,0.663693
35,0.294684,0.461689
36,0.291603,0.507328
37,0.281465,0.489809
38,0.273530,0.512847
39,0.283499,0.556610
40,0.288457,0.540831
41,0.274039,0.514947
42,0.275352,0.517971
43,0.272509,0.478931
44,0.273338,0.490395
45,0.302379,0.526310
46,0.276445,0.525271
47,0.273699,0.475990
48,0.267054,0.562942
49,0.270271,0.509405
50,0.272543,0.509770
51,0.270806,0.575524
52,0.276763,0.505416
53,0.296527,0.745424
54,0.301195,0.503015
55,0.286593,0.529173
56,0.291227,0.525836
57,0.275905,0.446686
58,0.271414,0.626373
59,0.277117,0.486967
60,0.272111,0.520506
61,0.274759,0.670373
62,0.282876,0.525909
63,0.278404,0.617531
64,0.281536,0.572913
65,0.273350,0.555277
66,0.273456,0.512934
67,0.273314,0.598191
68,0.273971,0.534029
69,0.271052,0.514554
70,0.279451,0.510494
71,0.274315,0.598448
72,0.281036,0.505555
73,0.278087,0.643483
74,0.293368,0.528984
75,0.276979,0.510389
76,0.273124,0.650065
77,0.278733,0.498475
78,0.284353,0.534526
79,0.276602,0.526540
80,0.660903,1.617035
81,1.397100,1.535449
82,1.056489,1.333471
83,0.839397,1.238231
84,0.602488,0.492438
85,0.432643,0.474771
86,0.417141,0.543853
87,0.400129,0.493916
88,0.391296,0.497482
89,0.375578,0.487912
90,0.381364,0.479028
91,0.369493,0.503724
92,0.368536,0.492122
93,0.364343,0.545909
94,0.363335,0.636603
95,0.359289,0.583755
96,0.350830,0.712243
97,0.355853,0.513503
98,0.347103,0.549660
99,0.346524,0.560112
100,0.338908,0.626247
