epoch,train_loss,val_loss
1,1.114092,0.513233
2,0.380222,0.539180
3,0.346993,0.521859
4,0.321686,0.553274
5,0.296863,0.527104
6,0.286581,0.561183
7,0.265758,0.517265
8,0.266527,0.509694
9,0.226428,0.495119
10,0.213525,0.564044
11,0.216228,0.424008
12,0.203264,0.477366
13,0.195007,0.472713
14,0.193217,0.525870
15,0.193793,0.505584
16,0.199852,0.468380
17,0.187974,0.562266
18,0.182148,0.411960
19,0.174755,0.502470
20,0.171376,0.742797
21,0.170594,0.592277
22,0.166591,0.574096
23,0.173049,0.468465
24,0.163563,0.520987
25,0.149867,0.585070
26,0.147538,0.505037
27,0.147630,0.725879
28,0.151846,0.544570
29,0.146914,0.729564
30,0.136495,0.582047
31,0.129331,0.517707
32,0.125903,0.573017
33,0.116222,0.495057
34,0.106769,0.613832
35,0.102670,0.544484
36,0.093731,0.542228
37,0.093301,0.505522
38,0.092015,0.656677
39,0.090036,0.509646
40,0.090506,0.591631
41,0.082653,0.440174
42,0.081682,0.609561
43,0.081965,0.508924
44,0.079113,0.527528
45,0.084109,0.610994
46,0.076607,0.487958
47,0.072172,0.488178
48,0.072343,0.475953
49,0.066641,0.519915
50,0.059798,0.467879
51,0.057357,0.447382
52,0.056463,0.416378
53,0.054493,0.459499
54,0.051922,0.580114
55,0.056672,0.566930
56,0.058282,0.563493
57,0.053380,0.498110
58,0.051944,0.450275
59,0.052233,0.501087
60,0.050706,0.475649
61,0.051658,0.513682
62,0.052362,0.453631
63,0.052639,0.458629
64,0.050250,0.436596
65,0.051616,0.505452
66,0.049679,0.496749
67,0.054415,0.446460
68,0.048398,0.478571
69,0.046865,0.412437
70,0.046786,0.449657
71,0.045968,0.466177
72,0.050334,0.419832
73,0.048978,0.419393
74,0.048207,0.518854
75,0.047967,0.440311
76,0.046381,0.463737
77,0.045550,0.399721
78,0.046123,0.448276
79,0.045353,0.479656
80,0.046885,0.517130
81,0.052976,0.433203
82,0.053170,0.459087
83,0.053286,0.527236
84,0.049652,0.428802
85,0.046084,0.423672
86,0.041821,0.450434
87,0.040983,0.445514
88,0.041877,0.547116
89,0.047405,0.485216
90,0.046307,0.441298
91,0.044641,0.448902
92,0.053128,0.507987
93,0.048354,0.405016
94,0.048155,0.454708
95,0.044922,0.518278
96,0.043957,0.447969
97,0.046598,0.434402
98,0.051059,0.449658
99,0.047738,0.410486
100,0.042747,0.448623
101,0.040981,0.451721
102,0.040862,0.506891
103,0.043324,0.415751
104,0.042937,0.465151
105,0.044326,0.449135
106,0.044278,0.417844
107,0.045141,0.436362
108,0.047125,0.452977
109,0.049077,0.530273
110,0.059752,0.645000
111,0.052536,0.472104
112,0.047218,0.418285
113,0.042598,0.483018
114,0.041255,0.448310
115,0.040472,0.434098
116,0.039224,0.448034
117,0.041538,0.472362
118,0.040392,0.495090
119,0.041050,0.433634
120,0.040582,0.439171
121,0.039919,0.442127
122,0.040427,0.471270
123,0.042283,0.481684
124,0.041640,0.434640
125,0.049797,0.478153
126,1.453198,1.360961
127,0.848821,0.934362
