epoch,train_loss,val_loss
1,0.556867,0.505953
2,0.345326,0.504662
3,0.338142,0.494342
4,0.330158,0.493408
5,0.310788,0.547296
6,0.273424,0.495745
7,0.256039,0.511010
8,0.249740,0.525652
9,0.241447,0.534517
10,0.245020,0.458624
11,0.241028,0.469326
12,0.242046,0.445036
13,0.232613,0.446115
14,0.230167,0.476038
15,0.229436,0.555150
16,0.226177,0.503492
17,0.224301,0.479620
18,0.219560,0.434530
19,0.232872,0.540848
20,0.499691,0.598318
21,0.296468,0.515224
22,0.251686,0.514610
23,0.236599,0.509411
24,0.229484,0.437712
25,0.227436,0.453882
26,0.219999,0.507345
27,0.213627,0.486597
28,0.207914,0.489512
29,0.208760,0.499023
30,0.202838,0.557466
31,0.205424,0.499007
32,0.201890,0.508590
33,0.199563,0.551530
34,0.198499,0.503980
35,0.195098,0.511293
36,0.195563,0.522935
37,0.196179,0.496561
38,0.196451,0.527542
39,0.194329,0.512582
40,0.194002,0.529257
41,0.209116,0.549617
42,0.197744,0.539830
43,0.194064,0.522701
44,0.190867,0.533246
45,0.192454,0.600142
46,0.202753,0.531042
47,0.194376,0.504928
48,0.187140,0.499094
49,0.182722,0.542945
50,0.183184,0.522358
51,0.185295,0.548768
52,0.194425,0.501314
53,0.186335,0.512877
54,0.183799,0.504046
55,0.181525,0.521241
56,0.185940,0.514159
57,0.183310,0.534350
58,0.182649,0.556158
59,0.182709,0.489706
60,0.184980,0.554291
61,0.185552,0.508356
62,0.182478,0.505351
63,0.183570,0.533045
64,0.183348,0.516378
65,0.185869,0.532667
66,0.182511,0.530565
67,0.180812,0.543749
68,0.189860,0.538998
69,0.186846,0.512962
70,0.183520,0.514093
71,0.183325,0.514703
72,0.180136,0.516174
73,0.184136,0.562665
74,0.181758,0.534784
75,0.180862,0.515114
76,0.181855,0.515484
77,0.180030,0.527376
78,0.183920,0.519925
79,0.182456,0.524863
80,0.178893,0.508279
81,0.175915,0.525991
82,0.177544,0.510899
83,0.178271,0.523685
84,0.181367,0.527444
85,0.177426,0.526792
86,0.180584,0.512168
87,0.177304,0.501841
88,0.178772,0.503254
89,0.179080,0.502709
90,0.179886,0.521117
91,0.185090,0.537646
92,0.177559,0.497818
93,0.175240,0.521119
94,0.182423,0.508294
95,0.177075,0.505603
96,0.179271,0.507073
97,0.180107,0.526163
98,0.179235,0.502563
99,0.181609,0.519955
100,0.176407,0.521304
101,0.176751,0.514809
102,0.177542,0.549147
103,0.179249,0.508996
104,0.176557,0.541859
105,0.182922,0.575900
106,0.177357,0.572139
107,0.181233,0.578267
108,0.185078,0.532168
109,0.181631,0.538328
