epoch,train_loss,val_loss
1,1.127517,0.985951
2,0.425984,0.464232
3,0.384247,0.502865
4,0.368052,0.498739
5,0.358704,1.041249
6,0.369970,0.486724
7,0.347596,0.554927
8,0.343053,0.525231
9,0.316243,0.671905
10,0.296112,0.679676
11,0.275510,0.483094
12,0.264000,0.631420
13,0.277008,0.605591
14,0.268227,0.480352
15,0.251425,0.508869
16,0.250194,0.579873
17,0.245327,0.462542
18,0.260449,0.549119
19,0.241437,0.486074
20,0.243201,0.601557
21,0.237731,0.655613
22,0.238371,0.544785
23,0.233958,0.457332
24,0.225158,0.586689
25,0.265089,0.540400
26,0.228461,0.519987
27,0.226110,0.471719
28,0.222380,0.517537
29,0.212166,0.562431
30,0.215919,0.507125
31,0.207686,0.585397
32,0.223233,0.540485
33,0.209181,0.617920
34,0.224452,0.570711
35,0.200908,0.550366
36,0.193573,0.502873
37,0.210347,0.583062
38,0.187056,0.492206
39,0.183813,0.592126
40,0.182351,0.516359
41,0.186731,0.507776
42,0.190309,0.639237
43,0.175445,0.524210
44,0.188894,0.510463
45,0.168260,0.553436
46,0.172915,0.487387
47,0.168357,0.623610
48,0.166316,0.491348
49,0.167208,0.545062
50,0.166072,0.778738
51,0.197157,0.505648
52,0.170310,0.640665
53,0.163812,0.500660
54,0.170555,0.595502
55,0.166138,0.460708
56,0.163291,0.538238
57,0.158398,0.560628
58,0.170598,0.510344
59,0.182688,0.415617
60,0.158692,0.523828
61,0.161220,0.524019
62,0.165029,0.560868
63,0.181240,0.472749
64,0.164388,0.533466
65,0.153218,0.448450
66,0.157043,0.548135
67,0.182408,0.427005
68,0.166050,0.471487
69,0.175885,0.492957
70,0.157588,0.484509
71,0.166296,0.492756
72,0.154521,0.507378
73,0.154419,0.553266
74,0.151062,0.530476
75,0.149888,0.463136
76,0.159425,0.588085
77,0.154155,0.535639
78,0.160892,0.537628
79,0.157610,0.493781
80,0.210611,0.439061
81,0.168371,0.518715
82,0.159363,0.636027
83,0.194109,0.478247
84,0.159060,0.565251
85,0.154902,0.469950
86,0.160357,0.577130
87,0.150986,0.730852
88,0.146240,0.443340
89,0.144473,0.457192
90,0.137662,0.534509
91,0.152184,0.536214
92,0.163204,0.507139
93,0.178426,0.471154
94,0.151143,0.611119
95,0.168203,0.530958
96,0.145432,0.595577
97,0.141669,0.465282
98,0.152456,0.725906
99,0.215510,0.595331
100,0.169396,0.448301
101,0.151251,0.620704
102,0.152736,0.485966
103,0.137122,0.517671
104,0.135893,0.472850
105,0.130569,0.452970
106,0.129364,0.535739
107,0.135406,0.482899
108,0.143675,0.441555
109,0.142312,0.431882
