epoch,train_loss,val_loss
1,0.724172,0.575299
2,0.449795,0.519477
3,0.420057,0.501197
4,0.396195,0.714434
5,0.382975,0.595707
6,0.346320,0.606821
7,0.312557,0.454064
8,0.302706,0.495165
9,0.289890,0.586186
10,0.280199,0.512679
11,0.274652,0.515423
12,0.267710,0.548685
13,0.260727,0.491927
14,0.251810,0.518519
15,0.247461,0.570006
16,0.238503,0.563278
17,0.235057,0.511305
18,0.225611,0.559693
19,0.221004,0.559149
20,0.217283,0.563338
21,0.209878,0.512188
22,0.203725,0.514201
23,0.199136,0.535653
24,0.198954,0.507473
25,0.196595,0.512203
26,0.190246,0.510285
27,0.189508,0.536244
28,0.187666,0.454427
29,0.183243,0.535113
30,0.179006,0.488644
31,0.184980,0.491676
32,0.180879,0.510907
33,0.178407,0.505279
34,0.177707,0.617987
35,0.172811,0.593958
36,0.173676,0.565373
37,0.171328,0.511978
38,0.172914,0.599975
39,0.169331,0.602562
40,0.171628,0.565294
41,0.168570,0.537237
42,0.165719,0.502886
43,0.159620,0.551274
44,0.157773,0.526616
45,0.166927,0.657380
46,0.175015,0.500923
47,0.169067,0.590501
48,0.164654,0.518173
49,0.166631,0.530414
50,0.160211,0.612206
51,0.160235,0.568610
52,0.157392,0.513021
53,0.163779,0.650293
54,0.158812,0.547275
55,0.156923,0.527433
56,0.154498,0.644265
57,0.155150,0.524397
58,0.157147,0.558832
59,0.155503,0.519010
60,0.158496,0.512612
61,0.163124,0.595629
62,0.159908,0.597383
63,0.155214,0.571545
64,0.156387,0.649611
65,0.166825,0.503284
66,0.162102,0.551487
67,0.157389,0.559747
68,0.152403,0.601121
69,0.148260,0.603779
70,0.150330,0.587238
71,0.148462,0.601649
72,0.152699,0.634990
73,0.150650,0.650030
74,0.145336,0.547317
75,0.147038,0.584336
76,0.146909,0.541787
77,0.151699,0.518789
78,0.152057,0.538059
79,0.147417,0.543836
80,0.153265,0.682754
