epoch,train_loss,val_loss
1,1.085906,1.403674
2,0.505511,0.473711
3,0.400290,0.468783
4,0.379378,0.488360
5,0.375701,0.470444
6,0.357342,0.499335
7,0.355219,0.509777
8,0.346515,0.540283
9,0.321716,0.533161
10,0.297946,0.528283
11,0.289033,0.576597
12,0.281874,0.530745
13,0.277412,0.531610
14,0.275484,0.562605
15,0.280043,0.576143
16,0.273455,0.509969
17,0.267863,0.481849
18,0.266972,0.498743
19,0.263576,0.583676
20,0.268654,0.518093
21,0.263998,0.510066
22,0.262567,0.549902
23,0.270790,0.521672
24,0.272070,0.518081
25,0.267424,0.522474
26,0.257341,0.475900
27,0.261137,0.473064
28,0.253073,0.467772
29,0.252591,0.464829
30,0.250582,0.483235
31,0.250773,0.462348
32,0.250609,0.570761
33,0.250018,0.478703
34,0.247632,0.475347
35,0.247838,0.488218
36,0.250357,0.467843
37,0.247351,0.472181
38,0.271437,0.503451
39,0.260195,0.477196
40,0.251408,0.499419
41,0.250187,0.461990
42,0.246866,0.471130
43,0.247327,0.468833
44,0.335387,0.632098
45,0.342413,0.507113
46,0.274471,0.604053
47,0.263780,0.579444
48,0.255214,0.514220
49,0.255243,0.497706
50,0.251232,0.482059
51,0.252375,0.499514
52,0.250214,0.504878
53,0.248490,0.512192
54,0.282435,0.466292
55,0.267196,0.549614
56,0.247913,0.470517
57,0.245677,0.503552
58,0.244592,0.435699
59,0.243713,0.512127
60,0.248955,0.493701
61,0.242160,0.444633
62,0.241919,0.456130
63,0.237952,0.451518
64,0.243197,0.453401
65,0.238534,0.453027
66,0.240796,0.430784
67,0.240236,0.501565
68,0.244343,0.502985
69,0.237762,0.472668
70,0.235429,0.602433
71,0.749459,0.874625
72,1.247355,0.487048
73,0.930693,1.236925
74,0.769687,0.565388
75,0.668109,0.569879
76,0.623388,0.537485
77,0.571255,0.549857
78,0.530941,0.558654
79,0.478699,0.532838
80,0.529965,0.596084
81,0.387311,0.560646
82,0.347282,0.552758
83,0.322136,0.543707
84,0.322106,0.492848
85,0.306612,0.515761
86,0.288836,0.516496
87,0.285669,0.516648
88,0.295546,0.512587
89,0.277533,0.543973
90,0.274000,0.533349
91,0.273381,0.520240
92,0.270013,0.549807
93,0.270635,0.577219
94,0.273245,0.458321
95,0.261498,0.476610
96,0.259229,0.470227
97,0.258513,0.563288
98,0.259898,0.505585
99,0.256053,0.459385
100,0.249178,0.442088
101,0.273659,0.503072
102,0.272023,0.473301
103,0.298195,0.488645
104,0.264695,0.495156
105,0.260125,0.486627
106,0.261345,0.500792
107,0.259449,0.472205
108,0.254002,0.489596
109,0.250674,0.466981
110,0.249815,0.453819
111,0.246706,0.475689
112,0.247452,0.435112
113,0.247305,0.480168
114,0.246089,0.423975
115,0.244655,0.447361
116,0.243363,0.480067
117,0.242241,0.419464
118,0.239684,0.576548
119,0.241393,0.517923
120,0.234241,0.508439
121,0.237741,0.473086
122,0.306203,0.484068
123,0.262545,0.517910
124,0.253383,0.481846
125,0.247760,0.446233
126,0.243937,0.432845
127,0.243382,0.428931
128,0.239615,0.461979
129,0.303218,0.683190
130,0.300986,0.573632
131,0.269490,0.494969
132,0.258894,0.511947
133,0.253185,0.508592
134,0.250277,0.475590
135,0.247536,0.539153
136,0.246964,0.487189
137,0.245677,0.463205
138,0.240135,0.469871
139,0.241981,0.477839
140,0.241714,0.480023
141,0.238213,0.495280
142,0.239280,0.454860
143,0.231164,0.491123
144,0.237744,0.517473
145,0.232569,0.512975
146,0.229866,0.510280
147,0.249484,0.499990
148,0.236601,0.496032
149,0.253204,0.595725
150,0.736024,0.799851
151,0.437859,0.593030
152,0.370897,0.597350
153,0.313068,0.530933
154,0.287482,0.470502
155,0.270022,0.481903
156,0.260193,0.416341
157,0.257738,0.432463
158,0.256941,0.451979
159,0.249229,0.451562
160,0.249995,0.481270
161,0.249469,0.438605
162,0.243072,0.499140
163,0.246391,0.456607
164,0.244248,0.460880
165,0.241212,0.471636
166,0.243647,0.478173
167,0.241104,0.480230
168,0.245223,0.476272
169,0.236740,0.465669
170,0.243560,0.468787
171,0.240852,0.635260
172,0.236529,0.501854
173,0.234693,0.470982
174,0.235441,0.477852
175,0.238271,0.520230
176,0.235899,0.471282
177,0.233107,0.516454
178,0.233474,0.527714
179,0.236596,0.652227
180,0.430678,0.601413
181,0.314728,0.527291
182,0.271744,0.456481
183,0.254768,0.455330
184,0.246627,0.448639
185,0.240638,0.486118
186,0.241003,0.435953
187,0.235319,0.485486
188,0.235819,0.480265
189,0.235385,0.501715
190,0.238286,0.468009
191,0.233956,0.479374
192,0.229537,0.528605
193,0.232253,0.488232
194,0.234038,0.485663
195,0.237232,0.538661
196,0.229121,0.492186
197,0.231936,0.496587
198,0.231724,0.555489
199,0.230041,0.508489
200,0.225526,0.500111
201,0.227928,0.477865
202,0.233548,0.491371
203,0.229501,0.574973
204,0.227413,0.543397
205,0.221533,0.514916
206,0.221798,0.513497
