epoch,train_loss,val_loss
1,1.007586,1.447239
2,1.005810,1.439834
3,1.005632,1.444589
4,1.005462,1.436767
5,1.005485,1.435695
6,1.005474,1.434085
7,1.005497,1.434306
8,1.005403,1.442584
9,1.005377,1.438626
10,1.005398,1.441958
11,1.005420,1.439130
12,1.005392,1.433463
13,1.005365,1.435719
14,1.005423,1.443296
15,1.005393,1.434749
16,1.005352,1.432719
17,1.005383,1.438043
18,1.005359,1.437899
19,1.005335,1.437543
20,1.005370,1.432975
21,1.005362,1.435945
22,1.005333,1.434945
23,1.005349,1.436735
24,1.005347,1.436756
25,1.005351,1.429697
26,1.005334,1.430215
27,1.005326,1.433270
28,1.005349,1.435369
29,1.005328,1.435130
30,1.005330,1.433227
31,1.005325,1.432804
32,1.005326,1.433127
33,1.005323,1.433377
34,1.005326,1.430773
35,1.005339,1.429559
36,1.005327,1.429756
37,1.005339,1.431381
38,1.005331,1.433272
39,1.005352,1.434285
40,1.005345,1.429559
41,1.005331,1.435073
42,1.005348,1.435146
43,1.005323,1.436724
44,1.005340,1.435557
45,1.005325,1.432893
46,1.005334,1.429161
47,1.005328,1.431564
48,1.005334,1.436215
49,1.005373,1.432575
50,1.005339,1.434212
51,1.005358,1.430199
52,1.005353,1.432005
53,1.005346,1.433422
54,1.005338,1.433770
55,1.005348,1.431628
56,1.005336,1.434132
57,1.005333,1.431353
58,1.005322,1.434724
59,1.005333,1.436366
60,1.005347,1.432626
61,1.005345,1.433947
62,1.005336,1.433885
63,1.005327,1.433727
64,1.005326,1.433932
65,1.005332,1.432974
66,1.005342,1.432759
67,1.005332,1.431341
68,1.005321,1.432991
69,1.005322,1.433510
70,1.005385,1.437006
71,1.005339,1.431936
72,1.005330,1.431836
73,1.005325,1.433184
74,1.005343,1.431743
75,1.005321,1.434824
76,1.005326,1.435933
77,1.005326,1.435424
78,1.005325,1.432829
79,1.005322,1.432980
80,1.005326,1.430955
81,1.005333,1.431700
82,1.005326,1.433591
83,1.005333,1.434355
84,1.005324,1.432171
85,1.005330,1.433589
86,1.005347,1.430558
87,1.005358,1.435922
88,1.005328,1.432504
89,1.005326,1.433161
90,1.005341,1.431190
91,1.005336,1.432510
92,1.005367,1.428592
93,1.005325,1.433703
94,1.005332,1.438638
95,1.005337,1.437787
96,1.005357,1.435148
97,1.005316,1.432209
98,1.005362,1.428681
99,1.005325,1.432777
100,1.005329,1.436461
