epoch,train_loss,val_loss
1,1.002217,1.443672
2,1.001699,1.446263
3,1.001736,1.447473
4,1.001919,1.460153
5,1.001597,1.438528
6,1.001659,1.428944
7,1.001611,1.422984
8,1.001578,1.435760
9,1.001584,1.442895
10,1.001632,1.439131
11,1.001601,1.438150
12,1.001570,1.438124
13,1.001571,1.435012
14,1.001555,1.441505
15,1.001577,1.439912
16,1.001584,1.436151
17,1.001580,1.439135
18,1.001569,1.441284
19,1.001553,1.435478
20,1.001591,1.428971
21,1.001576,1.432658
22,1.001574,1.442492
23,1.001584,1.435430
24,1.001549,1.437900
25,1.001602,1.444889
26,1.001563,1.440328
27,1.001619,1.434866
28,1.001570,1.430116
29,1.001597,1.435048
30,1.001573,1.442536
31,1.001585,1.442055
32,1.001576,1.443483
33,1.001617,1.435136
34,1.001616,1.442663
35,1.001566,1.433947
36,1.001568,1.434347
37,1.001599,1.436349
38,1.001586,1.435313
39,1.001575,1.438883
40,1.001554,1.445782
41,1.001612,1.441828
42,1.001594,1.438444
43,1.001612,1.446958
44,1.001591,1.445721
45,1.001632,1.440644
46,1.001657,1.447402
47,1.001579,1.442681
48,1.001558,1.432643
49,1.001614,1.431564
50,1.001594,1.434597
51,1.001573,1.433995
52,1.001566,1.436179
53,1.001563,1.436490
54,1.001555,1.437038
55,1.001574,1.436578
56,1.001582,1.435300
57,1.001643,1.444032
58,1.001564,1.443078
59,1.001581,1.442611
60,1.001577,1.438830
61,1.001666,1.446181
62,1.001579,1.436880
63,1.001595,1.442153
64,1.001569,1.440874
65,1.001600,1.434965
66,1.001580,1.440014
67,1.001542,1.431850
68,1.001590,1.429223
69,1.001593,1.433848
70,1.001582,1.429254
71,1.001692,1.438762
72,1.001578,1.439291
73,1.001571,1.441420
74,1.001611,1.443332
75,1.001692,1.453455
76,1.001622,1.447677
77,1.001689,1.438040
78,1.001629,1.445614
79,1.001554,1.437781
80,1.001561,1.442285
81,1.001563,1.441791
82,1.001549,1.439765
83,1.001596,1.441073
84,1.001551,1.434204
85,1.001565,1.437391
86,1.001564,1.437726
87,1.001587,1.445669
88,1.001592,1.442029
89,1.001684,1.447483
90,1.001575,1.441663
91,1.001644,1.443797
92,1.001581,1.442508
93,1.001554,1.433496
94,1.001570,1.436805
95,1.001623,1.439380
96,1.001555,1.434544
97,1.001570,1.438216
98,1.001555,1.440221
99,1.001586,1.447927
100,1.001604,1.443013
