epoch,train_loss,val_loss
1,4.660294,0.619655
2,0.745181,0.488913
3,0.538261,0.454244
4,0.406349,0.564319
5,0.405182,0.489772
6,0.385907,0.472261
7,0.378124,0.487358
8,0.373518,0.675085
9,0.374424,0.489938
10,0.377912,0.622854
11,0.359791,0.558660
12,0.352864,0.554235
13,0.330826,0.534685
14,0.394270,0.508359
15,0.377647,0.603129
16,0.350636,0.574563
17,0.331167,0.595356
18,0.328463,0.598350
19,0.307201,0.602893
20,0.309726,0.582189
21,0.291512,0.525219
22,0.316202,0.437853
23,0.287822,0.423758
24,0.277437,0.478719
25,0.274195,0.499537
26,0.281676,0.485369
27,0.272200,0.556888
28,0.266653,0.465953
29,0.265352,0.539669
30,0.271398,0.564102
31,0.268544,0.529709
32,0.266328,0.539217
33,0.255300,0.565273
34,0.259777,0.465762
35,0.251919,0.528221
36,0.246191,0.549024
37,0.245906,0.568070
38,0.242196,0.602723
39,0.243900,0.531962
40,0.233701,0.540966
41,0.242403,0.461988
42,0.231581,0.471373
43,0.229091,0.578055
44,0.234581,0.421285
45,0.223608,0.495708
46,0.229463,0.511594
47,0.218730,0.471507
48,0.221174,0.447342
49,0.220919,0.517541
50,0.215081,0.412744
51,0.218375,0.599303
52,0.215272,0.467431
53,0.216983,0.548202
54,0.213322,0.422235
55,0.208861,0.451515
56,0.206759,0.424859
57,0.210579,0.395758
58,0.214414,0.435245
59,0.205531,0.552024
60,0.201466,0.519039
61,0.208003,0.505190
62,0.204123,0.506391
63,0.197450,0.566864
64,0.195021,0.512051
65,0.194135,0.508977
66,0.195881,0.429073
67,0.194091,0.503451
68,0.187424,0.457687
69,0.201028,0.391275
70,0.190672,0.487364
71,0.188721,0.450000
72,0.184407,0.508626
73,0.183701,0.589787
74,0.197448,0.497377
75,0.181614,0.457577
76,0.180077,0.548776
77,0.179806,0.492146
78,0.176775,0.569699
79,0.201587,0.426081
80,0.182271,0.464726
81,0.177533,0.554631
82,0.171998,0.563037
83,0.169810,0.512463
84,0.170867,0.531897
85,0.170057,0.573325
86,0.160132,0.528581
87,0.161483,0.466682
88,0.159431,0.538822
89,0.159660,0.440687
90,0.189584,0.439968
91,0.171773,0.432458
92,0.156604,0.593352
93,0.151593,0.425634
94,0.159251,0.440302
95,0.152155,0.441030
96,0.151786,0.590100
97,0.146570,0.448462
98,0.150910,0.448509
99,0.147969,0.504077
100,0.146182,0.575183
101,0.154869,0.626088
102,0.163203,0.483609
103,0.162322,0.485030
104,0.148136,0.513881
105,0.140192,0.481995
106,0.140549,0.509295
107,0.141054,0.491304
108,0.139688,0.562654
109,0.135668,0.476976
110,0.136253,0.456817
111,0.134613,0.508008
112,0.137051,0.479878
113,0.133636,0.610293
114,0.138010,0.526378
115,0.150768,0.436523
116,0.166663,0.461178
117,0.155815,0.459156
118,0.142950,0.463487
119,0.130465,0.452419
