epoch,train_loss,val_loss
1,0.999720,1.442937
2,0.999484,1.445004
3,0.999383,1.448488
4,0.999444,1.451260
5,0.999420,1.444402
6,0.999414,1.448371
7,0.999400,1.444305
8,0.999377,1.444154
9,0.999401,1.445356
10,0.999387,1.441580
11,0.999414,1.441282
12,0.999415,1.442638
13,0.999389,1.443511
14,0.999410,1.440859
15,0.999374,1.447308
16,0.999437,1.449375
17,0.999437,1.438128
18,0.999386,1.443979
19,0.999424,1.447502
20,0.999504,1.440168
21,0.999398,1.441941
22,0.999397,1.447221
23,0.999426,1.442519
24,0.999387,1.445608
25,0.999382,1.444104
26,0.999378,1.444926
27,0.999387,1.443689
28,0.999402,1.444549
29,0.999385,1.443929
30,0.999452,1.445954
31,0.999514,1.435936
32,0.999407,1.446091
33,0.999376,1.442828
34,0.999425,1.441362
35,0.999386,1.444656
36,0.999402,1.442641
37,0.999375,1.445552
38,0.999393,1.448361
39,0.999420,1.449493
40,0.999416,1.447087
41,0.999376,1.442043
42,0.999404,1.441562
43,0.999410,1.444791
44,0.999406,1.445072
45,0.999398,1.441409
46,0.999382,1.440392
47,0.999391,1.448371
48,0.999381,1.443361
49,0.999384,1.443046
50,0.999400,1.446195
51,0.999395,1.444068
52,0.999407,1.445043
53,0.999385,1.444373
54,0.999399,1.441703
55,0.999387,1.443939
56,0.999450,1.437288
57,0.999402,1.442695
58,0.999387,1.449697
59,0.999418,1.444988
60,0.999403,1.446536
61,0.999400,1.445570
62,0.999382,1.445307
63,0.999416,1.447848
64,0.999392,1.443203
65,0.999422,1.438829
66,0.999442,1.444302
67,0.999409,1.443249
68,0.999397,1.439063
69,0.999436,1.439107
70,0.999397,1.447938
71,0.999407,1.447651
72,0.999409,1.444762
73,0.999381,1.442983
74,0.999383,1.442348
75,0.999411,1.445935
76,0.999516,1.445314
77,0.999395,1.440501
78,0.999390,1.442140
79,0.999394,1.441772
80,0.999382,1.445758
