epoch,train_loss,val_loss
1,1.004148,1.437162
2,1.003248,1.440645
3,1.002806,1.445756
4,1.002725,1.438074
5,1.002620,1.436919
6,1.002647,1.432320
7,1.002740,1.439826
8,1.002725,1.439350
9,1.002701,1.441026
10,1.002655,1.440177
11,1.002643,1.437442
12,1.002581,1.435004
13,1.002602,1.437054
14,1.002643,1.434359
15,1.002669,1.438167
16,1.002698,1.435460
17,1.002612,1.439304
18,1.002620,1.439326
19,1.002640,1.440703
20,1.002657,1.434588
21,1.002653,1.436336
22,1.002638,1.437734
23,1.002648,1.440107
24,1.002645,1.436865
25,1.002629,1.435871
26,1.002603,1.437214
27,1.002605,1.438204
28,1.002606,1.437282
29,1.002608,1.437134
30,1.002605,1.436697
31,1.002610,1.438434
32,1.002635,1.436076
33,1.002599,1.437007
34,1.002604,1.437861
35,1.002605,1.438472
36,1.002601,1.436791
37,1.002601,1.436804
38,1.002603,1.437733
39,1.002602,1.436265
40,1.002607,1.435235
41,1.002602,1.435987
42,1.002605,1.437758
43,1.002602,1.437532
44,1.002617,1.435706
45,1.002602,1.436566
46,1.002601,1.437466
47,1.002612,1.436363
48,1.002606,1.437808
49,1.002598,1.437481
50,1.002612,1.437725
51,1.002606,1.436614
52,1.002600,1.438284
53,1.002609,1.436548
54,1.002614,1.438977
55,1.002610,1.439241
56,1.002613,1.439157
57,1.002605,1.438595
58,1.002611,1.437197
59,1.002600,1.436193
60,1.002614,1.434835
61,1.002609,1.434983
62,1.002598,1.436524
63,1.002611,1.437622
64,1.002605,1.436277
65,1.002608,1.437728
66,1.002605,1.436112
67,1.002602,1.438200
68,1.002603,1.437403
69,1.002615,1.437443
70,1.002606,1.436328
71,1.002603,1.437049
72,1.002603,1.436534
73,1.002598,1.436478
74,1.002601,1.437736
75,1.002603,1.438158
76,1.002606,1.437814
77,1.002606,1.436563
78,1.002601,1.437385
79,1.002605,1.437504
80,1.002604,1.437290
81,1.002621,1.440416
82,1.002606,1.438026
83,1.002605,1.436469
84,1.002599,1.437008
85,1.002619,1.436581
86,1.002602,1.437603
87,1.002605,1.436995
88,1.002607,1.437398
89,1.002615,1.435861
90,1.002606,1.436554
91,1.002608,1.439304
92,1.002607,1.437431
93,1.002611,1.436263
94,1.002617,1.438693
95,1.002601,1.438373
96,1.002615,1.438788
97,1.002606,1.438232
98,1.002608,1.437771
99,1.002615,1.435526
100,1.002620,1.438859
