epoch,train_loss,val_loss
1,1.004983,1.423886
2,1.003948,1.425995
3,1.003894,1.427474
4,1.003944,1.432168
5,1.003764,1.431070
6,1.003838,1.431723
7,1.003827,1.433830
8,1.003802,1.426470
9,1.003725,1.429787
10,1.003775,1.428927
11,1.003777,1.427504
12,1.003749,1.429490
13,1.003730,1.433103
14,1.003724,1.431260
15,1.003729,1.434018
16,1.003715,1.435485
17,1.003727,1.434511
18,1.003714,1.429350
19,1.003714,1.432299
20,1.003701,1.431807
21,1.003706,1.435894
22,1.003692,1.433525
23,1.003688,1.432826
24,1.003689,1.434962
25,1.003705,1.436220
26,1.003690,1.434327
27,1.003704,1.439045
28,1.003687,1.437464
29,1.003684,1.434944
30,1.003693,1.435120
31,1.003686,1.435731
32,1.003680,1.436428
33,1.003681,1.436069
34,1.003679,1.433257
35,1.003685,1.432600
36,1.003680,1.435589
37,1.003685,1.435921
38,1.003680,1.435440
39,1.003685,1.433583
40,1.003685,1.436686
41,1.003685,1.436746
42,1.003675,1.436442
43,1.003683,1.436466
44,1.003686,1.436297
45,1.003690,1.434921
46,1.003679,1.436054
47,1.003687,1.433698
48,1.003703,1.433137
49,1.003681,1.434725
50,1.003682,1.434863
51,1.003680,1.434014
52,1.003684,1.432621
53,1.003678,1.432500
54,1.003677,1.434349
55,1.003687,1.435755
56,1.003687,1.433705
57,1.003681,1.433830
58,1.003676,1.432546
59,1.003686,1.432052
60,1.003686,1.434695
61,1.003680,1.434195
62,1.003680,1.433561
63,1.003692,1.431755
64,1.003676,1.432657
65,1.003706,1.429906
66,1.003685,1.433310
67,1.003708,1.431533
68,1.003668,1.435417
69,1.003690,1.439133
70,1.003704,1.437295
71,1.003690,1.436065
72,1.003687,1.439255
73,1.003690,1.437365
74,1.003681,1.434690
75,1.003687,1.432858
76,1.003688,1.434496
77,1.003700,1.432964
78,1.003679,1.433285
79,1.003697,1.432285
80,1.003689,1.436197
81,1.003678,1.436501
82,1.003712,1.437935
83,1.003701,1.434693
84,1.003676,1.434864
85,1.003677,1.435264
86,1.003713,1.437986
87,1.003704,1.433059
88,1.003697,1.434485
89,1.003669,1.436288
90,1.003713,1.439078
91,1.003677,1.436935
92,1.003688,1.434238
93,1.003691,1.437258
94,1.003716,1.435240
95,1.003686,1.434790
96,1.003686,1.433521
97,1.003674,1.433495
98,1.003676,1.433290
99,1.003687,1.435353
100,1.003691,1.434850
