epoch,train_loss,val_loss
1,0.978471,0.706158
2,0.842736,1.337043
3,1.189068,0.552374
4,0.875227,1.373144
5,0.610827,0.483545
6,0.430764,0.484009
7,0.390838,0.491935
8,0.380108,0.555789
9,0.370956,0.469851
10,0.361899,0.523789
11,0.360491,0.498825
12,0.351451,0.504117
13,0.344204,0.505426
14,0.336037,0.551769
15,0.329298,0.552391
16,0.319540,0.547910
17,0.313220,0.662622
18,0.317470,0.570830
19,0.286742,0.531835
20,0.316839,0.538199
21,0.288954,0.515913
22,0.280997,0.502128
23,0.282077,0.488556
24,0.281012,0.522005
25,0.276176,0.508504
26,0.275164,0.534694
27,0.273165,0.521228
28,0.268603,0.510222
29,0.270075,0.477918
30,0.268973,0.494361
31,0.270868,0.493750
32,0.268910,0.503217
33,0.267110,0.510135
34,0.263351,0.489303
35,0.269253,0.581928
36,0.279586,0.516004
37,0.266383,0.491035
38,0.265038,0.548504
39,0.264351,0.464235
40,0.263338,0.516374
41,0.266203,0.497783
42,0.261937,0.531460
43,0.267010,0.513048
44,0.265110,0.533715
45,0.260246,0.533755
46,0.276356,0.500506
47,0.260526,0.480639
48,0.266025,0.503549
49,0.258056,0.480675
50,0.260384,0.488608
51,0.258306,0.563510
52,0.384103,1.028609
53,0.804856,0.576154
54,0.699867,0.755690
55,1.264453,1.285562
56,0.822852,0.659033
57,1.139810,1.303557
58,0.759866,0.920415
59,0.514790,0.676813
60,0.424339,0.567554
61,0.405134,0.560324
62,0.374889,0.592451
63,0.376355,0.578874
64,0.343669,0.588297
65,0.318512,0.581545
66,0.322148,0.503036
67,0.302498,0.475865
68,0.294716,0.497829
69,0.289298,0.520755
70,0.464961,0.839365
71,0.558289,0.671914
72,0.426948,0.557922
73,0.361635,0.608887
74,0.339703,0.522173
75,0.318793,0.570513
76,0.301587,0.498413
77,0.295055,0.478560
78,0.306318,0.492200
79,0.289213,0.466660
80,0.280814,0.511985
81,0.284192,0.483767
82,0.282135,0.476384
83,0.277750,0.500138
84,0.277465,0.568649
85,0.277506,0.512404
86,0.276640,0.505760
87,0.274172,0.464496
88,0.287270,0.497596
89,0.280986,0.471491
