epoch,train_loss,val_loss
1,1.038398,1.354854
2,0.770668,1.131366
3,0.427443,0.635963
4,0.355020,0.492569
5,0.355580,0.466123
6,0.342387,0.489299
7,0.337839,0.480751
8,0.335547,0.515831
9,0.328587,0.578386
10,0.318259,0.541854
11,0.288274,0.573571
12,0.289172,0.534620
13,0.266883,0.515679
14,0.263732,0.531469
15,0.257740,0.493319
16,0.252070,0.464314
17,0.247633,0.455547
18,0.246813,0.428581
19,0.242752,0.430489
20,0.244963,0.464894
21,0.247729,0.468487
22,0.241997,0.438950
23,0.245771,0.442390
24,0.243380,0.432577
25,0.238885,0.467845
26,0.239688,0.460711
27,0.238777,0.434015
28,0.238027,0.473952
29,0.239876,0.455836
30,0.237773,0.484699
31,0.243355,0.476697
32,0.256085,0.422086
33,0.492098,0.865604
34,0.761765,0.647468
35,0.731544,0.707890
36,0.565208,0.520817
37,0.375575,0.520046
38,0.325511,0.628762
39,0.301007,0.507992
40,0.296792,0.528722
41,0.277475,0.474554
42,0.266777,0.463895
43,0.255081,0.443029
44,0.251853,0.442723
45,0.250587,0.451091
46,0.277936,0.487035
47,0.259903,0.434306
48,0.249371,0.445018
49,0.246383,0.441626
50,0.246574,0.442089
51,0.242940,0.464460
52,0.241308,0.430498
53,0.242851,0.429247
54,0.240863,0.441880
55,0.245445,0.427380
56,0.239497,0.431369
57,0.238635,0.429069
58,0.239251,0.443393
59,0.236948,0.473626
60,0.237514,0.470773
61,0.240532,0.421968
62,0.238072,0.443381
63,0.237421,0.469607
64,0.234673,0.457059
65,0.233791,0.512217
66,0.236309,0.469945
67,0.236054,0.447998
68,0.235952,0.456694
69,0.228909,0.468310
70,0.232100,0.499374
71,0.236958,0.453399
72,0.238260,0.434361
73,0.252543,0.492907
74,0.240619,0.501468
75,0.248515,0.510679
76,0.234639,0.462881
77,0.232345,0.456105
78,0.227927,0.457541
79,0.227995,0.470234
80,0.224682,0.436002
81,0.229706,0.468578
82,0.223909,0.464967
83,0.226261,0.448778
84,0.226514,0.481029
85,0.223371,0.467563
86,0.224185,0.476346
87,0.227275,0.481792
88,0.223040,0.451517
89,0.219308,0.507664
90,0.222853,0.471787
91,0.233725,0.467165
92,0.226146,0.467658
93,0.224562,0.492949
94,0.222560,0.499244
95,0.221278,0.488569
96,0.216416,0.489633
97,0.225765,0.504529
98,0.534368,0.916931
99,0.526012,0.603586
100,0.352360,0.559688
101,0.319236,0.557152
102,0.295309,0.523958
103,0.272521,0.557172
104,0.263954,0.501582
105,0.254947,0.497082
106,0.246651,0.495631
107,0.241787,0.512941
108,0.237482,0.504904
109,0.235010,0.537663
110,0.244583,0.496470
111,0.245508,0.498934
