epoch,train_loss,val_loss
1,0.695120,0.460911
2,0.379267,0.508296
3,0.356263,0.465963
4,0.349155,0.463527
5,0.342153,0.488499
6,0.336061,0.493899
7,0.328684,0.493919
8,0.319742,0.556345
9,0.301574,0.556528
10,0.276934,0.496622
11,0.251252,0.402127
12,0.243999,0.329643
13,0.230857,0.453727
14,0.226581,0.480402
15,0.215150,0.590191
16,0.212489,0.673455
17,0.203284,0.523868
18,0.207159,0.538888
19,0.200480,0.689190
20,0.183348,0.653481
21,0.174609,0.706909
22,0.161934,0.687810
23,0.162922,0.629763
24,0.157683,0.614885
25,0.149195,0.572213
26,0.139205,0.580636
27,0.136467,0.683336
28,0.139282,0.642649
29,0.137065,0.545999
30,0.128277,0.610091
31,0.125159,0.560097
32,0.119328,0.632791
33,0.120353,0.652223
34,0.115029,0.639518
35,0.112150,0.609126
36,0.118802,0.615823
37,0.112447,0.544811
38,0.108610,0.622994
39,0.109150,0.555569
40,0.112603,0.589982
41,0.105233,0.649425
42,0.110769,0.570731
43,0.103051,0.585951
44,0.108734,0.607628
45,0.104436,0.552105
46,0.104706,0.549192
47,0.099462,0.554597
48,0.097889,0.532830
49,0.097075,0.589451
50,0.095940,0.589362
51,0.099520,0.563027
52,0.100570,0.529457
53,0.096884,0.557944
54,0.093552,0.543927
55,0.091969,0.540237
56,0.091833,0.509408
57,0.094218,0.564502
58,0.088936,0.624290
59,0.083381,0.557810
60,0.084257,0.528323
61,0.081697,0.537793
62,0.084928,0.575353
63,0.082550,0.519607
64,0.088462,0.517198
65,0.087189,0.595740
66,0.079304,0.500654
67,0.081016,0.518042
68,0.074092,0.560487
69,0.072732,0.538510
70,0.071563,0.511683
71,0.073618,0.539441
72,0.073285,0.452584
73,0.074848,0.470997
74,0.071598,0.509396
75,0.072773,0.525689
76,0.075009,0.501309
77,0.069875,0.559623
78,0.069781,0.495449
79,0.068447,0.534547
80,0.068956,0.503480
81,0.067769,0.474005
82,0.066984,0.472774
83,0.070738,0.521579
84,0.067118,0.444460
85,0.064872,0.565894
86,0.069320,0.473029
87,0.065770,0.565926
88,0.069694,0.506608
89,0.065812,0.522652
90,0.064567,0.443436
91,0.065857,0.516584
92,0.065151,0.449254
93,0.065814,0.502817
