epoch,train_loss,val_loss
1,0.779722,0.491258
2,0.390935,0.507537
3,0.379233,0.473721
4,0.361141,0.476020
5,0.347162,0.568835
6,0.330754,0.794618
7,0.282601,0.405424
8,0.265092,0.456021
9,0.262500,0.498818
10,0.248842,0.366143
11,0.245044,0.441906
12,0.242372,0.567828
13,0.233693,0.656143
14,0.234058,0.473067
15,0.209493,0.448047
16,0.195930,0.574936
17,0.210147,0.526874
18,0.179409,0.490258
19,0.175524,0.667340
20,0.171987,0.692653
21,0.161269,0.856259
22,0.147994,0.569346
23,0.147129,0.491291
24,0.134820,0.646849
25,0.125835,0.489877
26,0.121424,0.515860
27,0.123588,0.545737
28,0.117901,0.509594
29,0.115883,0.522080
30,0.110072,0.556689
31,0.107728,0.654103
32,0.109882,0.635849
33,0.112748,0.471447
34,0.108574,0.491153
35,0.103917,0.562099
36,0.098663,0.611242
37,0.093321,0.557978
38,0.093922,0.654247
39,0.089925,0.473192
40,0.085286,0.553460
41,0.087583,0.660955
42,0.084621,0.455150
43,0.082880,0.474030
44,0.091510,0.464995
45,0.082768,0.483814
46,0.082365,0.499838
47,0.082833,0.448484
48,0.078500,0.479139
49,0.079110,0.563246
50,0.077753,0.505585
51,0.074247,0.538442
52,0.078196,0.588361
53,0.076905,0.531432
54,0.074260,0.516563
55,0.079518,0.420956
56,0.077110,0.568005
57,0.074275,0.432697
58,0.075150,0.405401
59,0.075829,0.645749
60,0.072736,0.491690
61,0.071697,0.515578
62,0.070266,0.505938
63,0.075156,0.504777
64,0.077149,0.434178
65,0.076179,0.592693
66,0.075129,0.409307
67,0.072029,0.411416
68,0.070728,0.440542
69,0.068721,0.408380
70,0.067852,0.462440
71,0.072654,0.529085
72,0.068683,0.468902
73,0.067441,0.503033
74,0.070974,0.690832
75,0.093187,0.460950
76,0.076747,0.482647
77,0.071549,0.459407
78,0.068641,0.489968
79,0.069059,0.443091
80,0.066583,0.498539
