epoch,train_loss,val_loss
1,1.001596,1.421677
2,1.001198,1.432904
3,1.001206,1.439492
4,1.001146,1.432061
5,1.001248,1.430227
6,1.001207,1.430051
7,1.001127,1.429464
8,1.001158,1.434743
9,1.001067,1.437619
10,1.001156,1.434751
11,1.001033,1.433357
12,1.001081,1.435597
13,1.001092,1.433658
14,1.001052,1.434464
15,1.001034,1.435302
16,1.001096,1.434441
17,1.001052,1.436452
18,1.001037,1.434281
19,1.001052,1.435036
20,1.001116,1.432651
21,1.001018,1.437843
22,1.001069,1.437377
23,1.001057,1.435859
24,1.001066,1.434600
25,1.001044,1.438336
26,1.001027,1.436773
27,1.001039,1.439037
28,1.001038,1.438638
29,1.001045,1.435475
30,1.001041,1.436337
31,1.001052,1.438249
32,1.001052,1.438929
33,1.001049,1.439404
34,1.001038,1.438526
35,1.001052,1.440240
36,1.001039,1.438188
37,1.001036,1.437700
38,1.001040,1.438970
39,1.001047,1.440194
40,1.001036,1.438368
41,1.001052,1.440190
42,1.001037,1.439163
43,1.001033,1.438613
44,1.001040,1.438655
45,1.001047,1.438320
46,1.001053,1.440523
47,1.001044,1.437834
48,1.001034,1.438177
49,1.001051,1.440878
50,1.001040,1.438201
51,1.001051,1.440217
52,1.001032,1.438434
53,1.001059,1.436161
54,1.001039,1.439117
55,1.001032,1.439831
56,1.001039,1.439512
57,1.001031,1.439831
58,1.001038,1.438751
59,1.001038,1.440433
60,1.001040,1.439669
61,1.001054,1.440720
62,1.001039,1.438549
63,1.001040,1.439067
64,1.001031,1.440038
65,1.001035,1.438607
66,1.001048,1.437207
67,1.001042,1.438059
68,1.001039,1.438818
69,1.001036,1.438903
70,1.001032,1.440738
71,1.001041,1.441939
72,1.001029,1.439184
73,1.001035,1.439113
74,1.001030,1.439447
75,1.001043,1.439103
76,1.001038,1.440631
77,1.001035,1.439176
78,1.001041,1.437824
79,1.001042,1.439767
80,1.001032,1.439626
81,1.001038,1.439015
82,1.001033,1.440896
83,1.001041,1.440821
84,1.001041,1.441106
85,1.001038,1.441204
86,1.001032,1.439130
87,1.001032,1.440129
88,1.001041,1.440207
89,1.001038,1.439692
90,1.001039,1.438177
91,1.001034,1.439586
92,1.001041,1.439788
93,1.001032,1.439079
94,1.001055,1.441001
95,1.001037,1.440614
96,1.001043,1.440926
97,1.001029,1.439559
98,1.001041,1.438173
99,1.001065,1.441465
100,1.001038,1.440467
