epoch,train_loss,val_loss
1,0.753196,0.531568
2,0.398691,0.463824
3,0.376640,0.488935
4,0.367295,0.475314
5,0.355746,0.499888
6,0.349966,0.516910
7,0.324695,0.541105
8,0.291475,0.510038
9,0.263556,0.375720
10,0.259432,0.384942
11,0.256723,0.373751
12,0.269826,0.458819
13,0.248553,0.421339
14,0.240556,0.473388
15,0.230860,0.540229
16,0.220562,0.495791
17,0.211034,0.581603
18,0.191593,0.525694
19,0.196481,0.535078
20,0.178687,0.593991
21,0.175495,0.541902
22,0.170011,0.599540
23,0.162507,0.503723
24,0.153390,0.621725
25,0.152896,0.516625
26,0.147905,0.521129
27,0.145107,0.559314
28,0.143552,0.489347
29,0.134488,0.520289
30,0.130184,0.546247
31,0.126506,0.560350
32,0.126664,0.505246
33,0.124218,0.500954
34,0.120354,0.762636
35,0.118223,0.492742
36,0.114316,0.484807
37,0.115862,0.471704
38,0.113563,0.573715
39,0.115367,0.448368
40,0.111097,0.540833
41,0.109467,0.566703
42,0.107875,0.452377
43,0.106243,0.435219
44,0.104027,0.539005
45,0.099500,0.456622
46,0.103255,0.479099
47,0.103202,0.477346
48,0.094545,0.453528
49,0.094477,0.465423
50,0.094495,0.442280
51,0.093177,0.488180
52,0.090630,0.397741
53,0.091950,0.413531
54,0.091456,0.415259
55,0.092635,0.462568
56,0.092099,0.470519
57,0.088268,0.389360
58,0.091932,0.408334
59,0.087753,0.387369
60,0.087560,0.438547
61,0.086051,0.412006
62,0.088642,0.399941
63,0.087424,0.445575
64,0.088969,0.442286
65,0.087914,0.463331
66,0.087996,0.397638
67,0.087698,0.376072
68,0.085647,0.416735
69,0.084029,0.386526
70,0.080641,0.380468
71,0.083337,0.401957
72,0.086127,0.429495
73,0.086557,0.432137
74,0.082747,0.358830
75,0.084524,0.454316
76,0.081320,0.408678
77,0.080621,0.444659
78,0.083544,0.507101
79,0.085888,0.520619
80,0.086695,0.391980
81,0.082013,0.412636
82,0.082001,0.390710
83,0.080407,0.433751
84,0.080869,0.396525
85,0.079586,0.385694
86,0.077936,0.360369
87,0.080091,0.412014
88,0.078962,0.396968
89,0.079442,0.387752
90,0.079643,0.410272
91,0.078156,0.392786
92,0.081744,0.390721
93,0.080333,0.385577
94,0.080226,0.420201
95,0.081942,0.394560
96,0.082539,0.359141
97,0.078217,0.368555
98,0.083011,0.369928
99,0.079847,0.380210
100,0.076963,0.380193
101,0.077902,0.364026
102,0.078492,0.366815
103,0.079178,0.438351
104,0.083615,0.355764
105,0.080940,0.412692
106,0.076835,0.395498
107,0.075750,0.351480
108,0.077110,0.400066
109,0.077499,0.404433
110,0.076311,0.386037
111,0.077789,0.412973
112,0.077874,0.383575
113,0.075693,0.388079
114,0.077142,0.380422
115,0.075477,0.364416
116,0.076890,0.409626
117,0.076857,0.404396
118,0.072784,0.384001
119,0.074676,0.362169
120,0.076750,0.379487
121,0.074865,0.388748
122,0.073834,0.402050
123,0.073842,0.361185
124,0.073026,0.410606
125,0.074689,0.392906
126,0.073774,0.390081
127,0.070892,0.336633
128,0.071808,0.347216
129,0.096147,0.373369
130,0.091536,0.394449
131,0.081626,0.424249
132,0.075960,0.392706
133,0.074736,0.373756
134,0.075700,0.356773
135,0.075618,0.393096
136,0.074916,0.378341
137,0.073780,0.382515
138,0.071068,0.337989
139,0.070964,0.345634
140,0.072103,0.445750
141,0.071014,0.343423
142,0.071146,0.351331
143,0.072280,0.367348
144,0.076124,0.383938
145,0.074611,0.455309
146,0.075257,0.353303
147,0.072942,0.386357
148,0.072439,0.342733
149,0.073282,0.368482
150,0.072863,0.378887
151,0.072862,0.399773
152,0.073496,0.421174
153,0.070257,0.341811
154,0.069188,0.421215
155,0.070721,0.459926
156,0.072515,0.381108
157,0.070913,0.493906
158,0.072079,0.389593
159,0.070723,0.380811
160,0.069900,0.379168
161,0.070972,0.365994
162,0.071935,0.355537
163,0.071386,0.371208
164,0.085156,0.385840
165,0.077401,0.346587
166,0.076291,0.376946
167,0.072338,0.378605
168,0.070729,0.349154
169,0.070434,0.360071
170,0.073332,0.372393
171,0.075023,0.385185
172,0.071132,0.389651
173,0.070384,0.403363
174,0.069147,0.412989
175,0.069233,0.368013
176,0.073446,0.379943
177,0.076482,0.386132
