epoch,train_loss,val_loss
1,0.842089,0.303150
2,0.223858,0.230402
3,0.137812,0.257153
4,0.121255,0.220591
5,0.122341,0.210734
6,0.118683,0.234539
7,0.109696,0.275464
8,0.107693,0.252692
9,0.116753,0.240806
10,0.114552,0.217020
11,0.107418,0.360238
12,0.104396,0.291705
13,0.104567,0.320521
14,0.107998,0.400713
15,0.110874,0.233390
16,0.104453,0.380224
17,0.102564,0.301008
18,0.108199,0.458428
19,0.108362,0.259224
20,0.104306,0.250841
21,0.124965,0.232711
22,0.101268,0.242517
23,0.101837,0.408130
24,0.108343,0.246614
25,0.102628,0.248047
26,0.100268,0.245017
27,0.101143,0.308467
28,0.098567,0.354670
29,0.099902,0.265981
30,0.160436,0.298406
31,0.171558,0.244315
32,0.119715,0.294139
33,0.102025,0.248925
34,0.102088,0.284249
35,0.103622,0.302715
36,0.103201,0.274295
37,0.099457,0.249836
38,0.102464,0.256026
39,0.101358,0.245848
40,0.103353,0.258834
41,0.117531,0.278824
42,0.268932,0.293488
43,0.133993,0.286240
44,0.113611,0.321310
45,0.114170,0.562426
46,0.108736,0.381345
47,0.103952,0.335488
48,0.104680,0.271175
49,0.107253,0.332121
50,0.112207,0.294205
51,0.101706,0.332164
52,0.101052,0.470468
53,0.099472,0.282246
54,0.099604,0.293734
55,0.100919,0.263680
56,0.105359,0.278268
57,0.109528,0.276226
58,0.099529,0.308978
59,0.106509,0.421190
60,0.102381,0.379069
61,0.099485,0.292596
62,0.101029,0.328144
63,0.097945,0.486435
64,0.098435,0.598940
65,0.105117,0.401824
66,0.099619,0.274705
67,0.100413,0.605473
68,0.104196,0.473391
69,0.106457,0.308360
70,0.101046,0.287166
71,0.100010,0.480389
72,0.102589,0.272086
73,0.104650,0.333255
74,0.102704,0.370045
75,0.110668,0.294905
76,0.120812,0.288747
77,0.340352,0.374720
78,0.135497,0.334794
79,0.109557,0.404416
80,0.106873,0.353487
