epoch,train_loss,val_loss
1,0.679761,0.320349
2,0.226003,0.164027
3,0.153081,0.236285
4,0.136628,0.233687
5,0.131739,0.180530
6,0.125993,0.198896
7,0.121873,0.255873
8,0.118067,0.181915
9,0.119358,0.207140
10,0.121369,0.220823
11,0.122485,0.208244
12,0.112467,0.258608
13,0.113159,0.351688
14,0.109222,0.240140
15,0.107659,0.246530
16,0.103842,0.236488
17,0.106497,0.221913
18,0.102904,0.282570
19,0.093204,0.291434
20,0.079005,0.403266
21,0.075567,0.311694
22,0.067580,0.371750
23,0.064415,0.364491
24,0.067835,0.422329
25,0.061778,0.517146
26,0.057130,0.392388
27,0.059432,0.446059
28,0.057146,0.460449
29,0.062964,0.358692
30,0.056512,0.457672
31,0.055239,0.365981
32,0.059918,0.320835
33,0.056864,0.308185
34,0.059459,0.331360
35,0.056056,0.427543
36,0.053762,0.354427
37,0.054891,0.384177
38,0.055483,0.343694
39,0.055149,0.303719
40,0.052795,0.348169
41,0.053334,0.403985
42,0.052236,0.307084
43,0.053089,0.382851
44,0.051074,0.354512
45,0.052607,0.331107
46,0.051740,0.487152
47,0.051979,0.398200
48,0.050114,0.411416
49,0.051514,0.393172
50,0.056753,0.302155
51,0.051395,0.335342
52,0.054799,0.377170
53,0.055029,0.359163
54,0.051824,0.374560
55,0.051237,0.388190
56,0.050428,0.408925
57,0.050048,0.332256
58,0.054375,0.322461
59,0.052825,0.323288
60,0.049098,0.449279
61,0.050017,0.392456
62,0.060420,0.355971
63,0.051889,0.346390
64,0.049935,0.333440
65,0.047902,0.366088
66,0.052696,0.385558
67,0.050376,0.350136
68,0.049107,0.418016
69,0.048269,0.347434
70,0.049381,0.328104
71,0.050358,0.365838
72,0.050240,0.412034
73,0.048228,0.335474
74,0.047687,0.305010
75,0.047944,0.328471
76,0.051028,0.377655
77,0.050447,0.333667
78,0.047296,0.344446
79,0.046690,0.367287
80,0.046868,0.347184
