epoch,train_loss,val_loss
1,0.869561,0.673852
2,0.165852,0.270562
3,0.119269,0.268456
4,0.110169,0.307529
5,0.105500,0.308323
6,0.111915,0.287288
7,0.109256,0.272071
8,0.110948,0.332834
9,0.101708,0.372449
10,0.101902,0.327757
11,0.102219,0.482599
12,0.103776,0.278216
13,0.103666,0.283124
14,0.104981,0.375193
15,0.106971,0.268620
16,0.099688,0.364832
17,0.098676,0.276765
18,0.102015,0.297268
19,0.106931,0.307505
20,0.107763,0.270079
21,0.104343,0.309257
22,0.104240,0.364426
23,0.100531,0.392259
24,0.099238,0.334279
25,0.150893,0.326688
26,0.124860,0.310660
27,0.106042,0.274681
28,0.102507,0.295577
29,0.099435,0.285671
30,0.100534,0.291336
31,0.098646,0.280143
32,0.102085,0.360240
33,0.100472,0.354503
34,0.102736,0.324559
35,0.120564,0.292537
36,0.103268,0.278038
37,0.100687,0.287207
38,0.098209,0.581934
39,0.100758,0.289721
40,0.099190,0.320236
41,0.103398,0.572537
42,0.107216,0.677202
43,0.107960,0.541173
44,0.104803,0.306213
45,0.100271,0.286072
46,0.101523,0.340645
47,0.110209,0.382490
48,0.104106,0.290283
49,0.098924,0.331018
50,0.118898,0.292447
51,0.141305,0.302592
52,0.106711,0.322890
53,0.102130,0.346683
54,0.100885,0.293542
55,0.108378,0.316445
56,0.099635,0.289609
57,0.099916,0.322431
58,0.099256,0.300837
59,0.102286,0.288453
60,0.098777,0.285393
61,0.098887,0.317821
62,0.102576,0.584801
63,0.118874,0.314087
64,0.112790,0.312445
65,0.118998,0.475413
66,0.102783,0.327399
67,0.096774,0.370751
68,0.097429,0.477389
69,0.099303,0.376391
70,0.103771,0.357796
71,0.101979,0.311014
72,0.147909,0.504180
73,0.228454,0.383197
74,0.142649,0.336744
75,0.103223,0.278928
76,0.102443,0.399738
77,0.101688,0.494623
78,0.103590,0.292347
79,0.101854,0.365375
80,0.099407,0.317400
