epoch,train_loss,val_loss
1,0.983708,0.315925
2,0.653091,0.241045
3,0.195236,0.234940
4,0.180744,0.288887
5,0.176691,0.268016
6,0.154181,0.267480
7,0.155797,0.266436
8,0.158751,0.270789
9,0.146122,0.264969
10,0.152058,0.292649
11,0.152310,0.284558
12,0.143336,0.302357
13,0.155940,0.260128
14,0.145292,0.294359
15,0.146080,0.269544
16,0.192561,0.592577
17,0.305148,0.259087
18,0.172395,0.240322
19,0.163849,0.240606
20,0.147868,0.259508
21,0.166791,0.547196
22,0.151394,0.270403
23,0.143247,0.278108
24,0.147485,0.280352
25,0.146075,0.294817
26,0.138308,0.262477
27,0.150495,1.577044
28,0.245283,0.336729
29,0.154590,0.228164
30,0.152943,0.238740
31,0.148120,0.278175
32,0.151718,0.259431
33,0.153368,0.261151
34,0.148184,0.281522
35,0.150240,0.318481
36,0.148860,0.264440
37,0.287129,0.270980
38,0.223893,0.274899
39,0.161518,0.263719
40,0.147904,0.276631
41,0.163779,0.283951
42,0.151676,0.263534
43,0.144753,0.398666
44,0.147965,0.266575
45,0.141526,0.269741
46,0.142338,0.279455
47,0.141002,0.273926
48,0.347757,0.346709
49,0.231163,0.204701
50,0.162730,0.271252
51,0.157555,0.345661
52,0.153341,0.273926
53,0.146212,0.591525
54,0.150814,0.290545
55,0.168306,0.419859
56,0.257303,0.272437
57,0.163341,0.268908
58,0.150017,0.286182
59,0.148620,0.270032
60,0.143473,0.276157
61,0.141893,0.389498
62,0.142009,0.288475
63,0.145707,0.351092
64,0.139487,0.267044
65,0.137207,0.261465
66,0.140577,0.687325
67,0.143557,0.279740
68,0.146532,0.270186
69,0.141518,0.270327
70,0.260142,0.217258
71,0.174182,0.272405
72,0.157593,0.267908
73,0.164526,0.268720
74,0.147822,0.319467
75,0.147783,0.469726
76,0.141815,0.267484
77,0.136873,0.283909
78,0.148255,0.278889
79,0.144364,0.283751
80,0.141994,0.266054
81,0.140574,0.270068
82,0.179179,0.254232
83,0.154767,0.257960
84,0.145503,0.290339
85,0.146227,0.292322
86,0.141182,0.284290
87,0.148242,0.293631
88,0.143049,0.312413
89,0.136886,0.295397
90,0.147474,0.366052
91,0.144402,0.531148
92,0.136759,0.275127
93,0.138191,0.340873
94,0.146954,0.267472
95,0.138083,0.385969
96,0.141606,0.272727
97,0.136272,0.281539
98,0.198496,0.286416
99,0.150640,0.264951
