epoch,train_loss,val_loss
1,1.023686,0.347175
2,0.990525,0.339012
3,0.594802,0.461230
4,0.184035,0.176715
5,0.131657,0.461585
6,0.126148,0.364562
7,0.119886,0.166130
8,0.120463,0.243603
9,0.123020,0.260523
10,0.120898,0.238166
11,0.107533,0.235159
12,0.109225,0.273572
13,0.112718,0.212531
14,0.107800,0.204976
15,0.105491,0.215669
16,0.105564,0.321497
17,0.106746,0.279091
18,0.106374,0.247869
19,0.100752,0.468869
20,0.104160,0.230645
21,0.106768,0.232235
22,0.104214,0.309609
23,0.107246,0.216570
24,0.102370,0.253218
25,0.103653,0.272542
26,0.101521,0.235281
27,0.101302,0.257759
28,0.099604,0.227686
29,0.100054,0.238083
30,0.098761,0.255612
31,0.104064,0.266835
32,0.099212,0.414026
33,0.097341,0.252080
34,0.099596,0.246070
35,0.102261,0.222577
36,0.101105,0.354193
37,0.102971,0.364087
38,0.098590,0.313026
39,0.096495,0.281601
40,0.100493,0.286951
41,0.097501,0.253900
42,0.094527,0.351602
43,0.096034,0.254454
44,0.096334,0.553929
45,0.097326,0.302715
46,0.095850,0.247929
47,0.095756,0.303663
48,0.101031,0.244418
49,0.200124,0.281464
50,0.687526,0.200062
51,0.496202,1.052654
52,0.170368,0.162884
53,0.134180,0.234417
54,0.128418,0.264912
55,0.116651,0.353522
56,0.118582,0.383664
57,0.114223,0.360389
58,0.108316,0.192737
59,0.109398,0.266122
60,0.107372,0.266504
61,0.104385,0.380343
62,0.112232,0.271716
63,0.105263,0.209739
64,0.102514,0.365913
65,0.102746,0.226131
66,0.101944,0.468165
67,0.108153,0.220742
68,0.105302,0.234958
69,0.100676,0.241237
70,0.107794,0.330826
71,0.557360,0.302085
72,0.248308,0.273484
73,0.138285,0.251212
74,0.121031,0.328613
75,0.117680,0.817570
76,0.109646,0.276936
77,0.110747,0.291870
78,0.110397,0.515641
79,0.109267,0.241610
80,0.109041,0.238952
81,0.123671,0.243659
82,0.103059,0.276618
83,0.101713,0.235119
84,0.101198,0.246720
85,0.106274,0.556917
86,0.102301,0.242629
87,0.099757,0.272439
88,0.099130,0.302522
89,0.097463,0.296931
90,0.104133,0.404103
91,0.101992,0.255182
92,0.099088,0.299139
93,0.098595,0.247845
94,0.099206,0.412260
95,0.096594,0.333566
96,0.098838,0.576356
97,0.102988,0.244939
98,0.098937,0.263387
99,0.098663,0.324970
100,0.096841,0.459710
101,0.099238,0.322672
102,0.097606,0.253763
