epoch,train_loss,val_loss
1,0.746119,1.105265
2,0.178673,0.426336
3,0.173943,0.192246
4,0.129857,0.193267
5,0.125877,0.204710
6,0.115955,0.244411
7,0.122567,0.571790
8,0.125502,0.268990
9,0.116697,0.518976
10,0.116921,0.266595
11,0.114794,0.519917
12,0.126950,0.479239
13,0.109978,0.260302
14,0.134132,0.282725
15,0.113951,0.264529
16,0.109698,0.487548
17,0.122122,0.318002
18,0.107098,0.265577
19,0.114103,0.274751
20,0.120522,0.288635
21,0.110495,0.311698
22,0.114590,1.320128
23,0.135607,0.263729
24,0.106247,2.177378
25,0.170414,0.284007
26,0.114946,0.275784
27,0.113676,0.266066
28,0.109120,0.278019
29,0.105737,0.291720
30,0.121674,0.279861
31,0.164289,0.278233
32,0.122958,0.263754
33,0.109498,0.269067
34,0.107262,0.459743
35,0.111870,0.262346
36,0.111509,0.267710
37,0.109952,0.314267
38,0.105553,0.280530
39,0.110916,0.301728
40,0.104584,0.337412
41,0.107378,0.291637
42,0.110790,0.295322
43,0.113444,0.275534
44,0.110134,0.295829
45,0.141188,0.288185
46,0.112677,0.244861
47,0.117049,0.285227
48,0.111297,0.363148
49,0.125369,0.285111
50,0.108889,0.284041
51,0.123885,0.352557
52,0.119095,0.278109
53,0.106384,0.298280
54,0.108120,0.291981
55,0.109315,0.665746
56,0.127781,0.282265
57,0.120304,0.300630
58,0.106655,0.281053
59,0.108022,0.267164
60,0.107214,0.320790
61,0.120583,0.276668
62,0.109931,0.349430
63,0.105666,0.296370
64,0.109273,0.280873
65,0.120902,0.273528
66,0.115250,0.360971
67,0.106223,0.271210
68,0.124645,0.269290
69,0.113664,0.302941
70,0.117882,0.292469
71,0.108360,0.349204
72,0.117994,0.707830
73,0.168905,0.270108
74,0.113997,0.264906
75,0.109898,0.305804
76,0.109125,0.313233
77,0.146836,0.560481
78,0.126679,0.910640
79,0.123013,0.547266
80,0.117420,0.270380
