epoch,train_loss,val_loss
1,0.487752,0.195391
2,0.131880,0.181611
3,0.110322,0.217389
4,0.104471,0.521877
5,0.108665,0.321456
6,0.098453,0.322290
7,0.097551,0.517910
8,0.099446,0.333019
9,0.092672,0.417115
10,0.089798,0.249013
11,0.089709,0.260844
12,0.094500,0.253679
13,0.104053,0.402029
14,0.092943,0.289034
15,0.085781,0.302014
16,0.088015,0.311890
17,0.088190,0.346050
18,0.084546,0.559503
19,0.093038,0.384774
20,0.100873,0.249707
21,0.085549,0.271184
22,0.086780,0.283340
23,0.083765,0.254265
24,0.083833,0.490897
25,0.151795,0.300423
26,0.163181,0.181323
27,0.094503,0.172152
28,0.088033,0.173847
29,0.087096,0.209762
30,0.089097,0.211438
31,0.090214,0.258499
32,0.084601,0.223339
33,0.084746,0.382261
34,0.091392,0.289288
35,0.082970,0.321245
36,0.083471,0.260057
37,0.084880,0.260785
38,0.085336,0.260942
39,0.081663,0.325384
40,0.080787,0.313194
41,0.088660,0.268815
42,0.085351,0.310494
43,0.078731,0.315281
44,0.077719,0.376304
45,0.076487,0.297555
46,0.076171,0.350371
47,0.077506,0.263449
48,0.076536,0.356661
49,0.073930,0.260532
50,0.080948,0.269619
51,0.077668,0.345826
52,0.072693,0.325541
53,0.072950,0.284558
54,0.072037,0.267840
55,0.072021,0.258851
56,0.071840,0.256661
57,0.071638,0.392613
58,0.068160,0.270183
59,0.070074,0.289125
60,0.075595,0.286359
61,0.068320,0.289620
62,0.063673,0.279060
63,0.051845,0.278369
64,0.045745,0.294465
65,0.043172,0.284197
66,0.041516,0.423372
67,0.041470,0.486254
68,0.039981,0.343706
69,0.038415,0.492189
70,0.036445,0.401433
71,0.040397,0.406411
72,0.041210,0.589673
73,0.302882,0.612934
74,0.698369,0.269765
75,0.391237,0.198200
76,0.127372,0.199866
77,0.098231,0.167791
78,0.093438,0.229838
79,0.093358,0.190111
80,0.086483,0.212255
81,0.077613,0.216822
82,0.065488,0.255991
83,0.062804,0.233795
84,0.057566,0.224078
85,0.053524,0.256257
86,0.051194,0.285637
87,0.053365,0.258228
88,0.052719,0.232033
89,0.050235,0.257551
90,0.047369,0.290555
91,0.047174,0.274028
92,0.045868,0.283407
93,0.047405,0.270201
94,0.049707,0.273997
95,0.049797,0.427989
96,0.045730,0.285140
97,0.047519,0.502623
98,0.044062,0.278174
99,0.043790,0.284648
100,0.043800,0.329426
101,0.044461,0.354467
102,0.045710,0.287671
103,0.041767,0.264947
104,0.039147,0.331929
105,0.039091,0.310396
106,0.039781,0.335240
107,0.038426,0.376678
108,0.038544,0.302562
109,0.037525,0.302472
110,0.054772,1.284274
111,0.798760,0.356314
112,0.576682,0.248570
113,0.353431,0.281714
114,0.221804,0.255067
115,0.203008,0.228740
116,0.186694,0.385219
117,0.161593,0.302725
118,0.114557,0.296335
119,0.083177,0.300467
120,0.076686,0.295994
121,0.075198,0.297607
122,0.068951,0.292925
123,0.067341,0.297351
124,0.062948,0.328963
125,0.062142,0.293799
126,0.067532,0.302666
127,0.058489,0.301873
