epoch,train_loss,val_loss
1,0.976831,0.286673
2,0.691085,0.234462
3,0.183053,0.176727
4,0.123116,0.248853
5,0.118046,0.709234
6,0.121435,0.511264
7,0.110460,0.567457
8,0.106039,0.599736
9,0.100751,0.689051
10,0.100545,0.597519
11,0.099059,0.677730
12,0.097961,0.371951
13,0.101499,0.426052
14,0.096696,0.650998
15,0.094630,0.392807
16,0.098842,0.386605
17,0.103882,0.509698
18,0.099131,0.254455
19,0.093566,0.339087
20,0.098623,0.234739
21,0.094406,0.265565
22,0.089518,0.413514
23,0.092517,0.374824
24,0.090792,0.338194
25,0.090633,0.512050
26,0.091009,0.294689
27,0.099297,0.252409
28,0.106808,0.256098
29,0.094206,0.317401
30,0.089396,0.296212
31,0.089366,0.397276
32,0.090978,0.358482
33,0.087672,0.276339
34,0.088308,0.321467
35,0.090735,0.426028
36,0.087081,0.408711
37,0.088776,0.355320
38,0.088455,0.377017
39,0.089388,0.286033
40,0.091897,0.283218
41,0.089794,0.327959
42,0.088321,0.400232
43,0.094074,0.373122
44,0.087570,0.312931
45,0.086074,0.403295
46,0.088896,0.308807
47,0.091287,0.388366
48,0.090000,0.365605
49,0.089985,0.435451
50,0.092555,0.262478
51,0.086074,0.363439
52,0.087156,0.389778
53,0.088013,0.406103
54,0.091684,0.287891
55,0.085059,0.489766
56,0.084887,0.390490
57,0.085920,0.282810
58,0.090559,0.255711
59,0.088537,0.510092
60,0.250216,0.257077
61,0.705048,0.206301
62,0.624041,0.204740
63,0.780570,0.264070
64,0.446980,0.172228
65,0.208383,0.156882
66,0.147941,0.175270
67,0.126821,0.155265
68,0.122681,0.154574
69,0.115194,0.200450
70,0.114798,0.155019
71,0.107235,0.195806
72,0.107310,0.163863
73,0.104760,0.215043
74,0.109397,0.179986
75,0.107269,0.188773
76,0.097578,0.209506
77,0.101551,0.256719
78,0.097484,0.239612
79,0.097638,0.211739
80,0.102021,0.208065
81,0.099726,0.227046
82,0.093885,0.231626
83,0.096919,0.259156
84,0.095926,0.257799
85,0.097278,0.250556
86,0.093923,0.267637
87,0.091950,0.247098
88,0.095387,0.237198
89,0.095155,0.241379
90,0.091649,0.249132
91,0.093412,0.266800
92,0.091202,0.246048
93,0.091096,0.261678
94,0.092055,0.249323
95,0.094924,0.252385
96,0.090489,0.253439
97,0.094756,0.249355
98,0.092619,0.220693
99,0.091891,0.244898
100,0.090195,0.249377
101,0.088884,0.255947
102,0.090518,0.249081
103,0.089965,0.243909
104,0.092130,0.249517
105,0.089599,0.244047
106,0.088518,0.280721
107,0.090770,0.274838
108,0.088161,0.268109
109,0.088627,0.242124
110,0.090890,0.245517
111,0.091056,0.244577
112,0.091283,0.260418
113,0.089627,0.252988
114,0.088089,0.252350
115,0.086115,0.253790
116,0.087260,0.247977
117,0.088578,0.237827
118,0.089537,0.287838
