epoch,train_loss,val_loss
1,0.925946,0.280098
2,0.489287,0.257540
3,0.160646,0.201112
4,0.127519,0.227183
5,0.115109,0.755575
6,0.106612,0.934321
7,0.106006,0.242473
8,0.102915,0.231374
9,0.105304,0.250563
10,0.106927,0.253127
11,0.104324,0.224139
12,0.095041,0.274074
13,0.092514,0.221949
14,0.095006,0.567553
15,0.098861,0.357417
16,0.094332,0.471952
17,0.092289,0.644675
18,0.091083,0.248625
19,0.100102,0.462209
20,0.093939,0.260964
21,0.089639,0.452559
22,0.090257,0.416628
23,0.090121,0.422276
24,0.091086,0.817119
25,0.107145,0.262607
26,0.094193,0.297725
27,0.088636,0.375702
28,0.087321,0.363276
29,0.090243,0.433747
30,0.089088,0.321883
31,0.090418,0.399712
32,0.089111,0.415509
33,0.089115,0.313045
34,0.090259,0.335765
35,0.087100,0.372101
36,0.086742,0.355293
37,0.086888,0.282114
38,0.088289,0.383692
39,0.086757,0.339265
40,0.085808,0.255446
41,0.098824,0.283162
42,0.449326,0.279167
43,0.332087,0.233010
44,0.191606,0.232152
45,0.118615,0.195578
46,0.109128,0.234324
47,0.101654,0.281938
48,0.097684,0.375508
49,0.098239,0.229840
50,0.094369,0.402727
51,0.096872,0.367495
52,0.093309,0.564188
53,0.091087,0.342100
54,0.089520,0.265902
55,0.091327,0.331697
56,0.089968,0.267811
57,0.093871,0.292669
58,0.090430,0.379488
59,0.087826,0.319211
60,0.116548,0.324974
61,0.133054,0.248022
62,0.119348,0.299898
63,0.117285,0.373251
64,0.095341,0.224734
65,0.090719,0.240205
66,0.087886,0.273385
67,0.089005,0.282421
68,0.090198,0.281190
69,0.086671,0.311916
70,0.087660,0.340420
71,0.086231,0.476773
72,0.085643,0.329574
73,0.083934,0.340422
74,0.085871,0.427488
75,0.088566,0.321689
76,0.084979,0.318103
77,0.082653,0.377671
78,0.086828,0.325066
79,0.087203,0.365018
80,0.087877,0.475248
81,0.084837,0.305653
82,0.082041,0.353435
83,0.084500,0.294805
84,0.081380,0.330800
85,0.098027,0.303015
86,0.089715,0.375028
87,0.076724,0.312244
88,0.067397,0.349698
89,0.052691,0.606681
90,0.058023,0.458738
91,0.050603,0.620027
92,0.052126,0.599944
93,0.050398,0.408642
94,0.046106,0.580616
95,0.045179,0.585121
