epoch,train_loss,val_loss
1,1.033144,0.339048
2,0.668212,0.346560
3,0.338276,0.281459
4,0.156959,0.204780
5,0.128623,0.176849
6,0.115726,0.178300
7,0.111791,0.349099
8,0.104120,0.212687
9,0.104282,0.203814
10,0.098734,0.669616
11,0.099778,0.253723
12,0.096202,0.241068
13,0.100128,0.332107
14,0.089029,0.212294
15,0.071875,0.316039
16,0.064648,0.332043
17,0.062854,0.221604
18,0.062497,0.424373
19,0.062364,0.551114
20,0.057965,0.385366
21,0.053818,0.433905
22,0.050179,0.329627
23,0.055328,0.391661
24,0.054512,0.256418
25,0.054043,0.496113
26,0.053941,0.330293
27,0.050381,0.378228
28,0.051910,0.424740
29,0.051310,0.724867
30,0.057869,0.683378
31,0.050021,0.784892
32,0.050886,0.592132
33,0.047790,0.495429
34,0.047053,0.460697
35,0.048746,0.846698
36,0.047103,0.559982
37,0.046553,0.530287
38,0.052284,0.432160
39,0.050707,0.550039
40,0.044481,0.618837
41,0.046142,0.635901
42,0.046280,0.616183
43,0.051687,0.416735
44,0.050478,0.497072
45,0.044581,0.593032
46,0.048225,0.421552
47,0.048246,0.736028
48,0.044398,0.640500
49,0.045188,0.580025
50,0.048162,0.563551
51,0.045986,0.597835
52,0.048961,0.863577
53,0.049425,0.678709
54,0.043407,0.827006
55,0.054569,0.751259
56,0.050215,0.552533
57,0.043493,0.560499
58,0.043806,0.658519
59,0.044844,0.567935
60,0.042026,0.383602
61,0.050782,0.506369
62,0.044133,0.423749
63,0.048845,0.466751
64,0.048169,0.616314
65,0.041608,0.533701
66,0.042354,0.708490
67,0.039746,0.632861
68,0.039923,0.697525
69,0.040758,0.775499
70,0.045951,0.529998
71,0.042588,0.694627
72,0.039717,0.768781
73,0.040114,0.602016
74,0.042593,0.658240
75,0.042784,0.591198
76,0.040752,0.700188
77,0.044405,0.565623
78,0.044225,0.511219
79,0.039971,0.480386
80,0.041901,0.654303
