epoch,train_loss,val_loss
1,0.888402,0.276091
2,0.398451,0.231994
3,0.194965,0.248952
4,0.182831,0.187426
5,0.153697,0.165841
6,0.163762,0.193130
7,0.152060,0.188412
8,0.148456,0.211268
9,0.140687,0.214577
10,0.130060,0.212211
11,0.123065,0.299477
12,0.126574,0.275787
13,0.153972,0.226514
14,0.131342,0.223412
15,0.113613,0.249167
16,0.103253,0.258528
17,0.095815,0.259923
18,0.091171,0.272230
19,0.080577,0.272573
20,0.100018,0.290036
21,0.108649,0.307052
22,0.085376,0.367214
23,0.077480,0.272248
24,0.074002,0.325483
25,0.079029,0.287566
26,0.072062,0.274699
27,0.065811,0.273891
28,0.065785,0.322911
29,0.066929,0.313690
30,0.070332,0.279387
31,0.064545,0.280273
32,0.064029,0.343215
33,0.067652,0.282008
34,0.072222,0.299600
35,0.062114,0.326319
36,0.063474,0.311755
37,0.073314,0.289518
38,0.063710,0.274532
39,0.065289,0.305743
40,0.057816,0.355384
41,0.061795,0.284292
42,0.067425,0.284027
43,0.059285,0.289324
44,0.058426,0.326265
45,0.059077,0.281442
46,0.056181,0.283882
47,0.055815,0.445322
48,0.059541,0.308051
49,0.053055,0.286463
50,0.058452,0.289886
51,0.056992,0.393697
52,0.056956,0.363419
53,0.061168,0.312108
54,0.053398,0.276785
55,0.054523,0.283480
56,0.056980,0.281587
57,0.052210,0.361251
58,0.052360,0.281709
59,0.050388,0.287845
60,0.051195,0.283819
61,0.049624,0.285390
62,0.052293,0.286673
63,0.051977,0.286124
64,0.051102,0.297089
65,0.050719,0.283995
66,0.053316,0.337746
67,0.053556,0.412680
68,0.052515,0.277237
69,0.050979,0.366140
70,0.049594,0.365387
71,0.049813,0.275550
72,0.047835,0.290054
73,0.050718,0.293276
74,0.050280,0.290180
75,0.047208,0.293745
76,0.048229,0.367602
77,0.048055,0.286264
78,0.049661,0.317833
79,0.049211,0.293735
80,0.048180,0.296286
