epoch,train_loss,val_loss
1,0.931225,0.336833
2,0.725604,0.403316
3,0.221728,0.213197
4,0.162453,0.190697
5,0.165804,0.271311
6,0.163831,0.275310
7,0.148501,0.283146
8,0.133895,0.273819
9,0.128016,0.303242
10,0.119841,0.295978
11,0.104396,0.296695
12,0.107960,0.326314
13,0.103413,0.277022
14,0.094224,0.277129
15,0.091920,0.292471
16,0.083943,0.286417
17,0.085698,0.293529
18,0.083512,0.283281
19,0.102787,0.289359
20,0.085205,0.286087
21,0.078033,0.409372
22,0.078718,0.279707
23,0.082249,0.343865
24,0.103395,0.297985
25,0.080744,0.286463
26,0.078260,0.302172
27,0.077646,0.301480
28,0.073515,0.339832
29,0.071026,0.292679
30,0.083453,0.381998
31,0.123789,0.327856
32,0.366799,0.282151
33,0.178759,0.284847
34,0.124728,0.286360
35,0.113843,0.334189
36,0.122817,0.304595
37,0.085419,0.306348
38,0.077837,0.403192
39,0.078912,0.359540
40,0.084181,0.291971
41,0.076764,0.508757
42,0.072559,0.461868
43,0.081511,0.457075
44,0.074281,0.436542
45,0.070066,0.495988
46,0.071997,0.417375
47,0.077191,0.571713
48,0.076695,0.410816
49,0.073542,0.301013
50,0.071853,0.551129
51,0.068729,0.362132
52,0.068632,0.298718
53,0.069391,0.519618
54,0.070170,0.545442
55,0.070176,0.378740
56,0.073148,0.587125
57,0.070362,0.301092
58,0.061545,0.407102
59,0.064135,0.411905
60,0.062638,0.413808
61,0.067447,0.497232
62,0.067026,0.324383
63,0.066554,0.366277
64,0.062855,0.357175
65,0.065744,0.397135
66,0.062741,0.380148
67,0.060263,0.400256
68,0.064571,0.385684
69,0.061454,0.332186
70,0.058415,0.597479
71,0.063796,0.509895
72,0.071385,0.396671
73,0.163619,0.299386
74,0.135472,0.299672
75,0.084990,0.351829
76,0.074365,0.325944
77,0.066885,0.351988
78,0.065064,0.404230
79,0.061564,0.442776
80,0.061946,0.419228
