epoch,train_loss,val_loss
1,0.689765,0.401364
2,0.166034,0.873963
3,0.134404,0.304854
4,0.134138,0.300309
5,0.127555,0.279371
6,0.136244,0.249533
7,0.115390,0.587770
8,0.111855,0.291520
9,0.115288,0.458672
10,0.309524,0.273482
11,0.535447,0.297859
12,0.179817,0.788564
13,0.140394,0.303796
14,0.128486,0.247855
15,0.124864,0.596732
16,0.116674,0.343937
17,0.120837,0.294187
18,0.112463,0.411677
19,0.112352,0.365062
20,0.109114,0.370502
21,0.112222,0.403735
22,0.087893,0.346611
23,0.083597,0.291726
24,0.075977,0.475166
25,0.073090,0.518879
26,0.071549,0.502509
27,0.103406,0.282262
28,0.077625,0.259218
29,0.074933,0.691878
30,0.076872,0.312416
31,0.064470,0.419337
32,0.065883,0.434069
33,0.068532,0.288863
34,0.075034,0.316793
35,0.065271,0.618402
36,0.064697,0.315022
37,0.394276,0.278363
38,0.241584,0.331002
39,0.122653,0.416477
40,0.120736,0.414840
41,0.109540,0.331925
42,0.116901,0.337056
43,0.161724,0.607455
44,0.128933,0.289904
45,0.106410,0.303855
46,0.105853,0.367711
47,0.102575,0.454498
48,0.103210,0.323134
49,0.105869,0.303813
50,0.105348,0.294853
51,0.104909,0.385345
52,0.101617,0.514879
53,0.102772,0.438925
54,0.106842,0.348976
55,0.162273,0.315498
56,0.367198,0.264082
57,0.125086,0.302322
58,0.110630,0.298571
59,0.106287,0.330454
60,0.106418,0.351598
61,0.108968,0.346976
62,0.102570,0.407977
63,0.103997,0.300745
64,0.112439,0.310604
65,0.115375,0.294941
66,0.106480,0.293002
67,0.103787,0.372758
68,0.101280,0.329995
69,0.106076,0.328089
70,0.102420,0.639410
71,0.283456,0.282477
72,0.239521,0.229333
73,0.138142,0.481256
74,0.113672,0.272504
75,0.115876,0.252476
76,0.137945,0.273138
77,0.125509,0.272244
78,0.104709,0.277613
79,0.102935,0.287024
80,0.109837,0.282120
81,0.101715,0.373906
82,0.102726,0.304591
83,0.108463,0.313718
84,0.103694,0.302891
85,0.102434,0.351052
86,0.286207,0.282706
87,0.425664,0.274733
88,0.143226,0.293156
89,0.122222,0.379130
90,0.114285,0.283185
91,0.109622,0.296764
92,0.107227,0.302748
93,0.109952,0.304529
94,0.267745,0.290996
95,0.171522,0.531164
96,0.125796,0.457938
97,0.113384,0.405758
98,0.108266,0.468250
99,0.107992,0.412784
100,0.106094,0.312423
101,0.104805,0.302148
102,0.105467,0.304821
103,0.104862,0.813975
104,0.127394,0.486723
105,0.107593,0.296307
106,0.101423,0.301277
107,0.099303,0.317467
108,0.099682,0.291764
109,0.098296,0.314585
110,0.116119,0.299778
111,0.099333,0.296059
112,0.101058,0.375730
113,0.098591,0.291889
114,0.103734,0.285410
115,0.100755,0.296619
116,0.101454,0.286055
117,0.097347,0.291796
118,0.101167,0.317305
119,0.101158,0.294104
120,0.112640,0.328425
121,0.201599,0.263156
122,0.115266,0.302012
