epoch,train_loss,val_loss
1,0.974943,0.464305
2,0.769789,0.364397
3,0.310123,0.298073
4,0.231047,0.296327
5,0.174993,0.310299
6,0.167781,0.359379
7,0.171487,0.354886
8,0.163341,0.315577
9,0.153177,0.374616
10,0.153603,0.598345
11,0.184712,0.360849
12,0.180742,0.475424
13,0.194819,0.294546
14,0.153508,0.293883
15,0.154246,0.280783
16,0.156011,0.282752
17,0.142221,0.296133
18,0.169831,0.292588
19,0.144784,0.301161
20,0.136352,0.310778
21,0.146882,0.269673
22,0.142567,0.276745
23,0.134534,0.300464
24,0.202254,0.268544
25,0.179984,0.338480
26,0.153142,0.297683
27,0.163940,0.466989
28,0.163453,0.277753
29,0.136483,0.285388
30,0.143616,0.276865
31,0.133738,0.394298
32,0.144851,0.291593
33,0.182020,0.288026
34,0.140704,0.293837
35,0.130546,0.299849
36,0.131794,0.278778
37,0.125863,0.301654
38,0.132099,0.293280
39,0.133906,0.300615
40,0.131115,0.287761
41,0.128172,0.285399
42,0.134333,0.296094
43,0.312641,0.344003
44,0.269441,0.406468
45,0.208684,0.401480
46,0.170689,0.293669
47,0.153720,0.295150
48,0.136721,0.294383
49,0.137552,0.297593
50,0.127845,0.271490
51,0.127662,0.295588
52,0.130212,0.276801
53,0.131818,0.309106
54,0.142417,1.391367
55,0.283758,0.319972
56,0.229941,0.309340
57,0.177864,1.106490
58,0.145840,0.506738
59,0.170667,0.275563
60,0.145388,0.287569
61,0.128945,0.398816
62,0.131390,0.340087
63,0.129645,0.366090
64,0.132875,0.268075
65,0.127911,0.271988
66,0.124699,0.280510
67,0.124110,0.271175
68,0.127192,0.281442
69,0.122651,0.271970
70,0.128425,0.272293
71,0.128152,0.289682
72,0.123360,0.277888
73,0.173036,0.283846
74,0.180243,0.331167
75,0.141136,0.286001
76,0.127045,0.279706
77,0.131693,0.285146
78,0.126482,0.275506
79,0.122949,0.281635
80,0.117960,0.351507
81,0.119853,0.282163
82,0.115389,0.284685
83,0.111293,0.278438
84,0.115564,0.291478
85,0.116016,0.292904
86,0.113405,0.361162
87,0.113163,0.292665
88,0.104821,0.280211
89,0.103855,0.282282
90,0.109146,0.285600
91,0.355251,0.366094
92,0.410315,0.262485
93,0.368581,0.337454
94,0.304865,0.354139
95,0.220191,0.304534
96,0.178816,0.459795
97,0.159654,0.268503
98,0.140478,0.300183
99,0.142903,0.285137
100,0.129233,0.318508
101,0.122941,0.272735
102,0.131119,0.288317
103,0.124722,0.274898
104,0.135336,0.296360
105,0.122607,0.283069
106,0.110836,0.296269
107,0.108024,0.320878
108,0.137161,0.315845
109,0.141758,0.439843
110,0.130313,0.351393
111,0.107645,0.314718
112,0.106627,0.288564
113,0.106032,0.496850
114,0.106912,0.290234
115,0.097534,0.350817
116,0.094831,0.293167
117,0.101571,0.469277
118,0.100873,0.515210
119,0.101578,0.315963
120,0.096741,0.314956
121,0.115285,0.300627
122,0.108410,0.295941
123,0.091946,0.337768
124,0.093011,0.347026
125,0.089050,0.336178
126,0.089752,0.385232
127,0.093509,0.299548
128,0.090588,0.553680
129,0.229001,0.903192
130,1.351772,0.591106
131,0.708045,0.334580
132,0.548151,0.595812
133,0.458136,0.299053
134,0.501454,0.298091
135,0.345351,0.296873
136,0.270119,0.287820
137,0.242003,0.265381
138,0.231290,0.453586
139,0.214255,0.510177
140,0.211854,0.271967
141,0.192831,0.310913
142,0.243166,0.292104
