epoch,train_loss,val_loss
1,1.800965,1.892004
2,0.503812,0.558430
3,0.259791,0.173952
4,0.190314,0.177652
5,0.188460,0.284809
6,0.169497,0.269919
7,0.161711,0.742675
8,0.149291,0.385720
9,0.148177,0.270280
10,0.174013,0.251877
11,0.148547,0.227660
12,0.132309,0.233032
13,0.120168,0.341245
14,0.130966,0.278786
15,0.128396,0.411044
16,0.102540,0.278189
17,0.112183,0.268021
18,0.093607,0.277824
19,0.093409,0.530069
20,0.091552,0.293529
21,0.133866,0.294203
22,0.100374,0.361259
23,0.087506,0.294561
24,0.085877,0.548285
25,0.092050,0.420124
26,0.078662,0.324618
27,0.081357,0.280716
28,0.080245,0.287790
29,0.086204,0.455653
30,0.077007,0.411582
31,0.074970,0.318309
32,0.080655,0.550593
33,0.074856,0.355200
34,0.071351,0.466169
35,0.069535,0.547119
36,0.070611,0.446185
37,0.086933,0.352309
38,0.076679,0.367340
39,0.072416,0.498225
40,0.068529,0.486338
41,0.064074,0.335555
42,0.070715,0.301547
43,0.080792,0.351615
44,0.072656,0.418586
45,0.067224,0.378830
46,0.072262,0.470140
47,0.066216,0.434507
48,0.064798,0.501783
49,0.064575,0.554934
50,0.067720,0.408775
51,0.065149,0.431089
52,0.068614,0.596078
53,0.064279,0.532712
54,0.067263,0.468243
55,0.069381,0.388642
56,0.063020,0.502460
57,0.063267,0.544894
58,0.063385,0.351394
59,0.062751,0.545200
60,0.058807,0.434649
61,0.059678,0.487474
62,0.059828,0.706614
63,0.063200,0.494608
64,0.059656,0.591529
65,0.057487,0.577685
66,0.064021,0.438895
67,0.066441,0.355688
68,0.066144,0.593787
69,0.060533,0.495097
70,0.059413,0.508242
71,0.057747,0.548294
72,0.054113,0.528690
73,0.057508,0.491340
74,0.054322,0.630110
75,0.055083,0.576813
76,0.054630,0.476178
77,0.056526,0.379940
78,0.057383,0.455070
79,0.058755,0.450026
80,0.053141,0.598357
