epoch,train_loss,val_loss
1,0.737205,0.700230
2,0.312026,0.239489
3,0.192594,0.221749
4,0.206231,0.266321
5,0.172795,0.269491
6,0.200160,0.266522
7,0.163142,0.403206
8,0.162549,0.288295
9,0.150355,0.295361
10,0.151523,0.282843
11,0.150211,0.299101
12,0.159952,0.367790
13,0.168095,0.287293
14,0.159119,0.237332
15,0.145204,0.275813
16,0.153942,0.284662
17,0.151603,0.290111
18,0.149648,0.291141
19,0.156868,0.280297
20,0.158913,0.271496
21,0.144857,0.271535
22,0.160351,0.278999
23,0.165880,0.287191
24,0.149144,0.283770
25,0.146316,0.277100
26,0.155289,0.271688
27,0.140390,0.269582
28,0.143821,0.292834
29,0.143700,0.267919
30,0.135842,0.262222
31,0.144742,0.292406
32,0.164243,0.352190
33,0.351736,0.287238
34,0.511196,0.289620
35,0.452309,0.323566
36,0.461750,0.256827
37,0.236221,0.264813
38,0.219213,0.266193
39,0.187582,0.293564
40,0.175180,0.291619
41,0.156199,0.295991
42,0.156759,0.293778
43,0.151065,0.289100
44,0.179041,0.283238
45,0.154911,0.280973
46,0.147116,0.299185
47,0.159961,0.278522
48,0.211949,0.286209
49,0.166485,0.279421
50,0.151019,0.290429
51,0.138250,0.285787
52,0.135719,0.295459
53,0.134809,0.263720
54,0.132675,0.282863
55,0.132957,0.280113
56,0.133532,0.284783
57,0.131232,0.290629
58,0.131527,0.271932
59,0.123759,0.269944
60,0.125310,0.284495
61,0.125875,0.289294
62,0.121183,0.289144
63,0.126010,0.297172
64,0.121789,0.288261
65,0.116888,0.289044
66,0.120079,0.294759
67,0.135359,0.291278
68,0.121399,0.290327
69,0.119021,0.284371
70,0.115891,0.292051
71,0.135380,0.276522
72,0.112686,0.296995
73,0.106706,0.271622
74,0.115418,0.281477
75,0.108186,0.293727
76,0.102165,0.305993
77,0.101214,0.295411
78,0.103073,0.296787
79,0.100097,0.300107
80,0.095537,0.294091
