epoch,train_loss,val_loss
1,0.793170,0.263937
2,0.219367,0.323362
3,0.178136,0.400337
4,0.163350,0.407177
5,0.160605,0.253420
6,0.159592,0.252189
7,0.156352,0.259663
8,0.154158,0.537893
9,0.243046,0.256103
10,0.157093,0.328191
11,0.158826,0.239559
12,0.148846,0.263974
13,0.160522,0.361772
14,1.001670,0.430961
15,1.008771,0.316140
16,0.782043,0.475165
17,0.390498,0.308714
18,0.320662,0.456229
19,0.221560,0.286943
20,0.219197,0.264770
21,0.200618,0.273361
22,0.200661,0.634610
23,0.222020,0.399012
24,0.180316,0.378813
25,0.177748,0.272937
26,0.169407,0.345842
27,0.201366,0.329138
28,0.171264,0.285666
29,0.167691,0.596428
30,0.169122,0.302249
31,0.165452,0.344986
32,0.170509,0.302537
33,0.155974,0.264968
34,0.154157,0.273972
35,0.150785,0.874590
36,0.180495,0.405391
37,0.171813,0.287092
38,0.153437,0.606858
39,0.177192,0.296405
40,0.180735,0.408744
41,0.148936,0.301779
42,0.155752,0.358104
43,0.157550,0.273366
44,0.171208,0.306729
45,0.165343,0.293661
46,0.149432,0.279580
47,0.149536,0.288468
48,0.148458,0.272677
49,0.149589,0.279402
50,0.150996,0.296477
51,0.151928,0.286765
52,0.145857,0.264753
53,0.152423,0.698512
54,0.153746,0.275729
55,0.147875,0.488249
56,0.141039,0.288616
57,0.147937,0.287178
58,0.146848,0.593949
59,0.143697,0.536951
60,0.146672,0.289323
61,0.158229,0.295151
62,0.245226,0.390247
63,0.175054,0.295965
64,0.147081,0.440710
65,0.147232,0.289123
66,0.154387,0.296721
67,0.141729,0.277317
68,0.155640,0.275727
69,0.166985,0.270586
70,0.167691,0.281103
71,0.145960,0.277347
72,0.160205,0.283348
73,0.157930,0.278883
74,0.141711,0.284333
75,0.145443,0.302589
76,0.139626,0.737751
77,0.151467,0.272991
78,0.148830,0.704830
79,0.190239,0.279507
80,0.141804,0.407313
