epoch,train_loss,val_loss
1,1.201019,0.320021
2,0.950560,0.254354
3,0.600418,0.304679
4,0.239604,0.209690
5,0.176725,0.478182
6,0.167038,0.266920
7,0.164332,0.228258
8,0.157123,0.437658
9,0.146025,0.257339
10,0.162108,0.267199
11,0.148467,0.322930
12,0.154345,0.465587
13,0.142293,0.328172
14,0.152162,0.276407
15,0.147325,0.284444
16,0.146513,0.273516
17,0.142209,0.269665
18,0.146374,0.284485
19,0.140922,0.307295
20,0.134358,0.334781
21,0.133423,0.271888
22,0.137607,0.271904
23,0.153393,0.291358
24,0.134700,0.281326
25,0.138646,0.433430
26,0.133394,0.678423
27,0.154185,0.262344
28,0.163895,0.283561
29,0.157298,0.330579
30,0.139074,0.284725
31,0.133462,0.410170
32,0.130483,0.312994
33,0.133070,0.320241
34,0.126807,0.326747
35,0.129644,0.268689
36,0.122388,0.297438
37,0.197747,0.305955
38,0.188081,0.334867
39,0.138541,0.468667
40,0.131406,0.305129
41,0.130338,0.406644
42,0.129922,0.337600
43,0.128682,0.422241
44,0.127969,0.421298
45,0.126564,0.267364
46,0.128198,0.688640
47,0.126100,0.326044
48,0.130840,0.955891
49,0.139868,0.236834
50,0.129672,0.270818
51,0.123935,0.333536
52,0.128494,0.368718
53,0.209106,0.284806
54,0.564000,0.246667
55,0.294114,0.256993
56,0.165365,0.314330
57,0.149181,0.364714
58,0.147969,0.363897
59,0.139217,0.285198
60,0.158988,0.283033
61,0.144189,0.276343
62,0.135223,0.303587
63,0.138787,0.405745
64,0.129795,0.354946
65,0.130201,0.611002
66,0.148776,0.324413
67,0.353219,0.254976
68,0.204553,0.354982
69,0.154669,0.517541
70,0.148620,0.285279
71,0.145593,0.275293
72,0.137627,0.477103
73,0.133673,0.349832
74,0.133457,0.283738
75,0.134190,0.336874
76,0.132158,0.339360
77,0.132142,0.291634
78,0.207264,0.282414
79,0.187039,0.264825
80,0.151998,0.273551
