epoch,train_loss,val_loss
1,0.778232,0.337090
2,0.295078,0.220259
3,0.157292,0.253734
4,0.133736,0.345224
5,0.131778,0.212528
6,0.121826,0.284951
7,0.127404,0.233753
8,0.120688,0.224724
9,0.123397,0.242649
10,0.115793,0.274305
11,0.111713,0.262230
12,0.121220,0.250331
13,0.114854,0.260936
14,0.110647,0.426916
15,0.125087,0.333474
16,0.120470,0.430712
17,0.119805,0.227787
18,0.116623,0.237038
19,0.105601,0.260707
20,0.107646,0.325780
21,0.102082,0.355928
22,0.105049,0.272794
23,0.107616,0.283888
24,0.107164,0.323796
25,0.108356,0.263195
26,0.104040,0.249109
27,0.107870,0.280231
28,0.114201,0.271728
29,0.103981,0.313175
30,0.107201,0.314082
31,0.099420,0.283416
32,0.107670,0.325044
33,0.099483,0.404038
34,0.119725,0.273232
35,0.107684,0.286458
36,0.100612,0.297105
37,0.102900,0.274089
38,0.135576,0.282027
39,0.110954,0.280881
40,0.101528,0.288247
41,0.105386,0.309818
42,0.098494,0.275619
43,0.095221,0.321341
44,0.099915,0.323155
45,0.098356,0.339427
46,0.096950,0.302252
47,0.102181,0.254506
48,0.097271,0.289345
49,0.093142,0.281204
50,0.096559,0.284541
51,0.093480,0.296880
52,0.097665,0.275568
53,0.094501,0.359231
54,0.093088,0.299202
55,0.096986,0.277954
56,0.091059,0.348924
57,0.089080,0.366277
58,0.089797,0.368349
59,0.094320,0.294910
60,0.319845,0.313567
61,0.912245,0.394508
62,1.020057,0.378461
63,0.943236,0.307167
64,0.709866,0.249017
65,0.410206,0.204791
66,0.227140,0.194942
67,0.206636,0.178050
68,0.193849,0.196682
69,0.168942,0.206348
70,0.170209,0.215511
71,0.165108,0.214121
72,0.158551,0.224472
73,0.162926,0.223081
74,0.169473,0.250765
75,0.172565,0.293409
76,0.152945,0.231199
77,0.155042,0.247603
78,0.165429,0.267532
79,0.154344,0.242719
80,0.148154,0.249033
81,0.164487,0.260953
82,0.155163,0.235808
83,0.150046,0.288656
84,0.150504,0.243041
85,0.147266,0.264225
86,0.145773,0.257616
87,0.152983,0.242869
88,0.159283,0.322452
89,0.149534,0.261113
90,0.153710,0.252489
91,0.148771,0.247483
92,0.136224,0.283221
93,0.139568,0.262080
94,0.135364,0.257842
95,0.135222,0.266075
96,0.125029,0.273213
97,0.126447,0.297183
98,0.125546,0.289394
99,0.122465,0.262636
100,0.111781,0.334576
101,0.109531,0.240837
102,0.110846,0.259645
103,0.105781,0.288777
104,0.111068,0.266153
105,0.105594,0.266525
106,0.103352,0.258896
107,0.101321,0.322356
108,0.105249,0.277843
109,0.106072,0.258947
110,0.101799,0.273609
111,0.104898,0.263214
112,0.103412,0.282009
113,0.100146,0.257528
114,0.099639,0.308083
115,0.103915,0.303959
116,0.098652,0.274039
117,0.095296,0.279883
