epoch,train_loss,val_loss
1,1.550335,0.387340
2,0.733364,0.350037
3,0.466064,0.206437
4,0.262355,0.221313
5,0.233717,0.441087
6,0.159703,0.237496
7,0.133300,0.272801
8,0.131135,0.274035
9,0.125417,0.194931
10,0.124714,0.256086
11,0.115145,0.303435
12,0.115222,0.552643
13,0.118463,0.298298
14,0.111645,0.308443
15,0.119241,0.288024
16,0.103873,0.333429
17,0.096728,0.382629
18,0.095656,0.367252
19,0.131071,0.451800
20,0.092830,0.472978
21,0.088009,0.686090
22,0.094370,0.444910
23,0.091928,0.426429
24,0.076350,0.513691
25,0.068560,0.476656
26,0.063989,0.512087
27,0.088785,0.414843
28,0.101764,0.457532
29,0.072268,0.415457
30,0.069520,0.451800
31,0.059984,0.509098
32,0.064434,0.427917
33,0.057255,0.506216
34,0.060535,0.433190
35,0.059112,0.493947
36,0.058236,0.516888
37,0.052138,0.572874
38,0.060997,0.590672
39,0.058894,0.496702
40,0.070119,0.352678
41,0.062292,0.418196
42,0.064951,0.538692
43,0.061409,0.462759
44,0.058868,0.493099
45,0.056067,0.564343
46,0.059372,0.463452
47,0.055780,0.473787
48,0.060953,0.429530
49,0.052324,0.562586
50,0.055581,0.566365
51,0.051220,0.462422
52,0.056938,0.563039
53,0.051930,0.574735
54,0.055749,0.419411
55,0.052764,0.548671
56,0.056556,0.393383
57,0.064247,0.578216
58,0.059945,0.427934
59,0.047887,0.457781
60,0.053442,0.485695
61,0.050190,0.513775
62,0.048262,0.541319
63,0.048793,0.586175
64,0.048003,0.451454
65,0.052924,0.445617
66,0.049750,0.666740
67,0.050397,0.461068
68,0.055525,0.402348
69,0.052666,0.564993
70,0.051659,0.481070
71,0.053432,0.420595
72,0.052983,0.547715
73,0.048049,0.542046
74,0.047483,0.573665
75,0.048399,0.509064
76,0.051159,0.610532
77,0.048715,0.667832
78,0.051014,0.592588
79,0.048015,0.557025
80,0.054437,0.476625
