epoch,train_loss,val_loss
1,1.125439,0.978561
2,0.525928,0.211159
3,0.247928,0.241568
4,0.162617,0.187646
5,0.143737,0.147560
6,0.117914,0.226831
7,0.109992,0.350824
8,0.133898,0.174587
9,0.101488,0.248845
10,0.097295,0.226842
11,0.103108,0.353002
12,0.091416,0.417563
13,0.095763,0.362027
14,0.092472,0.333145
15,0.067818,0.419420
16,0.062522,0.493907
17,0.066946,0.534405
18,0.059395,0.840965
19,0.060059,1.079141
20,0.057246,0.619535
21,0.055861,0.741820
22,0.050589,0.573079
23,0.047141,0.987299
24,0.044312,0.922060
25,0.053790,0.566507
26,0.046318,0.685135
27,0.045175,0.742644
28,0.048541,0.561357
29,0.043459,0.568166
30,0.042755,0.616780
31,0.046262,0.734546
32,0.054559,0.997185
33,0.049935,0.573857
34,0.045031,0.659809
35,0.040131,0.794170
36,0.039803,0.660836
37,0.038672,0.551552
38,0.039332,0.562097
39,0.045667,0.386285
40,0.049454,0.348905
41,0.044381,0.586679
42,0.046234,0.628507
43,0.042785,0.513410
44,0.037484,0.492159
45,0.042530,0.506644
46,0.046839,0.452068
47,0.042035,0.396523
48,0.037477,0.436838
49,0.037452,0.511326
50,0.039787,0.547827
51,0.044902,0.361938
52,0.034626,0.396275
53,0.034779,0.491781
54,0.037653,0.363774
55,0.043101,0.328365
56,0.041382,0.492975
57,0.038276,0.534933
58,0.043144,0.371416
59,0.042481,0.352581
60,0.037442,0.367037
61,0.035081,0.420631
62,0.033592,0.327688
63,0.032382,0.412821
64,0.032274,0.430014
65,0.033503,0.355003
66,0.033462,0.315915
67,0.033763,0.284292
68,0.033964,0.355576
69,0.032173,0.387146
70,0.030952,0.312657
71,0.031674,0.444651
72,0.031481,0.334589
73,0.030424,0.376697
74,0.031314,0.432740
75,0.030444,0.365861
76,0.030492,0.409315
77,0.030223,0.336618
78,0.032620,0.295584
79,0.031692,0.297828
80,0.032657,0.300640
