epoch,train_rate_mse,val_rate_mse,val_value_mse
1,9.645948325635703e-05,8.135856590144624e-05,5.0084637558132824e-05
2,8.884152468511999e-05,7.780465937558936e-05,5.0084637558132824e-05
3,8.178623907802972e-05,7.408772762494731e-05,5.0084637558132824e-05
4,7.57488066789706e-05,7.067199467117286e-05,5.0084637558132824e-05
5,7.022871146522349e-05,6.791554681785757e-05,5.0084637558132824e-05
6,6.557720466736908e-05,6.53836862338806e-05,5.0084637558132824e-05
7,6.116554188794833e-05,6.303830131223725e-05,5.0084637558132824e-05
8,5.737746491961764e-05,6.070778095657799e-05,5.0084637558132824e-05
9,5.400288794484214e-05,5.8956140548809396e-05,5.0084637558132824e-05
10,5.092301203120543e-05,5.681357211166655e-05,5.0084637558132824e-05
11,4.834334360163315e-05,5.5152280960598336e-05,5.0084637558132824e-05
12,4.5658643523061515e-05,5.379467685497327e-05,5.0084637558132824e-05
13,4.323197090486744e-05,5.2371912185964707e-05,5.0084637558132824e-05
14,4.119718361153291e-05,5.089175827341305e-05,5.0084637558132824e-05
15,3.9171560009388906e-05,4.9650786386504045e-05,5.0084637558132824e-05
16,3.7359881008491e-05,4.852641090176199e-05,5.0084637558132824e-05
17,3.572003765549369e-05,4.760025005276807e-05,5.0084637558132824e-05
18,3.419090500914114e-05,4.656235160832605e-05,5.0084637558132824e-05
19,3.286191721307934e-05,4.595461776832405e-05,5.0084637558132824e-05
20,3.177707918721617e-05,4.532107821921418e-05,5.0084637558132824e-05
21,3.0725535811970965e-05,4.452866744205585e-05,5.0084637558132824e-05
22,2.9817185066752504e-05,4.3771701917812676e-05,5.0084637558132824e-05
23,2.89833906791735e-05,4.3081362048890945e-05,5.0084637558132824e-05
24,2.814777698522989e-05,4.2602739760945124e-05,5.0084637558132824e-05
25,2.731098730183129e-05,4.209598025782551e-05,5.0084637558132824e-05
26,2.6579504499243844e-05,4.167781764061659e-05,5.0084637558132824e-05
27,2.595247836595111e-05,4.125365120503261e-05,5.0084637558132824e-05
28,2.540004892456181e-05,4.0966771203313043e-05,5.0084637558132824e-05
29,2.4866977655755586e-05,4.0739444808771634e-05,5.0084637558132824e-05
30,2.4414207860969936e-05,4.0070226784147824e-05,5.0084637558132824e-05
31,2.397546676439225e-05,3.984545602238019e-05,5.0084637558132824e-05
32,2.360114817792538e-05,3.946544925975225e-05,5.0084637558132824e-05
33,2.3204626193805983e-05,3.9012917586770765e-05,5.0084637558132824e-05
34,2.292135505732341e-05,3.883697168802353e-05,5.0084637558132824e-05
35,2.2588584698526596e-05,3.868597499654981e-05,5.0084637558132824e-05
36,2.2260605348736453e-05,3.851752295436055e-05,5.0084637558132824e-05
37,2.1971902639503703e-05,3.831224776106936e-05,5.0084637558132824e-05
38,2.1695920268759774e-05,3.8287699775995445e-05,5.0084637558132824e-05
39,2.1418194314899346e-05,3.8276222376028586e-05,5.0084637558132824e-05
40,2.1235506146159008e-05,3.807380322093235e-05,5.0084637558132824e-05
41,2.1015240090382503e-05,3.8061796390414525e-05,5.0084637558132824e-05
42,2.08305705163123e-05,3.838089974643143e-05,5.0084637558132824e-05
43,2.0659057294882702e-05,3.819935373403246e-05,5.0084637558132824e-05
44,2.047861643596962e-05,3.8009550150913915e-05,5.0084637558132824e-05
