epoch,train_rate_mse,val_rate_mse,val_value_mse
1,8.780463388487917e-05,6.967435355625862e-05,5.383736727371754e-05
2,7.956442846412396e-05,6.577925030125045e-05,5.383736727371754e-05
3,7.224202118944293e-05,6.23074034792542e-05,5.383736727371754e-05
4,6.572948901902789e-05,5.939939467390345e-05,5.383736727371754e-05
5,5.996019969421708e-05,5.6760589739963954e-05,5.383736727371754e-05
6,5.482680472878147e-05,5.476487626344739e-05,5.383736727371754e-05
7,5.0287696292120236e-05,5.2966924811043095e-05,5.383736727371754e-05
8,4.6270705086544376e-05,5.14479280804711e-05,5.383736727371754e-05
9,4.2684690942386185e-05,5.026731566911685e-05,5.383736727371754e-05
10,3.952348287464948e-05,4.8707567695077856e-05,5.383736727371754e-05
11,3.66748684782761e-05,4.788706567093689e-05,5.383736727371754e-05
12,3.414252692114984e-05,4.704665411483048e-05,5.383736727371754e-05
13,3.1844854626037353e-05,4.6099843969144916e-05,5.383736727371754e-05
14,2.9790374912868987e-05,4.551210953615801e-05,5.383736727371754e-05
15,2.7963479556163358e-05,4.504440261116499e-05,5.383736727371754e-05
16,2.653477436778266e-05,4.496040824199366e-05,5.383736727371754e-05
17,2.5070875857435842e-05,4.393596067186194e-05,5.383736727371754e-05
18,2.373282341124564e-05,4.298849039502161e-05,5.383736727371754e-05
19,2.2549793598365734e-05,4.272844731259939e-05,5.383736727371754e-05
20,2.1476564353459004e-05,4.249288945070559e-05,5.383736727371754e-05
21,2.061086309062082e-05,4.243267991379905e-05,5.383736727371754e-05
22,1.971910076894618e-05,4.2068659525540346e-05,5.383736727371754e-05
23,1.8923555846404588e-05,4.2057972606511626e-05,5.383736727371754e-05
24,1.8197231068099552e-05,4.156671412994297e-05,5.383736727371754e-05
25,1.7539428510502966e-05,4.115482163013496e-05,5.383736727371754e-05
26,1.6945443346977004e-05,4.085663245819246e-05,5.383736727371754e-05
27,1.6403766079984522e-05,4.03605944384241e-05,5.383736727371754e-05
28,1.5913689383077802e-05,4.033856430591887e-05,5.383736727371754e-05
29,1.5475681492293522e-05,4.019844795514199e-05,5.383736727371754e-05
30,1.5072331581095725e-05,4.023488486043736e-05,5.383736727371754e-05
31,1.4698721636620359e-05,4.0361428237791076e-05,5.383736727371754e-05
32,1.4362853592173992e-05,3.995030734965568e-05,5.383736727371754e-05
33,1.4045249407706712e-05,3.997100900454323e-05,5.383736727371754e-05
34,1.3757093468608376e-05,3.9967788671162223e-05,5.383736727371754e-05
35,1.3490536820129057e-05,4.011463072849564e-05,5.383736727371754e-05
36,1.3244767442660101e-05,4.026227218776036e-05,5.383736727371754e-05
37,1.3011770653606366e-05,4.0166476350141794e-05,5.383736727371754e-05
38,1.2799429137518504e-05,4.00118170629754e-05,5.383736727371754e-05
39,1.2608390188383325e-05,3.996189749196208e-05,5.383736727371754e-05
40,1.2419815099256615e-05,4.01054429519896e-05,5.383736727371754e-05
41,1.2250175322377057e-05,4.017967617935389e-05,5.383736727371754e-05
42,1.2084509111141686e-05,4.010415122880502e-05,5.383736727371754e-05
43,1.1925023075138078e-05,3.992217890516594e-05,5.383736727371754e-05
44,1.1782015346641316e-05,3.992676607259381e-05,5.383736727371754e-05
45,1.1648221502433226e-05,3.996404684549672e-05,5.383736727371754e-05
46,1.1526528341557188e-05,4.0065766517742525e-05,5.383736727371754e-05
47,1.1399361706904075e-05,4.0203216295397454e-05,5.383736727371754e-05
48,1.1278257756946549e-05,4.0306856400458914e-05,5.383736727371754e-05
49,1.1160928242430999e-05,4.028286259342312e-05,5.383736727371754e-05
50,1.1053142264595862e-05,4.054006732893335e-05,5.383736727371754e-05
51,1.0947212619230902e-05,4.059962852744026e-05,5.383736727371754e-05
52,1.0840128894181611e-05,4.033369940171714e-05,5.383736727371754e-05
53,1.0739462122213194e-05,4.031075120814395e-05,5.383736727371754e-05
54,1.0646443137785961e-05,4.0247628200884015e-05,5.383736727371754e-05
55,1.055703915476771e-05,4.021530221892109e-05,5.383736727371754e-05
56,1.0467369089422931e-05,4.0282511262495655e-05,5.383736727371754e-05
57,1.0385904071771945e-05,4.038189967991637e-05,5.383736727371754e-05
58,1.0290736709642082e-05,4.034330658262761e-05,5.383736727371754e-05
59,1.02164605530354e-05,4.028771446269589e-05,5.383736727371754e-05
60,1.0141559330947056e-05,4.025766457559966e-05,5.383736727371754e-05
61,1.006999218551962e-05,4.041905577047227e-05,5.383736727371754e-05
62,9.987763524581614e-06,4.0297175120968146e-05,5.383736727371754e-05
63,9.911049473112922e-06,4.00962028936779e-05,5.383736727371754e-05
64,9.839659718503039e-06,4.007062402213023e-05,5.383736727371754e-05
65,9.772452045750994e-06,4.012606225788681e-05,5.383736727371754e-05
66,9.701790745038639e-06,4.027518876600026e-05,5.383736727371754e-05
67,9.640160902364255e-06,3.999140575243196e-05,5.383736727371754e-05
68,9.578000745664561e-06,3.971596362599767e-05,5.383736727371754e-05
69,9.504547047346247e-06,3.969745307064324e-05,5.383736727371754e-05
70,9.43826800044432e-06,3.945285958503424e-05,5.383736727371754e-05
71,9.371787694180807e-06,3.9753545874290415e-05,5.383736727371754e-05
72,9.308051945990174e-06,4.003459700691805e-05,5.383736727371754e-05
73,9.249487154422893e-06,3.9945706607289666e-05,5.383736727371754e-05
74,9.177678470770983e-06,4.019881772369809e-05,5.383736727371754e-05
75,9.11896597566691e-06,4.024669646358764e-05,5.383736727371754e-05
76,9.05540781520847e-06,4.04755547932387e-05,5.383736727371754e-05
77,8.996407982795283e-06,4.076497419440379e-05,5.383736727371754e-05
78,8.944292482559384e-06,4.086190076734365e-05,5.383736727371754e-05
79,8.89046436201491e-06,4.1124864858616534e-05,5.383736727371754e-05
80,8.831868167491479e-06,4.13915470669254e-05,5.383736727371754e-05
81,8.772117417189873e-06,4.163163219530838e-05,5.383736727371754e-05
82,8.718307107317448e-06,4.1859943434051015e-05,5.383736727371754e-05
83,8.659847580199236e-06,4.190622518368186e-05,5.383736727371754e-05
84,8.612373085814855e-06,4.214352241491472e-05,5.383736727371754e-05
85,8.561231982721381e-06,4.2250093693654964e-05,5.383736727371754e-05
86,8.509805055163483e-06,4.216669096831376e-05,5.383736727371754e-05
87,8.461888597444755e-06,4.235656566303358e-05,5.383736727371754e-05
88,8.41354543472287e-06,4.248267393061742e-05,5.383736727371754e-05
89,8.360699848207521e-06,4.266321959532354e-05,5.383736727371754e-05
90,8.319908935428567e-06,4.281966795205587e-05,5.383736727371754e-05
91,8.283326987173456e-06,4.299482097679053e-05,5.383736727371754e-05
92,8.240547239420289e-06,4.3177030326112495e-05,5.383736727371754e-05
93,8.199344511120263e-06,4.3348017966391835e-05,5.383736727371754e-05
94,8.17313474923804e-06,4.362230152077925e-05,5.383736727371754e-05
95,8.13234033074053e-06,4.369657468258644e-05,5.383736727371754e-05
96,8.095358265203457e-06,4.387618188723172e-05,5.383736727371754e-05
97,8.053208968525076e-06,4.3987582088569454e-05,5.383736727371754e-05
98,8.025873896435522e-06,4.4090813662610866e-05,5.383736727371754e-05
99,7.980600008930417e-06,4.386924165868491e-05,5.383736727371754e-05
100,7.937599968549975e-06,4.366836107774848e-05,5.383736727371754e-05
101,7.902762664556893e-06,4.347820213878333e-05,5.383736727371754e-05
102,7.862501706407644e-06,4.3578574288092154e-05,5.383736727371754e-05
103,7.8241809455634e-06,4.362759959618893e-05,5.383736727371754e-05
104,7.79733822212272e-06,4.342286817442691e-05,5.383736727371754e-05
105,7.772292373178556e-06,4.33675779842123e-05,5.383736727371754e-05
106,7.755786093347359e-06,4.3242775689553256e-05,5.383736727371754e-05
107,7.740555778533837e-06,4.299448411569832e-05,5.383736727371754e-05
108,7.711904803399384e-06,4.276415069370877e-05,5.383736727371754e-05
109,7.694211278109763e-06,4.25445269796929e-05,5.383736727371754e-05
110,7.68297016297043e-06,4.234357186517767e-05,5.383736727371754e-05
111,7.648900588615052e-06,4.215775005874401e-05,5.383736727371754e-05
112,7.63160895207757e-06,4.198134617425207e-05,5.383736727371754e-05
113,7.615999291083832e-06,4.181999379196374e-05,5.383736727371754e-05
114,7.603872490367166e-06,4.167036717136341e-05,5.383736727371754e-05
115,7.561983809871327e-06,4.17556493854728e-05,5.383736727371754e-05
116,7.524416288535165e-06,4.183665366689552e-05,5.383736727371754e-05
117,7.484444702935828e-06,4.170479465190813e-05,5.383736727371754e-05
118,7.451537975998971e-06,4.158057633546795e-05,5.383736727371754e-05
119,7.427004851394412e-06,4.1646394471793854e-05,5.383736727371754e-05
120,7.41068076954443e-06,4.173016372338368e-05,5.383736727371754e-05
