epoch,train_rate_mse,val_rate_mse,val_value_mse
1,8.808088023215532e-05,7.649181497981772e-05,0.00010111703159054741
2,7.430218101944774e-05,6.889527867315337e-05,9.118376328842714e-05
3,6.301572284428403e-05,6.302516703726724e-05,8.351616997970268e-05
4,5.4422172979684547e-05,5.877814692212269e-05,7.798468141118065e-05
5,4.7831526899244636e-05,5.64964248042088e-05,7.49987957533449e-05
6,4.1340477764606476e-05,5.32214435224887e-05,7.074629684211686e-05
7,3.599632327677682e-05,5.0234433729201555e-05,6.688050052616745e-05
8,3.154141450067982e-05,4.826003350899555e-05,6.433291855501011e-05
9,2.795419277390465e-05,4.6946002839831635e-05,6.267116259550676e-05
10,2.5432264010305516e-05,4.481809810386039e-05,5.983645678497851e-05
11,2.2882280973135494e-05,4.336380152381025e-05,5.795640390715562e-05
12,2.10920516110491e-05,4.3232215830357745e-05,5.7804911193670705e-05
13,1.923450872709509e-05,4.3033611291320994e-05,5.7634701079223305e-05
14,1.768607398844324e-05,4.189185710856691e-05,5.617475471808575e-05
15,1.632381827221252e-05,4.1078288631979376e-05,5.513071664609015e-05
16,1.5209971934382338e-05,4.161380638834089e-05,5.594729373115115e-05
17,1.4277263289841358e-05,4.109454675926827e-05,5.528569090529345e-05
18,1.349870944977738e-05,4.123176768189296e-05,5.550326022785157e-05
19,1.2943374713358935e-05,4.110372901777737e-05,5.533029980142601e-05
20,1.230420730280457e-05,4.17314913647715e-05,5.6232180213555694e-05
21,1.1788744814111851e-05,4.209021426504478e-05,5.671493636327796e-05
22,1.1334292139508761e-05,4.148053994867951e-05,5.590830551227555e-05
23,1.0910138371400535e-05,4.12200388382189e-05,5.557722761295736e-05
24,1.0587537872197572e-05,4.1110051824944094e-05,5.5429361964343116e-05
25,1.0243180440738797e-05,4.18433737650048e-05,5.6472603318979964e-05
26,9.950986168405507e-06,4.220033952151425e-05,5.698547465726733e-05
27,9.67447613220429e-06,4.20768374169711e-05,5.6829485401976854e-05
