epoch,train_rate_mse,val_rate_mse,val_value_mse
1,6.401605787687004e-05,3.7114234146429226e-05,0.0022895168513059616
2,5.27148149558343e-05,3.3047166652977467e-05,0.0020390767604112625
3,4.3513093260116875e-05,2.98818285955349e-05,0.0018440429121255875
4,3.6178298614686355e-05,2.7464164304547012e-05,0.0016935578314587474
5,2.987340667459648e-05,2.5562358132447116e-05,0.0015763900009915233
6,2.4753717298153788e-05,2.4018681870074943e-05,0.0014811576111242175
7,2.060410042759031e-05,2.263338683405891e-05,0.0013951212167739868
8,1.7568996554473415e-05,2.1903244487475604e-05,0.0013489521807059646
9,1.4704363820783328e-05,2.066792148980312e-05,0.0012720647500827909
10,1.2336207873886451e-05,1.9985380276921205e-05,0.0012297402136027813
11,1.0389069757366087e-05,1.9533301383489743e-05,0.0012016365071758628
12,8.791685104370117e-06,1.9276823877589777e-05,0.0011855395277962089
13,7.475331130990526e-06,1.9093007722403854e-05,0.0011738307075574994
14,6.515596851386363e-06,1.8871089196181856e-05,0.0011598916025832295
15,5.536800927075092e-06,1.857862480392214e-05,0.0011415499029681087
16,4.7687017286079936e-06,1.842225537984632e-05,0.0011316606542095542
17,4.102502316527534e-06,1.8237016774946824e-05,0.001119935535825789
18,3.5577597827796126e-06,1.7994696463574655e-05,0.0011046696454286575
19,3.1144161312113283e-06,1.795238677004818e-05,0.001101852860301733
20,2.7344788122718455e-06,1.8001621356233954e-05,0.001104851602576673
21,2.4609098545624875e-06,1.7800917703425512e-05,0.0010923427762463689
22,2.1804125935886987e-06,1.7770405975170434e-05,0.0010902967769652605
23,1.9919989426853135e-06,1.7710788597469218e-05,0.0010867684613913298
24,1.7951451809494756e-06,1.7678677977528423e-05,0.001084612333215773
25,1.6243714071606519e-06,1.7800854038796388e-05,0.0010920554632321
26,1.4873044165142346e-06,1.7766225937521085e-05,0.0010897868778556585
27,1.3506073628377635e-06,1.769475784385577e-05,0.0010852591367438436
28,1.2356669003565912e-06,1.7577460312168114e-05,0.0010779377771541476
