epoch,train_rate_mse,val_rate_mse,val_value_mse
1,8.943209104472771e-05,7.111378363333642e-05,9.470180521020666e-05
2,8.244632772402838e-05,6.812074570916593e-05,9.077713912120089e-05
3,7.604881102452055e-05,6.504154589492828e-05,8.673974662087858e-05
4,7.060720236040652e-05,6.214139284566045e-05,8.293129940284416e-05
5,6.598974141525105e-05,6.270110316108912e-05,8.367704867850989e-05
6,6.110653339419514e-05,6.003514863550663e-05,8.017654909053817e-05
7,5.669011807185598e-05,5.750099808210507e-05,7.684382580919191e-05
8,5.275152579997666e-05,5.503090869751759e-05,7.358072616625577e-05
9,4.9128673708764836e-05,5.365545803215355e-05,7.180563261499628e-05
10,4.6255543566076085e-05,5.37667001481168e-05,7.196290971478447e-05
11,4.3174110032850876e-05,5.163147216080688e-05,6.914273399161175e-05
12,4.0807095501804724e-05,5.051755942986347e-05,6.765015859855339e-05
13,3.826714601018466e-05,4.90478087158408e-05,6.573048449354246e-05
14,3.591389031498693e-05,4.764206460095011e-05,6.389151531038806e-05
15,3.3772077586036175e-05,4.6682689571753144e-05,6.265058618737385e-05
16,3.1834068067837507e-05,4.5599721488542855e-05,6.122644117567688e-05
17,3.008761086675804e-05,4.440902921487577e-05,5.9663685533450916e-05
18,2.8455884603317827e-05,4.3488264054758474e-05,5.845489795319736e-05
19,2.7232434149482287e-05,4.300465661799535e-05,5.7824214309221134e-05
20,2.58482396020554e-05,4.2204250348731875e-05,5.679160312865861e-05
21,2.456042420817539e-05,4.144934064242989e-05,5.5806558520998806e-05
22,2.3396933102048934e-05,4.0608090785099193e-05,5.469778989208862e-05
23,2.2353990061674267e-05,4.0327286114916205e-05,5.4349624406313524e-05
24,2.1519819711102173e-05,4.058428021380678e-05,5.468927702168003e-05
25,2.0583305740728974e-05,4.000143599114381e-05,5.3933708841213956e-05
26,1.980925844691228e-05,3.9502941945102066e-05,5.327977487468161e-05
27,1.9068147594225593e-05,3.859513526549563e-05,5.206754940445535e-05
28,1.8366579752182588e-05,3.805994856520556e-05,5.1365586841711774e-05
29,1.7819280401454307e-05,3.828744593192823e-05,5.16789841640275e-05
30,1.716501901682932e-05,3.79924094886519e-05,5.130004865350202e-05
31,1.656878703215625e-05,3.753304554265924e-05,5.069512553745881e-05
32,1.613885433471296e-05,3.7698006053688005e-05,5.091213824925944e-05
33,1.565180536999833e-05,3.757531158044003e-05,5.075413719168864e-05
34,1.5215645362331998e-05,3.7364439776865765e-05,5.0488855777075514e-05
35,1.477178739150986e-05,3.7151210563024506e-05,5.021860124543309e-05
36,1.4372248188010417e-05,3.6677443858934566e-05,4.9587179091759026e-05
37,1.4065952200326137e-05,3.670080695883371e-05,4.961941158398986e-05
38,1.3672000932274386e-05,3.6464280128711835e-05,4.931462535751052e-05
39,1.3360652701521758e-05,3.6419511161511764e-05,4.9269227019976825e-05
40,1.3041860256635118e-05,3.636324981926009e-05,4.920767605653964e-05
41,1.2815340596716851e-05,3.622080839704722e-05,4.901085048913956e-05
42,1.2548895938380156e-05,3.614645538618788e-05,4.89163285237737e-05
43,1.229291592608206e-05,3.557051604730077e-05,4.815081774722785e-05
44,1.2090237760276068e-05,3.550547262420878e-05,4.805596836376935e-05
