epoch,train_loss,val_loss
1,0.306009,0.529957
2,0.238626,0.644994
3,0.252815,0.463806
4,0.245416,0.397075
5,0.197277,0.467954
6,0.175333,0.704878
7,0.179230,0.358202
8,0.161272,0.349099
9,0.150621,0.594926
10,0.151395,0.400118
11,0.136953,0.441356
12,0.145346,0.415101
13,0.132540,0.332073
14,0.138404,0.366315
15,0.135297,0.343493
16,0.200533,0.403970
17,0.243219,0.375361
18,0.229655,0.389461
19,0.196496,0.469233
20,0.170044,0.577767
21,0.161004,0.409732
22,0.156466,0.442480
23,0.142690,0.415137
24,0.136854,0.396313
25,0.145155,0.379549
26,0.138270,0.339360
27,0.131685,0.334641
28,0.179771,0.587031
29,0.142340,0.654823
30,0.142313,0.336006
31,0.130821,0.552192
32,0.123334,0.522193
33,0.130035,0.605257
34,0.118361,0.632318
35,0.131607,0.697112
36,0.138609,0.650449
37,0.115756,0.384661
38,0.111067,0.637192
39,0.116799,0.354953
40,0.149922,0.392182
41,0.138101,0.516358
42,0.117913,0.407385
43,0.130219,0.400152
44,0.115368,0.432423
45,0.159895,0.540250
46,0.121779,0.540559
47,0.117913,0.354520
48,0.110318,0.512771
49,0.120256,0.347074
50,0.137647,0.498983
51,0.109633,0.371896
52,0.108659,0.392035
53,0.112556,0.357783
54,0.110229,0.396520
55,0.109970,0.382089
56,0.101399,0.408652
57,0.116690,0.374151
58,0.099859,0.449222
59,0.103013,0.387216
60,0.107278,0.397393
61,0.103549,0.538026
62,0.138487,0.381060
63,0.101387,0.525515
64,0.114708,0.427702
65,0.140436,0.409632
66,0.108057,0.470088
67,0.094754,0.521105
68,0.095685,0.389264
69,0.091294,0.461415
70,0.079404,0.474053
71,0.081718,0.437465
72,0.146825,0.469190
73,0.137700,0.396642
74,0.128190,0.630330
75,0.097941,0.395526
76,0.112615,0.627750
77,0.129883,0.612227
78,0.117294,0.433067
79,0.102643,0.449176
80,0.193075,0.704275
81,0.119223,0.427524
82,0.107041,0.425766
83,0.165717,0.422946
84,0.120541,0.565954
85,0.163063,0.488123
86,0.135781,0.498466
87,0.105286,0.473979
88,0.105825,0.460625
89,0.101689,0.455808
90,0.094022,0.425519
91,0.160872,0.477688
92,0.102411,0.488902
93,0.123083,0.506977
94,0.136649,0.416762
95,0.094731,0.559399
96,0.152006,0.406593
97,0.123082,0.446709
98,0.104790,0.430203
99,0.102356,0.618317
