epoch,train_loss,val_loss
1,0.498088,0.531090
2,0.387901,0.486336
3,0.351315,0.477088
4,0.335082,0.513969
5,0.314644,0.573407
6,0.329805,0.589858
7,0.308297,0.564613
8,0.289157,0.574680
9,0.292278,0.575361
10,0.290444,0.582112
11,0.319702,0.568713
12,0.290808,0.550253
13,0.295445,0.550673
14,0.296582,0.549654
15,0.287792,0.553596
16,0.281753,0.510888
17,0.296595,0.591948
18,0.286546,0.561118
19,0.291411,0.597018
20,0.278344,0.591766
21,0.293976,0.522870
22,0.282495,0.584056
23,0.287440,0.552650
24,0.276046,0.590461
25,0.285673,0.594026
26,0.277355,0.589126
27,0.281417,0.595800
28,0.287191,0.606732
29,0.283570,0.570325
30,0.280897,0.574872
31,0.284779,0.582045
32,0.281373,0.590250
33,0.290083,0.527603
34,0.279745,0.580492
35,0.287984,0.554356
36,0.277045,0.608588
37,0.279191,0.614340
38,0.275347,0.581931
39,0.286077,0.595720
40,0.276006,0.561153
41,0.278576,0.609702
42,0.285656,0.592719
43,0.272968,0.582269
44,0.285454,0.561311
45,0.275924,0.551327
46,0.268956,0.596213
47,0.282854,0.601346
48,0.281565,0.587354
49,0.278593,0.544882
50,0.273584,0.598327
51,0.302624,0.582522
52,0.285471,0.578286
53,0.277439,0.624457
54,0.272777,0.629801
55,0.273075,0.600371
56,0.294138,0.582549
57,0.282009,0.627920
58,0.280214,0.579058
59,0.272372,0.652467
60,0.283752,0.599281
61,0.273124,0.597953
62,0.271806,0.617287
63,0.267627,0.613942
64,0.282927,0.595662
65,0.273393,0.634960
66,0.275237,0.601713
67,0.273230,0.606710
68,0.268072,0.587196
69,0.278192,0.605520
70,0.268683,0.598347
71,0.274800,0.612749
72,0.269182,0.613510
73,0.271183,0.598644
74,0.278364,0.614406
75,0.272313,0.596108
76,0.275642,0.578017
77,0.274458,0.589319
78,0.262240,0.636644
79,0.263220,0.587458
80,0.264069,0.609200
81,0.262698,0.624491
82,0.258330,0.687912
83,0.270462,0.601589
