epoch,train_loss,val_loss
1,0.346284,0.488373
2,0.243476,0.388536
3,0.226010,0.374896
4,0.209100,0.448700
5,0.184769,0.486861
6,0.175089,0.645919
7,0.171456,0.362972
8,0.161830,0.471560
9,0.157691,0.483926
10,0.143498,0.670116
11,0.141042,0.601749
12,0.140622,0.695019
13,0.141578,0.689956
14,0.129485,0.757414
15,0.129357,0.673112
16,0.124938,0.690504
17,0.127948,0.619127
18,0.127690,0.632298
19,0.123155,0.782359
20,0.114869,0.662194
21,0.117142,0.741364
22,0.113486,0.626695
23,0.112967,0.588075
24,0.104651,0.575540
25,0.113049,0.562443
26,0.106800,0.648460
27,0.100886,0.760160
28,0.096426,0.745366
29,0.114940,0.567711
30,0.106814,0.557644
31,0.095207,0.668632
32,0.092002,0.597216
33,0.099167,0.631160
34,0.090069,0.617671
35,0.091154,0.501670
36,0.089518,0.604089
37,0.087231,0.593538
38,0.091752,0.588757
39,0.090861,0.699656
40,0.086183,0.694848
41,0.085775,0.592829
42,0.081326,0.552558
43,0.100703,0.572367
44,0.086312,0.443008
45,0.082762,0.462292
46,0.082707,0.496911
47,0.087603,0.602408
48,0.072410,0.559745
49,0.077368,0.573278
50,0.084882,0.594762
51,0.084209,0.502791
52,0.074647,0.457833
53,0.088699,0.579185
54,0.080326,0.531623
55,0.073442,0.567311
56,0.073175,0.639118
57,0.075959,0.572331
58,0.074457,0.463646
59,0.071006,0.562848
60,0.073712,0.555046
61,0.090969,0.579543
62,0.082365,0.648969
63,0.069717,0.656185
64,0.070497,0.539884
65,0.079103,0.602978
66,0.076947,0.512533
67,0.070793,0.501749
68,0.069335,0.589097
69,0.068916,0.680985
70,0.073004,0.576372
71,0.082714,0.461595
72,0.077634,0.553620
73,0.070308,0.407925
74,0.072481,0.491384
75,0.077057,0.514871
76,0.069425,0.461054
77,0.070540,0.520707
78,0.069988,0.481914
79,0.072240,0.440072
80,0.072798,0.554271
81,0.068992,0.535111
82,0.065944,0.470692
83,0.068454,0.521097
84,0.068168,0.468787
85,0.067542,0.422964
86,0.067093,0.590622
87,0.069229,0.508094
88,0.067273,0.490107
89,0.064849,0.561777
90,0.063978,0.442550
91,0.078937,0.434053
92,0.069698,0.427377
93,0.070132,0.452425
94,0.072942,0.503036
95,0.069436,0.461392
96,0.065965,0.434145
97,0.067899,0.503468
98,0.064284,0.542261
99,0.064098,0.426864
100,0.061339,0.504629
101,0.061589,0.426167
102,0.061997,0.446483
103,0.081264,0.541428
104,0.068750,0.422943
105,0.063501,0.419588
106,0.060934,0.423122
107,0.067072,0.554042
108,0.060044,0.482965
109,0.059195,0.427100
110,0.072398,0.487793
111,0.063671,0.397339
112,0.064460,0.439811
113,0.060937,0.439578
114,0.066723,0.432389
115,0.061424,0.501273
116,0.063860,0.421487
117,0.063589,0.462898
118,0.065919,0.475189
119,0.064027,0.436642
120,0.062716,0.455560
121,0.063262,0.388088
122,0.071974,0.442536
123,0.065736,0.434046
124,0.068630,0.408690
125,0.065667,0.426675
126,0.063578,0.398794
127,0.065712,0.412577
128,0.061410,0.411188
129,0.058121,0.439252
130,0.057105,0.456189
131,0.064194,0.367274
132,0.060798,0.500485
133,0.060244,0.406131
134,0.060118,0.387077
135,0.062418,0.406220
136,0.062636,0.414298
137,0.060348,0.420371
138,0.069453,0.440140
139,0.068599,0.419006
140,0.059390,0.432017
141,0.058878,0.453388
142,0.062587,0.393128
143,0.062109,0.415551
144,0.058342,0.379647
145,0.065081,0.434551
146,0.060909,0.439885
147,0.060439,0.470145
148,0.063599,0.481739
149,0.069964,0.423677
150,0.060677,0.455212
151,0.058226,0.419140
152,0.054506,0.439275
153,0.057268,0.409654
154,0.060338,0.455040
155,0.060576,0.394513
156,0.053684,0.417630
157,0.056471,0.439081
158,0.057803,0.421218
159,0.059130,0.473613
160,0.060598,0.419138
161,0.057623,0.454970
162,0.061032,0.457993
163,0.059586,0.438111
164,0.057789,0.419655
165,0.055557,0.488031
166,0.079942,0.416875
167,0.085965,0.402933
168,0.069888,0.436884
169,0.056585,0.410418
170,0.054092,0.389696
171,0.054632,0.460842
172,0.057016,0.477309
173,0.062429,0.426666
174,0.054435,0.431975
175,0.054410,0.415603
176,0.058769,0.423343
177,0.058788,0.388587
178,0.053304,0.397317
179,0.055662,0.442828
180,0.058097,0.401745
181,0.054802,0.415181
