epoch,train_loss,val_loss
1,0.348002,0.408869
2,0.240468,0.341735
3,0.214560,0.633973
4,0.187375,0.654251
5,0.171177,0.669454
6,0.156440,0.718864
7,0.150005,0.852329
8,0.139635,0.854005
9,0.134871,0.881591
10,0.133617,0.865493
11,0.118302,0.901570
12,0.140553,0.796684
13,0.120584,0.822686
14,0.112419,0.799044
15,0.115587,0.669315
16,0.138345,0.866849
17,0.119116,0.873465
18,0.100356,0.911525
19,0.107381,0.828683
20,0.097972,0.803610
21,0.101315,0.789614
22,0.099499,0.751293
23,0.094780,0.778376
24,0.088008,0.763132
25,0.106307,0.742350
26,0.094084,0.755182
27,0.083406,0.729034
28,0.080483,0.660522
29,0.079433,0.716727
30,0.141962,0.550054
31,0.127882,0.776980
32,0.106115,0.611888
33,0.087795,0.682468
34,0.097350,0.779079
35,0.086789,0.703456
36,0.074985,0.801757
37,0.084661,0.632168
38,0.095355,0.516526
39,0.188509,0.701561
40,0.127457,0.830678
41,0.111832,0.773894
42,0.098153,0.896433
43,0.097035,0.907568
44,0.094657,0.813713
45,0.082385,0.912153
46,0.079965,0.911793
47,0.081124,0.728600
48,0.076071,0.808784
49,0.069210,0.812912
50,0.068318,0.750191
51,0.066636,0.785272
52,0.073298,0.784775
53,0.062977,0.792109
54,0.058724,0.770367
55,0.111532,0.788848
56,0.067712,0.780684
57,0.062518,0.793301
58,0.058038,0.767328
59,0.056220,0.754390
60,0.059213,0.743729
61,0.062214,0.724175
62,0.061716,0.676531
63,0.082352,0.800680
64,0.053233,0.690388
65,0.065951,0.586605
66,0.060838,0.742499
67,0.049566,0.676078
68,0.052097,0.743734
69,0.054329,0.722069
70,0.052153,0.647998
71,0.052955,0.709186
72,0.054838,0.630329
73,0.055940,0.648990
74,0.060204,0.565131
75,0.058143,0.616070
76,0.052598,0.569306
77,0.048225,0.645082
78,0.051874,0.627410
79,0.045833,0.644486
80,0.044916,0.585014
81,0.045557,0.520534
82,0.063158,0.555515
83,0.062553,0.500891
84,0.177568,0.642528
85,0.138028,0.533342
86,0.113646,0.648002
87,0.110717,0.581647
88,0.089753,0.578129
89,0.154316,0.624484
90,0.099563,0.669479
91,0.083309,0.631064
92,0.077304,0.594271
93,0.076797,0.599218
94,0.070129,0.556763
95,0.070329,0.570135
96,0.069865,0.527162
97,0.064871,0.443054
98,0.093540,0.654935
99,0.061773,0.530166
100,0.053490,0.551098
101,0.063702,0.460931
102,0.053676,0.540906
103,0.067233,0.511217
104,0.050494,0.535608
105,0.054139,0.507588
106,0.054481,0.479067
107,0.048097,0.521175
108,0.051478,0.492264
109,0.046391,0.559440
110,0.045346,0.541006
111,0.059023,0.508609
112,0.048128,0.483436
113,0.048819,0.447203
114,0.049484,0.597367
115,0.063327,0.473837
116,0.061835,0.542194
117,0.044645,0.494986
118,0.045008,0.516974
119,0.044935,0.491603
120,0.107428,0.493631
121,0.182581,0.391033
122,0.143182,0.586461
123,0.104411,0.606463
124,0.091318,0.575327
125,0.086000,0.551517
126,0.078624,0.620292
127,0.068037,0.579634
128,0.062764,0.528101
129,0.069960,0.620239
130,0.068826,0.585310
131,0.060031,0.580685
132,0.051811,0.573418
133,0.053963,0.615463
134,0.075920,0.598988
135,0.052985,0.524506
136,0.074992,0.631362
137,0.047199,0.584042
138,0.049124,0.788393
139,0.054008,0.595208
140,0.042177,0.591853
141,0.041169,0.591328
142,0.041187,0.639383
143,0.048012,0.580113
144,0.056497,0.577730
145,0.041700,0.601932
146,0.039723,0.571515
147,0.042753,0.613866
148,0.051116,0.543953
149,0.039955,0.561085
150,0.048266,0.534178
151,0.052522,0.577305
152,0.040263,0.550923
153,0.049567,0.537489
154,0.039655,0.544695
155,0.066015,0.552010
156,0.044790,0.566023
157,0.038151,0.561693
158,0.051631,0.576044
159,0.046134,0.550244
160,0.038054,0.548025
161,0.074340,0.600630
162,0.052202,0.608916
163,0.045228,0.519684
164,0.041953,0.519076
165,0.040911,0.504661
166,0.039712,0.509051
167,0.037974,0.534159
168,0.037693,0.540055
169,0.045322,0.513667
170,0.038055,0.520451
171,0.042225,0.587943
