epoch,train_loss,val_loss
1,0.333293,0.374580
2,0.240908,0.431949
3,0.218627,0.505242
4,0.192615,0.625703
5,0.173671,0.689559
6,0.162440,0.730173
7,0.160380,0.742075
8,0.190245,0.820539
9,0.164520,0.770167
10,0.154668,0.686451
11,0.155144,0.732359
12,0.141134,0.784364
13,0.147883,0.722182
14,0.142934,0.836085
15,0.137890,0.726644
16,0.140719,0.746172
17,0.134678,0.698649
18,0.124695,0.771648
19,0.135220,0.693740
20,0.121479,0.707122
21,0.124089,0.767242
22,0.122754,0.693821
23,0.121097,0.731621
24,0.116527,0.733718
25,0.125284,0.698727
26,0.139533,0.708932
27,0.135132,0.753202
28,0.161025,0.658322
29,0.154601,0.748579
30,0.140358,0.804607
31,0.131514,0.677629
32,0.132137,0.789595
33,0.106048,0.750314
34,0.109246,0.754467
35,0.110489,0.774009
36,0.130318,0.755475
37,0.113928,0.786594
38,0.103603,0.756969
39,0.091116,0.806698
40,0.111684,0.765896
41,0.097590,0.763347
42,0.105963,0.763630
43,0.114587,0.813626
44,0.088006,0.769947
45,0.100001,0.802062
46,0.090788,0.843070
47,0.095762,0.742563
48,0.101334,0.770936
49,0.093518,0.864864
50,0.089670,0.812410
51,0.086164,0.824209
52,0.090846,0.805746
53,0.242938,0.473819
54,0.172008,0.548391
55,0.147799,0.531020
56,0.130110,0.571885
57,0.131146,0.639288
58,0.118275,0.693131
59,0.112181,0.713529
60,0.109219,0.618998
61,0.103982,0.616918
62,0.105077,0.609794
63,0.101475,0.681541
64,0.097746,0.558326
65,0.108954,0.765901
66,0.097160,0.782494
67,0.087707,0.739449
68,0.086660,0.767934
69,0.098469,0.766495
70,0.117984,0.782002
71,0.137389,0.756786
72,0.093860,0.758224
73,0.108430,0.769219
74,0.087950,0.845978
75,0.104621,0.765945
76,0.079383,0.795259
77,0.078112,0.834837
78,0.073167,0.819197
79,0.073538,0.804222
80,0.088984,0.775251
81,0.082332,0.818515
82,0.077557,0.790386
83,0.080556,0.848698
84,0.076383,0.820675
85,0.069670,0.878593
86,0.094101,0.874500
87,0.076348,0.865857
88,0.071670,0.862516
89,0.070484,0.849807
90,0.067296,0.804181
91,0.128085,0.771269
92,0.095177,0.796223
93,0.082160,0.844061
94,0.075877,0.778139
95,0.085766,0.850744
96,0.071974,0.807275
97,0.074017,0.893840
98,0.067433,0.807349
99,0.070715,0.877541
100,0.068323,0.778780
101,0.081427,0.811732
102,0.081297,0.802605
103,0.071636,0.843716
