epoch,train_loss,val_loss
1,0.441754,0.389835
2,0.268913,0.426754
3,0.242744,0.393822
4,0.228511,0.385532
5,0.217511,0.376412
6,0.197914,0.487002
7,0.176451,0.601704
8,0.167696,0.629719
9,0.155677,0.737452
10,0.147901,0.747406
11,0.133206,0.825635
12,0.134805,0.781837
13,0.140264,0.641901
14,0.118403,0.789892
15,0.119466,0.684050
16,0.115017,0.817837
17,0.107042,0.815348
18,0.101792,0.696051
19,0.100346,0.736431
20,0.096150,0.778896
21,0.099108,0.728395
22,0.095401,0.560111
23,0.111068,0.584768
24,0.126284,0.782319
25,0.099748,0.790687
26,0.091715,0.765646
27,0.083697,0.751235
28,0.078827,0.736975
29,0.079811,0.702456
30,0.075129,0.795717
31,0.077582,0.587999
32,0.075177,0.711398
33,0.075089,0.685276
34,0.118536,0.665484
35,0.103514,0.823785
36,0.086561,0.703149
37,0.073171,0.683892
38,0.077428,0.787627
39,0.100754,0.708835
40,0.079654,0.744732
41,0.066622,0.671336
42,0.065314,0.694110
43,0.066307,0.694769
44,0.069876,0.699611
45,0.078517,0.722896
46,0.065704,0.718967
47,0.089913,0.722557
48,0.099878,0.650594
49,0.081008,0.749455
50,0.084172,0.724553
51,0.075950,0.660215
52,0.063340,0.680319
53,0.059896,0.668886
54,0.058031,0.708078
55,0.057171,0.665378
56,0.056341,0.621698
57,0.060886,0.717361
58,0.129245,0.462895
59,0.102931,0.479533
60,0.080347,0.460688
61,0.064270,0.467690
62,0.061541,0.425850
63,0.073374,0.452013
64,0.063545,0.708631
65,0.056588,0.454371
66,0.052069,0.599902
67,0.053569,0.605781
68,0.051405,0.480569
69,0.051595,0.433660
70,0.066534,0.443747
71,0.067921,0.499016
72,0.052606,0.610585
73,0.051521,0.593319
74,0.051252,0.585946
75,0.052759,0.604495
76,0.059701,0.502619
77,0.083881,0.729980
78,0.058563,0.686311
79,0.051325,0.557583
80,0.050150,0.550096
81,0.046720,0.619244
82,0.044886,0.598363
83,0.044698,0.704034
84,0.045583,0.497200
85,0.049602,0.525344
86,0.056360,0.453308
87,0.051888,0.578836
88,0.047039,0.502531
89,0.042466,0.514393
90,0.041871,0.473801
91,0.042567,0.558392
92,0.060756,0.487010
93,0.067993,0.457040
94,0.056876,0.586839
95,0.053974,0.466342
96,0.046179,0.451784
97,0.053960,0.495297
98,0.104685,0.599917
99,0.066906,0.561675
100,0.048814,0.567695
101,0.045331,0.512069
102,0.041080,0.507635
103,0.045208,0.534825
104,0.050245,0.485140
105,0.127141,0.386680
106,0.120378,0.477375
107,0.088832,0.474326
108,0.088529,0.419062
109,0.074332,0.460699
110,0.113877,0.528309
111,0.090482,0.556674
112,0.063706,0.520519
113,0.056952,0.558687
114,0.051284,0.477133
115,0.055828,0.558586
116,0.066948,0.482350
117,0.156990,0.422278
118,0.116246,0.576038
119,0.081757,0.670010
120,0.068847,0.603799
121,0.062755,0.629542
122,0.066739,0.554971
123,0.059311,0.523023
124,0.049269,0.515500
125,0.046277,0.491415
126,0.049667,0.492181
127,0.043565,0.500092
128,0.042471,0.496047
129,0.044890,0.537056
130,0.058251,0.620960
131,0.155155,0.521459
132,0.103737,0.679998
133,0.076574,0.465745
134,0.058926,0.459654
135,0.049646,0.451824
136,0.044583,0.449629
137,0.114790,0.377891
138,0.117292,0.572813
139,0.076078,0.663235
140,0.063180,0.575905
141,0.055004,0.622270
142,0.050247,0.544409
143,0.048601,0.567838
144,0.046742,0.603272
145,0.050026,0.608508
146,0.065523,0.592227
147,0.053170,0.462012
148,0.044957,0.527407
149,0.043437,0.522202
150,0.042873,0.520519
151,0.044228,0.509440
152,0.041627,0.540536
153,0.041043,0.507707
154,0.041612,0.633656
155,0.043064,0.649169
156,0.051968,0.589649
157,0.062242,0.408395
158,0.050807,0.474499
159,0.043003,0.621294
160,0.040543,0.574339
161,0.039695,0.474599
162,0.075019,0.467662
163,0.063702,0.383600
164,0.049975,0.403611
165,0.043162,0.449543
166,0.042772,0.440466
167,0.043391,0.547352
168,0.041019,0.556151
169,0.044894,0.518962
170,0.041816,0.602254
171,0.080830,0.524109
172,0.061623,0.668328
173,0.085231,0.488872
174,0.058503,0.604879
175,0.048321,0.474542
176,0.041907,0.611428
177,0.040731,0.531731
178,0.040645,0.502157
179,0.040769,0.528653
180,0.039907,0.528788
181,0.037633,0.605770
182,0.039880,0.507964
183,0.345160,0.445072
184,0.246675,0.598410
185,0.211786,0.580986
186,0.169020,0.601017
187,0.151819,0.667013
