epoch,train_loss,val_loss
1,0.386726,0.360101
2,0.251535,0.450653
3,0.218708,0.487383
4,0.186610,0.389584
5,0.176505,0.427635
6,0.164577,0.594207
7,0.158126,0.474767
8,0.183253,0.611265
9,0.160242,0.631609
10,0.149441,0.666495
11,0.130209,0.840981
12,0.120473,0.706585
13,0.118632,0.642702
14,0.119366,0.708652
15,0.121599,0.687918
16,0.107986,0.538910
17,0.192941,0.706996
18,0.148341,0.696360
19,0.133210,0.678645
20,0.174362,0.591560
21,0.153235,0.648304
22,0.137265,0.663083
23,0.128267,0.720196
24,0.123867,0.781885
25,0.115934,0.712772
26,0.107604,0.789856
27,0.110814,0.756778
28,0.111234,0.719554
29,0.116276,0.747559
30,0.110590,0.703530
31,0.107710,0.741449
32,0.131753,0.706809
33,0.230342,0.698785
34,0.152064,0.699240
35,0.131484,0.665802
36,0.133361,0.707943
37,0.115956,0.770330
38,0.107617,0.753677
39,0.116808,0.733662
40,0.096087,0.751447
41,0.195658,0.617313
42,0.145806,0.659498
43,0.136920,0.713304
44,0.113958,0.739931
45,0.116758,0.734726
46,0.124455,0.736772
47,0.164309,0.633287
48,0.118957,0.641493
49,0.102832,0.622216
50,0.108787,0.630922
51,0.144264,0.521979
52,0.137014,0.656436
53,0.119866,0.715041
54,0.112455,0.663792
55,0.097473,0.617429
56,0.110983,0.670505
57,0.092559,0.667514
58,0.121447,0.692829
59,0.093134,0.707791
60,0.090270,0.657218
61,0.124064,0.607920
62,0.127522,0.611677
63,0.094160,0.682857
64,0.091068,0.709508
65,0.109943,0.679218
66,0.094501,0.685748
67,0.088751,0.725432
68,0.088484,0.713008
69,0.091154,0.683609
70,0.104853,0.730709
71,0.090612,0.621294
72,0.084148,0.633983
73,0.184297,0.638676
74,0.116142,0.687866
75,0.093493,0.765482
76,0.088283,0.775398
77,0.103269,0.666819
78,0.092244,0.698908
79,0.083771,0.604066
80,0.086791,0.715083
81,0.084832,0.753700
82,0.187868,0.681206
83,0.109062,0.672330
84,0.092052,0.701273
85,0.083064,0.718701
86,0.080510,0.589611
87,0.081267,0.726835
88,0.079660,0.706717
89,0.075996,0.720312
90,0.075149,0.684750
91,0.068153,0.708098
92,0.066551,0.746460
93,0.140632,0.637273
94,0.122796,0.727489
95,0.099395,0.638753
96,0.078289,0.682994
97,0.074144,0.711108
98,0.074021,0.722055
99,0.067499,0.644183
100,0.065145,0.671098
101,0.066534,0.729253
