epoch,train_loss,val_loss
1,0.348650,0.420861
2,0.254133,0.518691
3,0.237936,0.428409
4,0.215621,0.410334
5,0.190792,0.696740
6,0.176384,0.756878
7,0.147158,0.884525
8,0.141261,0.956807
9,0.145203,1.012596
10,0.141631,0.892858
11,0.169874,0.922041
12,0.147070,0.888732
13,0.133892,0.986063
14,0.116876,1.038286
15,0.120391,0.916142
16,0.113430,0.833632
17,0.109296,0.919983
18,0.139809,0.763776
19,0.117127,0.837029
20,0.106425,0.896812
21,0.106163,0.805007
22,0.178094,0.753961
23,0.124663,0.974547
24,0.119775,0.576775
25,0.107180,0.836409
26,0.127213,0.533008
27,0.106237,0.790103
28,0.107988,0.739090
29,0.103774,0.749286
30,0.094783,0.694994
31,0.100769,0.629940
32,0.106303,0.458811
33,0.135252,0.702719
34,0.108518,0.824662
35,0.110469,0.837384
36,0.112964,0.849583
37,0.110605,0.766437
38,0.098525,0.729603
39,0.097843,0.646971
40,0.102333,0.433802
41,0.110310,0.517575
42,0.101610,0.828849
43,0.086490,0.822149
44,0.098284,0.743153
45,0.084885,0.798130
46,0.087196,0.748922
47,0.115234,0.592498
48,0.097573,0.691230
49,0.088354,0.667375
50,0.094732,0.453554
51,0.119755,0.678047
52,0.089174,0.714589
53,0.077091,0.728476
54,0.076521,0.740302
55,0.087508,0.422398
56,0.081532,0.476683
57,0.069145,0.609536
58,0.072749,0.684505
59,0.070902,0.501677
60,0.068926,0.651647
61,0.074152,0.637577
62,0.066189,0.654529
63,0.061259,0.597920
64,0.062937,0.688208
65,0.067570,0.553300
66,0.068210,0.657560
67,0.060953,0.672379
68,0.081850,0.533643
69,0.119268,0.824271
70,0.092294,0.681157
71,0.085735,0.379263
72,0.081298,0.363566
73,0.062817,0.541107
74,0.069804,0.387254
75,0.066270,0.559488
76,0.057243,0.439023
77,0.055572,0.541116
78,0.061134,0.559223
79,0.059009,0.493733
80,0.091423,0.498704
81,0.079925,0.615946
82,0.070467,0.603233
83,0.056457,0.498872
84,0.053689,0.501251
85,0.059912,0.431698
86,0.058877,0.371307
87,0.061443,0.362306
88,0.069579,0.415567
89,0.052414,0.602832
90,0.049475,0.534833
91,0.050618,0.375776
92,0.053378,0.357037
93,0.059349,0.389295
94,0.054052,0.401401
95,0.057356,0.406590
96,0.050539,0.404751
97,0.048384,0.557345
98,0.053132,0.435437
99,0.099033,0.415086
100,0.087813,0.566871
101,0.064704,0.544397
102,0.059465,0.503048
103,0.054990,0.396141
104,0.050821,0.503182
105,0.049856,0.477086
106,0.070544,0.322217
107,0.084377,0.533500
108,0.058114,0.450409
109,0.060842,0.453088
110,0.055124,0.385413
111,0.050080,0.384320
112,0.058679,0.601347
113,0.055088,0.538525
114,0.047333,0.518213
115,0.046510,0.478231
116,0.093034,0.445361
117,0.114787,0.371560
118,0.073594,0.374343
119,0.067178,0.318316
120,0.075131,0.343943
121,0.063982,0.363624
122,0.057017,0.341598
123,0.053290,0.371213
124,0.055665,0.403304
125,0.137636,0.470123
126,0.110562,0.346065
127,0.074943,0.407053
128,0.056795,0.400629
129,0.050201,0.371012
130,0.049719,0.392164
131,0.057312,0.390332
132,0.106697,0.464609
133,0.117934,0.469209
134,0.067169,0.368162
135,0.053180,0.370866
136,0.047550,0.384389
137,0.045797,0.386650
138,0.046095,0.398428
139,0.048112,0.396382
140,0.045639,0.496619
141,0.057414,0.417108
142,0.055671,0.425695
143,0.045100,0.536271
144,0.047546,0.403753
145,0.045551,0.412289
146,0.044327,0.412825
147,0.043946,0.451620
148,0.049086,0.507872
149,0.042599,0.548624
150,0.047559,0.535848
151,0.049133,0.661584
152,0.052683,0.545296
153,0.068188,0.584167
154,0.086127,0.524132
155,0.053316,0.441448
156,0.046455,0.412728
157,0.045279,0.419730
158,0.043949,0.434003
159,0.049111,0.463075
160,0.043360,0.420793
161,0.041655,0.444908
162,0.041989,0.438343
163,0.044063,0.437637
164,0.049362,0.548469
165,0.044893,0.524951
166,0.058931,0.569250
167,0.058781,0.433889
168,0.045283,0.517941
169,0.041379,0.538919
