epoch,train_loss,val_loss
1,0.340892,0.490585
2,0.245383,0.350079
3,0.212677,0.376142
4,0.196335,0.530762
5,0.182953,0.377325
6,0.171381,0.470614
7,0.169017,0.419280
8,0.165845,0.377532
9,0.172731,0.464054
10,0.139461,0.382194
11,0.135492,0.396105
12,0.133983,0.420151
13,0.145555,0.403160
14,0.128832,0.417242
15,0.137476,0.475390
16,0.135056,0.462210
17,0.137164,0.433593
18,0.145340,0.405105
19,0.121118,0.419612
20,0.122306,0.398075
21,0.147011,0.434228
22,0.127247,0.442196
23,0.121189,0.429503
24,0.124940,0.379266
25,0.120100,0.343866
26,0.124256,0.349790
27,0.117753,0.493221
28,0.125933,0.369429
29,0.138477,0.474426
30,0.142381,0.412206
31,0.116744,0.352353
32,0.131692,0.541542
33,0.122421,0.439848
34,0.114317,0.367653
35,0.120326,0.368717
36,0.116225,0.356276
37,0.121106,0.357816
38,0.117160,0.408547
39,0.109660,0.374549
40,0.241014,0.455735
41,0.167418,0.366126
42,0.145758,0.354753
43,0.141228,0.401078
44,0.135847,0.437170
45,0.124508,0.510468
46,0.122884,0.405193
47,0.126695,0.371646
48,0.121053,0.403977
49,0.111535,0.389864
50,0.127510,0.421422
51,0.122547,0.509193
52,0.117550,0.385818
53,0.117890,0.463923
54,0.119511,0.400881
55,0.106285,0.393857
56,0.101693,0.379773
57,0.132473,0.475581
58,0.251199,0.409101
59,0.171417,0.390535
60,0.134239,0.360447
61,0.125592,0.441318
62,0.122203,0.759715
63,0.160368,0.402088
64,0.129387,0.375972
65,0.108589,0.394665
66,0.134597,0.500478
67,0.127669,0.348548
68,0.112054,0.449721
69,0.120999,0.380528
70,0.148028,0.407018
71,0.125715,0.454133
72,0.116189,0.448738
73,0.105700,0.368948
74,0.113655,0.399180
75,0.105880,0.374450
76,0.119718,0.421815
77,0.105725,0.377052
78,0.103364,0.434009
79,0.102524,0.364340
80,0.105840,0.373089
81,0.098704,0.366198
82,0.114662,0.383557
83,0.123409,0.368960
84,0.095902,0.372943
85,0.107721,0.399536
86,0.110203,0.387852
87,0.113333,0.433488
88,0.178348,0.449296
89,0.140953,0.476565
90,0.146024,0.450692
91,0.127760,0.548795
92,0.128297,0.495782
93,0.138699,0.581253
94,0.129034,0.544561
95,0.119743,0.636152
96,0.113626,0.594143
97,0.115805,0.584256
98,0.119750,0.606681
99,0.129064,0.484037
100,0.122464,0.446153
101,0.105709,0.647053
102,0.120131,0.624721
103,0.101354,0.648426
104,0.109016,0.491534
105,0.118645,0.574603
106,0.102424,0.710261
107,0.113282,0.521554
108,0.101781,0.568541
109,0.103822,0.409421
110,0.102429,0.634983
111,0.105693,0.588826
112,0.167218,0.375528
113,0.112804,0.517216
114,0.130059,0.550353
115,0.096420,0.579849
116,0.096741,0.459808
117,0.106070,0.540959
