epoch,train_loss,val_loss
1,0.514097,0.646358
2,0.399797,0.626249
3,0.394070,0.656964
4,0.423667,0.820830
5,0.403981,0.657903
6,0.390981,0.621922
7,0.389217,0.642372
8,0.414509,2.453285
9,0.519886,0.660520
10,0.425144,0.607010
11,0.402048,0.596168
12,0.396791,0.595361
13,0.397460,0.618749
14,0.394036,0.636022
15,0.392684,0.636227
16,0.390995,0.616670
17,0.392642,0.622614
18,0.391572,0.647568
19,0.391343,0.664545
20,0.390915,0.640772
21,0.391385,0.626473
22,0.391355,0.673873
23,0.396091,0.649712
24,0.396458,0.612695
25,0.392870,0.637386
26,0.393472,0.668118
27,0.394515,0.624858
28,0.395366,0.644411
29,0.393816,0.628682
30,0.394056,0.661416
31,0.400790,0.613447
32,0.405820,0.627961
33,0.406225,0.657011
34,0.408239,0.620082
35,0.409560,0.614143
36,0.408556,0.614356
37,0.410055,0.627809
38,0.412032,0.637325
39,0.413906,0.650711
40,0.415094,0.640807
41,0.424833,0.635891
42,0.427142,0.652035
43,0.431677,0.610487
44,0.439562,0.613734
45,0.448223,0.602584
46,0.456455,0.659451
47,0.472532,0.603307
48,0.500082,0.617747
49,0.477484,0.582486
50,0.397066,0.648470
51,0.391668,0.675171
52,0.389442,0.638115
53,0.389210,0.633501
54,0.389918,0.634894
55,0.388919,0.646467
56,0.388411,0.650266
57,0.389640,0.631578
58,0.389639,0.664210
59,0.389484,0.635381
60,0.388642,0.624376
61,0.391679,0.731146
62,0.396710,0.605530
63,0.389449,0.648052
64,0.389591,0.654544
65,0.388985,0.663330
66,0.390107,0.654516
67,0.389707,0.624586
68,0.389511,0.626684
69,0.392639,0.658135
70,0.390359,0.643848
71,0.389203,0.650526
72,0.389075,0.636241
73,0.389211,0.645802
74,0.388201,0.642486
75,0.424610,1.004786
76,0.409188,0.595754
77,0.388914,0.619881
78,0.388075,0.653029
79,0.387292,0.661181
80,0.388569,0.634806
81,0.388698,0.633364
82,0.406499,0.640878
83,0.409671,0.636071
84,0.408787,0.621038
85,0.407652,0.646801
86,0.406855,0.622323
87,0.405848,0.618228
88,0.404612,0.625255
89,0.403270,0.609342
90,0.401435,0.646629
91,0.402507,0.622060
92,0.397672,0.557120
93,0.418327,0.605996
94,0.425868,0.658230
95,0.421940,0.634512
96,0.423676,0.620587
97,0.421730,0.619788
98,0.423436,0.627939
99,0.424080,0.628100
100,0.422763,0.621102
