epoch,train_loss,val_loss
1,0.436610,0.518558
2,0.274676,0.406486
3,0.255903,0.385193
4,0.238536,0.418722
5,0.215766,0.431738
6,0.192680,0.448913
7,0.174914,0.396504
8,0.165223,0.515146
9,0.176974,0.432401
10,0.146870,0.444309
11,0.139671,0.720455
12,0.139887,0.527740
13,0.141915,0.444276
14,0.134393,0.542982
15,0.143231,0.753465
16,0.128039,0.714700
17,0.130336,0.683043
18,0.126732,0.542692
19,0.109465,0.646438
20,0.124810,0.707580
21,0.107438,0.667760
22,0.098513,0.734007
23,0.096224,0.732294
24,0.097915,0.767185
25,0.098063,0.805523
26,0.109416,0.700407
27,0.093121,0.631481
28,0.086536,0.628993
29,0.086775,0.555279
30,0.086791,0.603007
31,0.082066,0.556333
32,0.083616,0.580974
33,0.081020,0.525086
34,0.093096,0.411522
35,0.091767,0.635303
36,0.079367,0.595662
37,0.143479,0.548285
38,0.138704,0.735306
39,0.104335,0.409219
40,0.103321,0.571736
41,0.121732,0.434068
42,0.084796,0.546575
43,0.077280,0.542817
44,0.083255,0.581843
45,0.109052,0.475511
46,0.086649,0.433394
47,0.111228,0.502524
48,0.218736,0.474812
49,0.139652,0.395873
50,0.101854,0.481636
51,0.094532,0.437374
52,0.078090,0.386221
53,0.074311,0.471874
54,0.084287,0.415575
55,0.087484,0.423342
56,0.120988,0.550433
57,0.167950,0.527793
58,0.247406,0.619124
59,0.156115,0.540200
60,0.122278,0.510254
61,0.108336,0.490901
62,0.098418,0.495826
63,0.098721,0.539158
64,0.093369,0.481786
65,0.088589,0.532593
66,0.085784,0.497084
67,0.081623,0.516483
68,0.080985,0.487146
69,0.088281,0.506735
70,0.089172,0.472535
71,0.082730,0.487133
72,0.075407,0.451615
73,0.108965,0.770802
74,0.202592,0.616763
75,0.158587,0.708360
76,0.122262,0.728738
77,0.108152,0.562453
78,0.103196,0.534934
79,0.108029,0.409142
80,0.092698,0.564210
81,0.105530,0.456310
82,0.079608,0.413180
83,0.078956,0.663194
84,0.082597,0.550930
85,0.410431,0.539260
86,0.344437,0.552961
87,0.300518,0.597993
88,0.281136,0.550277
89,0.239912,0.575697
90,0.225799,0.576600
91,0.217355,0.487809
92,0.215305,0.563044
93,0.222097,0.515429
94,0.200501,0.484685
95,0.197411,0.436243
96,0.176376,0.438685
97,0.173499,0.554885
98,0.166859,0.507897
99,0.158388,0.591560
100,0.155852,0.585865
101,0.142619,0.575165
102,0.143416,0.542435
