epoch,train_loss,val_loss
1,0.489761,0.505353
2,0.329384,0.380731
3,0.281504,0.430613
4,0.265126,0.424130
5,0.253500,0.417151
6,0.242765,0.384444
7,0.242895,0.380289
8,0.234376,0.471136
9,0.230179,0.413849
10,0.230598,0.382079
11,0.234060,0.377487
12,0.231043,0.373554
13,0.229266,0.403582
14,0.219307,0.463253
15,0.209772,0.474740
16,0.204024,0.510550
17,0.201860,0.456827
18,0.198670,0.467507
19,0.198319,0.450494
20,0.192370,0.515475
21,0.193371,0.504401
22,0.190647,0.454174
23,0.192937,0.552230
24,0.189290,0.559339
25,0.187930,0.525066
26,0.191364,0.577502
27,0.187518,0.647156
28,0.201291,0.498198
29,0.185597,0.494864
30,0.187393,0.579299
31,0.182680,0.537921
32,0.182920,0.607825
33,0.181675,0.591165
34,0.179136,0.572411
35,0.182338,0.507378
36,0.181011,0.533502
37,0.178727,0.527275
38,0.184721,0.552301
39,0.181991,0.537173
40,0.182092,0.581917
41,0.177115,0.544464
42,0.174288,0.589615
43,0.172649,0.581303
44,0.171849,0.561286
45,0.174334,0.642424
46,0.175388,0.609992
47,0.177591,0.659222
48,0.177155,0.592915
49,0.172616,0.611888
50,0.168383,0.690148
51,0.175893,0.575801
52,0.171339,0.614655
53,0.168276,0.615545
54,0.169568,0.594446
55,0.177852,0.572805
56,0.166872,0.590709
57,0.165516,0.597732
58,0.167302,0.530651
59,0.170384,0.553049
60,0.164498,0.541534
61,0.168451,0.597105
62,0.171147,0.540163
63,0.170104,0.582667
64,0.157803,0.593751
65,0.161777,0.542614
66,0.179355,0.524463
67,0.163732,0.567961
68,0.161914,0.592384
69,0.160023,0.579981
70,0.159833,0.637970
71,0.165109,0.564305
72,0.200246,0.599151
73,0.171927,0.529265
74,0.163666,0.599508
75,0.160784,0.585271
76,0.155832,0.630406
77,0.164051,0.518835
78,0.158294,0.545846
79,0.151375,0.546348
80,0.159497,0.568193
81,0.176326,0.543677
82,0.154371,0.561931
83,0.165307,0.644770
84,0.159411,0.591646
85,0.157519,0.580907
