epoch,train_loss,val_loss
1,0.376400,0.491054
2,0.257203,0.455398
3,0.230579,0.498373
4,0.192670,0.426074
5,0.179885,0.585815
6,0.156946,0.765808
7,0.157145,0.743898
8,0.155546,0.743428
9,0.162764,0.485978
10,0.203445,0.607257
11,0.150196,0.685922
12,0.132583,0.682302
13,0.131891,0.679794
14,0.117220,0.658216
15,0.117223,0.647747
16,0.129906,0.707276
17,0.145369,0.594148
18,0.128124,0.636057
19,0.112532,0.646971
20,0.113320,0.707289
21,0.110077,0.711403
22,0.120988,0.616352
23,0.125930,0.634770
24,0.118155,0.776491
25,0.108451,0.688941
26,0.107926,0.677425
27,0.104918,0.789124
28,0.113986,0.706431
29,0.100538,0.754763
30,0.095350,0.682281
31,0.105583,0.727977
32,0.112028,0.674948
33,0.097004,0.787660
34,0.099562,0.783227
35,0.160403,0.648433
36,0.210633,0.875974
37,0.213531,0.756100
38,0.150091,0.769573
39,0.134462,0.705760
40,0.130420,0.773158
41,0.107119,0.757741
42,0.107334,0.688488
43,0.104785,0.708822
44,0.090596,0.732387
45,0.139729,0.613425
46,0.105791,0.748737
47,0.093937,0.706265
48,0.114908,0.698982
49,0.128056,0.775171
50,0.104139,0.735599
51,0.080807,0.717768
52,0.090399,0.826529
53,0.091280,0.754187
54,0.088473,0.788054
55,0.090585,0.747420
56,0.080538,0.720516
57,0.077230,0.763768
58,0.098237,0.763936
59,0.089858,0.739135
60,0.086355,0.877097
61,0.151073,0.626547
62,0.108322,0.749492
63,0.123748,0.648519
64,0.113356,0.716448
65,0.090531,0.711564
66,0.086587,0.647438
67,0.072124,0.720399
68,0.082495,0.719339
69,0.112125,0.738193
70,0.153219,0.658261
71,0.260943,0.541526
72,0.183688,0.401811
73,0.149190,0.753860
74,0.142395,0.606926
75,0.119629,0.807600
76,0.108465,0.737369
77,0.128129,0.722053
78,0.117331,0.789100
79,0.134550,0.738026
80,0.107249,0.871281
81,0.098496,0.777164
82,0.105956,0.684455
83,0.093618,0.818913
84,0.082165,0.744132
85,0.078481,0.842842
86,0.095449,0.688055
87,0.096946,0.802156
88,0.103343,0.817820
89,0.101481,0.657393
90,0.079210,0.739646
91,0.073299,0.732164
92,0.066562,0.773993
93,0.062233,0.819071
94,0.064727,0.773345
95,0.059583,0.861540
96,0.132298,0.624493
97,0.105208,0.831355
98,0.124954,0.646817
99,0.096814,0.712174
100,0.088666,0.632830
101,0.085846,0.697192
102,0.084983,0.818731
103,0.080789,0.914988
104,0.146003,0.597108
105,0.110059,0.669243
106,0.086685,0.764893
107,0.133227,0.729629
108,0.099852,0.680061
109,0.083070,0.750880
110,0.071889,0.765726
111,0.068815,0.705795
112,0.109491,0.727983
113,0.080493,0.836664
114,0.069083,0.787780
115,0.072943,0.778351
116,0.072609,0.821343
117,0.061598,0.795127
118,0.063972,0.814275
119,0.077023,0.805992
120,0.064878,0.826822
121,0.061281,0.788741
122,0.055659,0.784874
