epoch,train_loss,val_loss
1,0.410666,0.383476
2,0.246839,0.375986
3,0.227032,0.459927
4,0.205041,0.687138
5,0.234716,0.380108
6,0.184094,0.559416
7,0.158629,0.740285
8,0.156534,0.661241
9,0.161865,0.818122
10,0.140095,0.663337
11,0.164580,0.642229
12,0.129327,0.379013
13,0.115657,0.613899
14,0.114813,0.454808
15,0.137188,0.624264
16,0.158092,0.628262
17,0.126067,0.431729
18,0.107850,0.414456
19,0.190319,0.401766
20,0.165449,0.510131
21,0.135663,0.408312
22,0.127090,0.632906
23,0.125213,0.378460
24,0.116144,0.400279
25,0.097559,0.498816
26,0.105171,0.380162
27,0.150790,0.513985
28,0.120048,0.425539
29,0.097017,0.481251
30,0.090073,0.456684
31,0.098105,0.494507
32,0.092500,0.577560
33,0.180498,0.373738
34,0.120895,0.542659
35,0.100333,0.516207
36,0.127371,0.508813
37,0.084822,0.537019
38,0.082779,0.467969
39,0.090557,0.458131
40,0.082443,0.488747
41,0.078973,0.433898
42,0.156698,0.378074
43,0.118648,0.489748
44,0.120812,0.513163
45,0.147457,0.453175
46,0.099283,0.482471
47,0.095469,0.450633
48,0.115769,0.364997
49,0.086296,0.436543
50,0.079171,0.475338
51,0.077367,0.449140
52,0.076828,0.425954
53,0.063371,0.519797
54,0.071764,0.449613
55,0.108266,0.465911
56,0.196060,0.445724
57,0.126632,0.438854
58,0.091570,0.444057
59,0.102027,0.502715
60,0.130484,0.403591
61,0.121371,0.486425
62,0.081447,0.464414
63,0.069014,0.471760
64,0.100571,0.440651
65,0.084042,0.621513
66,0.072713,0.541290
67,0.086626,0.496553
68,0.069073,0.445417
69,0.070121,0.524488
70,0.090907,0.609802
71,0.078700,0.538878
72,0.082665,0.446364
73,0.065260,0.448843
74,0.053776,0.455402
75,0.083390,0.398372
76,0.078733,0.464768
77,0.214803,0.448998
78,0.133022,0.407083
79,0.103069,0.387438
80,0.094962,0.370754
81,0.106817,0.424314
82,0.098728,0.350329
83,0.093471,0.342595
84,0.109327,0.498293
85,0.090758,0.394290
86,0.099423,0.407864
87,0.119282,0.416864
88,0.197094,0.512145
89,0.452854,4.407638
90,1.118979,0.615679
91,0.679382,5.795786
92,0.765973,0.698589
93,0.508638,0.853604
94,0.492674,0.648008
95,0.436054,0.722075
96,0.423918,0.620869
97,0.394824,0.528576
98,0.367487,0.501664
99,0.352423,0.493148
100,0.332587,0.505477
101,0.343907,0.480406
102,0.340170,0.506455
103,0.325352,0.498866
104,0.320074,0.569648
105,0.318246,0.567223
106,0.308800,0.581202
107,0.307972,0.547361
108,0.301013,0.566277
109,0.299683,0.657523
110,0.297125,0.602160
111,0.291060,0.622749
112,0.297225,0.668566
113,0.292042,0.648433
114,0.284974,0.567545
115,0.268550,0.517991
116,0.272440,0.590314
117,0.258206,0.493319
118,0.259834,0.546294
119,0.260804,0.488858
120,0.254785,0.530831
121,0.240392,0.528055
122,0.370592,0.568486
123,0.407431,0.537489
124,0.341452,0.579777
125,0.324353,0.595851
126,0.312870,0.554535
127,0.307164,0.572646
128,0.312623,0.501596
129,0.315531,0.513814
130,0.315057,0.568373
131,0.301921,0.548514
132,0.299590,0.591428
133,0.304508,0.521141
