epoch,train_loss,val_loss
1,0.525471,0.580225
2,0.401670,0.618848
3,0.393439,0.644596
4,0.390581,0.631236
5,0.389994,0.608331
6,0.388439,0.584380
7,0.399624,0.662156
8,0.388353,0.642308
9,0.388526,0.656219
10,0.387317,0.652690
11,0.387137,0.649445
12,0.387742,0.637909
13,0.388163,0.644045
14,0.387338,0.655728
15,0.387612,0.629555
16,0.387396,0.632366
17,0.387654,0.649153
18,0.387518,0.676897
19,0.387904,0.645021
20,0.387251,0.672689
21,0.387242,0.659806
22,0.387382,0.653264
23,0.387712,0.622861
24,0.388111,0.652422
25,0.389527,0.651368
26,0.390097,0.611114
27,0.390334,0.642837
28,0.390601,0.634292
29,0.389652,0.647683
30,0.390299,0.638628
31,0.389671,0.634229
32,0.387118,0.669975
33,0.389572,0.640601
34,0.388381,0.642624
35,0.387209,0.629908
36,0.387015,0.650839
37,0.386742,0.658351
38,0.413589,0.646516
39,0.385115,0.625316
40,0.383023,0.644069
41,0.381073,0.647952
42,0.380140,0.646394
43,0.385679,0.609710
44,0.371084,0.646477
45,0.361515,0.614165
46,0.368606,0.630387
47,0.377135,0.661254
48,0.351979,0.549547
49,0.344607,0.519979
50,0.328880,0.608618
51,0.297551,0.558017
52,0.268257,0.589447
53,0.388534,0.612910
54,0.382530,0.607545
55,0.375289,0.617428
56,0.353144,0.530453
57,0.373859,0.627411
58,0.307815,0.637295
59,0.292160,0.591034
60,0.283870,0.618073
61,0.276965,0.594601
62,0.266913,0.578444
63,0.264004,0.592143
64,0.256093,0.593523
65,0.251192,0.608980
66,0.253105,0.659222
67,0.254231,0.632527
68,0.240161,0.643253
69,0.227192,0.603637
70,0.220492,0.622351
71,0.217079,0.644456
72,0.216839,0.632912
73,0.206001,0.660380
74,0.199413,0.638572
75,0.214797,0.637731
76,0.194091,0.717812
77,0.414900,0.621446
78,0.394483,0.670836
79,0.355401,0.592755
80,0.288169,0.626296
81,0.265768,0.634818
82,0.249331,0.620711
83,0.236556,0.667633
84,0.222203,0.662002
85,0.212914,0.626025
86,0.212279,0.676064
87,0.205202,0.680405
88,0.199989,0.695914
89,0.199356,0.696798
90,0.202610,0.657205
91,0.195104,0.702919
92,0.191915,0.716010
93,0.199633,0.654845
94,0.194842,0.685454
95,0.202631,0.694577
96,0.246364,0.665152
97,0.276277,0.637719
98,0.296572,0.642258
99,0.249677,0.647229
