epoch,train_loss,val_loss
1,0.411621,0.375329
2,0.245570,0.439303
3,0.223815,0.387703
4,0.201354,0.458012
5,0.171966,0.567253
6,0.182449,0.337959
7,0.158361,0.414271
8,0.168271,0.454560
9,0.134004,0.527890
10,0.138026,0.559321
11,0.121493,0.467441
12,0.131956,0.448140
13,0.115132,0.393424
14,0.119302,0.382934
15,0.113134,0.370990
16,0.112028,0.432297
17,0.142983,0.456805
18,0.112348,0.495939
19,0.108315,0.359280
20,0.101320,0.409813
21,0.087925,0.393409
22,0.088567,0.454511
23,0.090308,0.405283
24,0.108695,0.425822
25,0.102246,0.544355
26,0.091714,0.359842
27,0.093723,0.511202
28,0.077299,0.442836
29,0.075404,0.409392
30,0.079665,0.404508
31,0.147793,0.461772
32,0.124178,0.436977
33,0.082464,0.485933
34,0.072702,0.436728
35,0.085972,0.458886
36,0.089267,0.472946
37,0.069770,0.514327
38,0.075004,0.505881
39,0.077259,0.480177
40,0.089305,0.480717
41,0.111796,0.433123
42,0.080828,0.438694
43,0.072748,0.451425
44,0.103152,0.496901
45,0.076601,0.511543
46,0.099746,0.631715
47,0.177549,0.438518
48,0.109442,0.466192
49,0.081393,0.432867
50,0.078689,0.476176
51,0.076150,0.481560
52,0.075354,0.447049
53,0.071605,0.422200
54,0.060484,0.400075
55,0.062114,0.448189
56,0.062033,0.434983
57,0.056202,0.440841
58,0.066598,0.427986
59,0.055138,0.445614
60,0.047306,0.433445
61,0.077115,0.442086
62,0.163013,0.569653
63,0.231253,0.505180
64,0.342524,0.360973
65,0.220330,0.402499
66,0.188213,0.349154
67,0.152120,0.428177
68,0.142024,0.511509
69,0.135863,0.538362
70,0.126289,0.651958
71,0.126346,0.617848
72,0.114588,0.738611
73,0.108010,0.686162
74,0.102612,0.707879
75,0.101292,0.666722
76,0.090600,0.809428
77,0.086874,0.629084
78,0.092135,0.730064
79,0.085839,0.631218
80,0.078662,0.771930
81,0.071519,0.758721
82,0.069097,0.634440
83,0.074625,0.725289
84,0.099405,0.619982
85,0.134001,0.781879
86,0.097165,0.670646
87,0.093381,0.675711
88,0.077721,0.655210
89,0.085918,0.656053
90,0.081618,0.525454
91,0.075140,0.509817
92,0.062612,0.535069
93,0.080634,0.605544
94,0.064310,0.632086
95,0.069599,0.538485
96,0.087244,0.550246
97,0.066855,0.661221
98,0.052647,0.635500
99,0.052980,0.636025
100,0.137985,0.373422
101,0.157092,0.530111
102,0.127482,0.672307
103,0.126962,0.474710
104,0.145174,0.383662
105,0.129972,0.433651
106,0.108006,0.404710
107,0.096813,0.592768
108,0.099708,0.441546
109,0.083296,0.603640
110,0.073599,0.695935
111,0.081196,0.511674
112,0.079101,0.568640
113,0.073894,0.685356
114,0.067200,0.653380
115,0.067771,0.541781
116,0.058258,0.687545
