epoch,train_loss,val_loss
1,0.375766,0.466895
2,0.243339,0.405252
3,0.227160,0.395829
4,0.202789,0.652544
5,0.175453,0.671460
6,0.170263,0.820138
7,0.140972,0.830707
8,0.138329,0.832045
9,0.186871,0.823114
10,0.159247,0.701778
11,0.147364,0.599946
12,0.169017,0.726196
13,0.136592,0.558724
14,0.127805,0.528575
15,0.127823,0.388785
16,0.121342,0.569009
17,0.116261,0.517120
18,0.112401,0.618476
19,0.097632,0.598761
20,0.126588,0.413615
21,0.097469,0.495634
22,0.094947,0.570168
23,0.102227,0.526330
24,0.084891,0.504838
25,0.093707,0.505697
26,0.098377,0.624711
27,0.094954,0.624744
28,0.093783,0.484951
29,0.100580,0.432559
30,0.100700,0.460452
31,0.096476,0.408250
32,0.108040,0.677891
33,0.098767,0.667891
34,0.204528,0.517923
35,1.296623,1.262095
36,0.728460,0.742421
37,0.661770,0.918666
38,0.661201,0.751166
39,0.658373,0.829350
40,0.642676,0.792065
41,0.595334,0.709420
42,0.463389,0.555149
43,0.377732,0.468452
44,0.365200,0.477131
45,0.359582,0.504382
46,0.364578,0.469536
47,0.352151,0.463975
48,0.342851,0.454400
49,0.345311,0.439047
50,0.336680,0.425864
51,0.334692,0.439773
52,0.330932,0.445451
53,0.326964,0.418654
54,0.322098,0.412101
55,0.313656,0.408076
56,0.310767,0.396853
57,0.302512,0.394369
58,0.310533,0.404454
59,0.305575,0.399281
60,0.292832,0.384321
61,0.293206,0.388253
62,0.289515,0.387398
63,0.284438,0.381300
64,0.289467,0.394018
65,0.281033,0.380345
66,0.286158,0.374554
67,0.278818,0.381196
68,0.284401,0.402756
69,0.272052,0.369930
70,0.263574,0.368923
71,0.258612,0.389525
72,0.250674,0.348958
73,0.241340,0.378253
74,0.244508,0.362238
75,0.238122,0.349498
76,0.231257,0.369663
77,0.232495,0.387855
78,0.229920,0.369191
79,0.219063,0.417238
80,0.210469,0.395016
81,0.206232,0.437128
82,0.211297,0.606862
83,0.207054,0.388456
84,0.210510,0.420934
85,0.202847,0.379206
86,0.202702,0.399126
87,0.205023,0.472439
88,0.200262,0.503232
89,0.192673,0.402767
90,0.188721,0.422732
91,0.183662,0.428579
92,0.177775,0.411765
93,0.184836,0.376453
94,0.181073,0.370016
95,0.173529,0.469727
96,0.181956,0.376541
97,0.183466,0.429131
98,0.203508,0.518985
99,0.269384,0.406229
100,0.209072,0.413324
101,0.185164,0.471699
102,0.189208,0.416488
103,0.175382,0.436715
104,0.170528,0.469479
105,0.182878,0.492745
106,0.173579,0.481295
107,0.168827,0.431782
108,0.163623,0.454996
109,0.160400,0.490134
110,0.174848,0.496445
111,0.158143,0.495089
112,0.158130,0.535426
113,0.155090,0.561903
114,0.151975,0.541359
115,0.153801,0.496566
116,0.162552,0.565468
117,0.158480,0.536265
118,0.171093,0.539107
119,0.157264,0.496434
120,0.146549,0.562124
121,0.188941,0.424722
122,0.167744,0.552055
