epoch,train_loss,val_loss
1,0.380048,0.426962
2,0.254704,0.415517
3,0.234723,0.401148
4,0.211218,0.439411
5,0.186940,0.725335
6,0.189874,0.542979
7,0.163718,0.720183
8,0.157839,0.627186
9,0.129297,0.577779
10,0.124262,0.477366
11,0.201392,0.458740
12,0.188171,0.642722
13,0.147178,0.507222
14,0.131773,0.583198
15,0.111155,0.575950
16,0.127111,0.579892
17,0.115272,0.508749
18,0.109826,0.467695
19,0.095858,0.424328
20,0.124905,0.503994
21,0.107444,0.643598
22,0.103323,0.461480
23,0.093869,0.555302
24,0.113316,0.694741
25,0.140746,0.425512
26,0.191710,0.472805
27,0.126624,0.745893
28,0.105107,0.646231
29,0.117784,0.557119
30,0.114570,0.597298
31,0.096943,0.632092
32,0.087809,0.709194
33,0.086729,0.630023
34,0.114846,0.447264
35,0.156633,0.667342
36,0.150782,0.610831
37,0.188968,0.584433
38,0.128541,0.549222
39,0.113179,0.616912
40,0.097221,0.425323
41,0.183555,0.389625
42,0.119424,0.533390
43,0.098045,0.584475
44,0.191493,0.548873
45,0.145780,0.358671
46,0.116736,0.386276
47,0.121511,0.425614
48,0.160601,0.360081
49,0.126172,0.599325
50,0.160075,0.430080
51,0.208687,0.413152
52,0.173003,0.429458
53,0.193328,0.583946
54,0.439404,0.652586
55,0.400226,0.427542
56,0.305820,0.351097
57,0.279030,0.362547
58,0.231643,0.338794
59,0.215510,0.355459
60,0.196199,0.356440
61,0.178013,0.368474
62,0.170252,0.413738
63,0.160025,0.392100
64,0.149453,0.488248
65,0.288287,0.497760
66,0.185299,0.480005
67,0.151641,0.538586
68,0.138651,0.512153
69,0.136138,0.538120
70,0.126791,0.457218
71,0.114822,0.524121
72,0.120826,0.444494
73,0.116020,0.591466
74,0.112974,0.405966
75,0.106854,0.452745
76,0.108123,0.483477
77,0.098654,0.405138
78,0.092484,0.459512
79,0.104095,0.468144
80,0.105828,0.510040
81,0.096881,0.487663
82,0.088467,0.399615
83,0.131200,0.448062
84,0.108903,0.538887
85,0.088281,0.482766
86,0.077519,0.544385
87,0.093670,0.415860
88,0.085691,0.495194
89,0.183109,0.444687
90,0.230594,0.393374
91,0.158801,0.482327
92,0.138953,0.506943
93,0.128847,0.439764
94,0.113116,0.463512
95,0.108510,0.421794
96,0.117801,0.449844
97,0.121234,0.428100
98,0.119899,0.417932
99,0.131426,0.469758
100,0.110576,0.504795
101,0.095715,0.492823
102,0.104423,0.467264
103,0.089375,0.539314
104,0.091749,0.529028
105,0.085663,0.517302
106,0.083849,0.510169
107,0.078749,0.505410
108,0.079577,0.527286
